path,has_ordered_layout,has_ungrouped_widgets,has_all_title_case_groups,has_overview_section,about_section_contains_text,about_section_contains_banner_img,total_query_values,query_values_have_timeseries_background,query_values_have_conditional_formats,total_widgets_legends,widgets_legends_shown
twistlock/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
dcgm/assets/dashboards/dcgm_overview.json,True,False,False,True,False,True,1,0,1,6,5
cloudera/assets/dashboards/cloudera_overview.json,True,True,True,True,False,True,2,2,0,16,16
btrfs/assets/dashboards/btrfs_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
activemq/assets/dashboards/activemq_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
activemq/assets/dashboards/artemis_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
nvidia_jetson/assets/dashboards/nvidia_jetson.json,True,True,True,False,False,False,0,0,0,0,0
temporal/assets/dashboards/server_overview.json,True,False,False,True,False,True,6,5,6,12,5
traefik_mesh/assets/dashboards/traefik_mesh_overview.json,True,False,True,True,True,True,0,0,0,15,4
openstack/assets/dashboards/openstack_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
nvidia_triton/assets/dashboards/nvidia_triton_overview.json,True,False,False,True,False,False,2,2,0,28,28
clickhouse/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
kubernetes_cluster_autoscaler/assets/dashboards/kubernetes_cluster_autoscaler_overview.json,True,False,True,True,False,False,3,3,2,16,14
mapr/assets/dashboards/mapr_overview.json,False,True,True,False,False,False,0,0,0,0,0
presto/assets/dashboards/overview.json,True,True,True,False,False,False,3,0,0,13,6
weblogic/assets/dashboards/metrics.json,True,True,True,False,False,False,0,0,0,0,0
weblogic/assets/dashboards/overview.json,True,False,False,True,True,True,15,0,5,24,24
avi_vantage/assets/dashboards/overview.json,True,True,False,True,True,True,6,0,2,13,13
ibm_db2/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
hdfs_datanode/assets/dashboards/hdfs_datanode_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
karpenter/assets/dashboards/karpenter_overview.json,True,False,True,True,False,False,2,0,0,22,22
zk/assets/dashboards/zookeeper_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
lighttpd/assets/dashboards/lighttpd_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
ambari/assets/dashboards/base_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
argo_rollouts/assets/dashboards/argo_rollouts_overview.json,True,False,False,True,True,True,4,4,0,18,18
ibm_i/assets/dashboards/ibm_i_overview.json,True,False,False,False,False,False,0,0,0,20,20
fluentd/assets/dashboards/fluentd_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
snmp/assets/dashboards/ndm_troubleshooting.json,True,False,False,True,False,False,9,9,4,30,25
snmp/assets/dashboards/interface_performance.json,True,False,True,False,False,False,0,0,0,10,0
snmp/assets/dashboards/netflow_monitoring.json,True,False,True,True,False,False,3,0,0,13,8
snmp/assets/dashboards/datacenter_overview.json,True,False,True,False,False,False,0,0,0,6,0
snmp/assets/dashboards/bgp_ospf_overview.json,True,True,False,False,False,False,0,0,0,1,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_ips.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_audit.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_https_inspection.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_url_filtering.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_anti_malware.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_dlp.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_threat_emulation.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_identity_awareness.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_firewall.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_anti_spam_and_email_security.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_anti_bot.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_anti_exploit.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_application_control.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_anti_ransomware.json,True,True,True,False,False,False,0,0,0,0,0
checkpoint_quantum_firewall/assets/dashboards/checkpoint_quantum_firewall_anti_virus.json,True,True,True,False,False,False,0,0,0,0,0
hudi/assets/dashboards/overview.json,True,False,False,False,False,True,0,0,0,7,7
gitlab/assets/dashboards/overview.json,True,False,False,True,False,True,4,2,0,15,10
glusterfs/assets/dashboards/red_hat_gluster_storage.json,False,True,True,False,False,False,0,0,0,0,0
vsphere/assets/dashboards/vmware_vsphere_tkg_-_overview.json,True,True,False,True,False,True,0,0,0,19,18
vsphere/assets/dashboards/vsphere_overview.json,False,True,True,False,False,False,0,0,0,0,0
vsphere/assets/dashboards/vmware_vsphere-_property_metrics.json,True,False,False,False,False,False,0,0,0,0,0
teradata/assets/dashboards/teradata_overview.json,True,True,False,False,False,True,0,0,0,31,31
sidekiq/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
tomcat/assets/dashboards/metrics.json,True,True,True,False,False,False,0,0,0,0,0
tomcat/assets/dashboards/overview.json,True,False,False,True,True,True,2,0,2,9,5
ibm_mq/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
cert_manager/assets/dashboards/certmanager_overview.json,True,False,False,True,True,False,2,0,0,4,4
harbor/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
ibm_ace/assets/dashboards/overview.json,True,False,True,True,False,True,3,2,0,4,4
istio/assets/dashboards/overview.json,True,False,True,True,False,False,2,0,0,47,46
istio/assets/dashboards/istio_overview.json,False,True,True,False,False,False,0,0,0,0,0
istio/assets/dashboards/istio_1_5_openmetrics_overview.json,False,True,True,False,False,False,0,0,0,0,0
istio/assets/dashboards/istio_1_5_overview.json,False,True,True,False,False,False,0,0,0,0,0
php_fpm/assets/dashboards/php-fpm_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
