Component,Origin,License,Copyright
JPype1,PyPI,Apache-2.0,Copyright (c) 2004-2008 Steve Menard | Steve Menard
JayDeBeApi,PyPI,LGPL-3.0-only,"Bastian Bowe | Copyright (C) 2007 Free Software Foundation, Inc. <http://fsf.org/>"
PyJWT,PyPI,MIT,Copyright (c) 2015-2022 José Padilla | Jose Padilla
PyMySQL,PyPI,MIT,"Copyright (c) 2010, 2013 PyMySQL contributors | yutaka.matsubara"
PySocks,PyPI,BSD-3-Clause,Anorov | Copyright 2006 Dan-Haim. All rights reserved
PyYAML,PyPI,MIT,Kirill Simonov
Pyro4,PyPI,MIT,Irmen de Jong
adodbapi,PyPI,LGPL-2.1-only,"Henrik Ekelund, Vernon Cole, et.al."
aerospike,PyPI,Apache-2.0,"Aerospike, Inc."
aws-requests-auth,PyPI,BSD-3-Clause,Copyright (c) David Muller | David Muller
beautifulsoup4,PyPI,MIT,Leonard Richardson
binary,PyPI,Apache-2.0,Copyright 2018 Ofek Lev | Ofek Lev
binary,PyPI,MIT,Copyright 2018 Ofek Lev | Ofek Lev
boto,PyPI,MIT,Mitch Garnaat
boto3,PyPI,Apache-2.0,"Amazon Web Services | Copyright 2013-2017 Amazon.com, Inc. or its affiliates. All Rights Reserved"
botocore,PyPI,Apache-2.0,"Amazon Web Services | Copyright 2012-2022 Amazon.com, Inc. or its affiliates. All Rights Reserved"
cachetools,PyPI,MIT,Copyright (c) 2014-2022 Thomas Kemmer | Thomas Kemmer
check-postgres,"https://github.com/bucardo/",BSD-2-Clause,Greg Sabino Mullane
clickhouse-cityhash,PyPI,MIT,"Alexander [Amper] Marshalov | Copyright (c) 2011, Alexander Marshalov <alone.amper@gmail.com>,"
clickhouse-driver,PyPI,MIT,Copyright (c) 2017 by Konstantin Lebedev | Konstantin Lebedev
contextlib2,PyPI,PSF,Nick Coghlan
cryptography,PyPI,Apache-2.0,Copyright (c) Individual contributors | The Python Cryptographic Authority and individual contributors | The cryptography developers
cryptography,PyPI,BSD-3-Clause,Copyright (c) Individual contributors | The Python Cryptographic Authority and individual contributors | The cryptography developers
ddtrace,PyPI,BSD-3-Clause,"Copyright 2016-Present Datadog, Inc | Datadog, Inc."
dnspython,PyPI,ISC,Bob Halley | Copyright (C) Dnspython Contributors
enum34,PyPI,BSD-3-Clause,Ethan Furman
flup,Vendor,BSD-3-Clause,Allan Saddi
flup-py3,Vendor,BSD-3-Clause,Allan Saddi
foundationdb,PyPI,Apache-2.0,FoundationDB
futures,PyPI,PSF,Brian Quinlan
gearman,PyPI,Apache-2.0,Copyright 2010 Yelp <python-gearman@yelp.com> | Matthew Tai
gssapi,PyPI,ISC,"Copyright (c) 2014, The Python GSSAPI Team | The Python GSSAPI Team"
immutables,PyPI,Apache-2.0,Copyright 2018-present Contributors to the immutables project | MagicStack Inc
in-toto,PyPI,Apache-2.0,Copyright 2018 New York University | New York University: Secure Systems Lab
ipaddress,PyPI,PSF,Philipp Hagemeister
jellyfish,PyPI,BSD-3-Clause,"Copyright (c) 2015, James Turk"
kafka-python,PyPI,Apache-2.0,Copyright 2015 David Arthur | Dana Powers
kazoo,PyPI,Apache-2.0,Kazoo team
keystoneauth1,PyPI,Apache-2.0,Copyright (c) 2009 Jacob Kaplan-Moss - initial codebase (< v2.1) | OpenStack
kubernetes,PyPI,Apache-2.0,Copyright 2014 The Kubernetes Authors | Kubernetes
ldap3,PyPI,LGPL-3.0-only,"Copyright (C) 2007 Free Software Foundation, Inc. <http://fsf.org/> | Giovanni Cannata"
lxml,PyPI,BSD-3-Clause,Copyright (c) 2004 Infrae. All rights reserved | lxml dev team
lz4,PyPI,BSD-3-Clause,"Copyright (c) 2012-2013, Steeve Morin | Jonathan Underwood"
mmh3,PyPI,CC0-1.0,Hajime Senuma
oauthlib,PyPI,BSD-3-Clause,Copyright (c) 2019 The OAuthlib Community | The OAuthlib Community
openstacksdk,PyPI,Apache-2.0,OpenStack
oracledb,PyPI,Apache-2.0,"Anthony Tuininga | Copyright (c) 2016, 2022 Oracle and/or its affiliates"
oracledb,PyPI,UPL,"Anthony Tuininga | Copyright (c) 2016, 2022 Oracle and/or its affiliates"
orjson,PyPI,Apache-2.0,ijl <ijl@mailbox.org>
orjson,PyPI,MIT,ijl <ijl@mailbox.org>
packaging,PyPI,Apache-2.0,Copyright (c) Donald Stufft and individual contributors | Donald Stufft <donald@stufft.io> | Donald Stufft and individual contributors
packaging,PyPI,BSD-2-Clause,Copyright (c) Donald Stufft and individual contributors | Donald Stufft <donald@stufft.io> | Donald Stufft and individual contributors
packaging,PyPI,BSD-3-Clause,Copyright (c) Donald Stufft and individual contributors | Donald Stufft <donald@stufft.io> | Donald Stufft and individual contributors
paramiko,PyPI,LGPL-2.1-only,"Copyright (C) 1991, 1999 Free Software Foundation, Inc | Jeff Forcier"
ply,PyPI,BSD-3-Clause,David Beazley
prometheus-client,PyPI,Apache-2.0,Brian Brazil | Copyright 2015 The Prometheus Authors
protobuf,PyPI,BSD-3-Clause,Copyright 2008 Google Inc.  All rights reserved | protobuf@googlegroups.com
psutil,PyPI,BSD-3-Clause,"Copyright (c) 2009, Jay Loden, Dave Daeschler, Giampaolo Rodola' | Giampaolo Rodola"
psycopg2-binary,PyPI,BSD-3-Clause,Federico Di Gregorio
psycopg2-binary,PyPI,LGPL-3.0-only,Federico Di Gregorio
pyasn1,PyPI,BSD-3-Clause,"Copyright (c) 2005-2020, [Ilya Etingof](mailto:etingof@gmail.com) | Ilya Etingof"
pycryptodomex,PyPI,BSD-2-Clause,Helder Eijs
pycryptodomex,PyPI,Unlicense,Helder Eijs
pydantic,PyPI,MIT,Copyright (c) 2017 - 2022 Samuel Colvin and other contributors | Samuel Colvin
pymongo,PyPI,Apache-2.0,The MongoDB Python Team
pymqi,PyPI,PSF,Zato Source s.r.o.
