metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
active_directory.dra.inbound.bytes.after_compression,gauge,,byte,,The compressed size (in bytes) of compressed replication data inbound from directory system agents (DSAs) in other sites (per second).,-1,active_directory,ad dra inbound comp
active_directory.dra.inbound.bytes.before_compression,gauge,,byte,,The uncompressed size (in bytes) of compressed replication data inbound from DSAs in other sites (per second).,-1,active_directory,ad dra inbound precomp
active_directory.dra.inbound.bytes.not_compressed,gauge,,byte,,"The uncompressed size (in bytes) of replication data that was not compressed at the source — that is, inbound from other DSAs in the same site (per second).",-1,active_directory,ad dra inbound not comp
active_directory.dra.inbound.bytes.total,gauge,,byte,,The total number of bytes (per second) received through replication. It is the sum of the number of bytes of uncompressed data (never compressed) and compressed data (after compression).,-1,active_directory,ad dra inbound total
active_directory.dra.inbound.objects.remaining,gauge,,object,,The number of objects remaining until the full synchronization process is completed.,-1,active_directory,ad dra sync full objs
active_directory.dra.inbound.objects.persec,gauge,,object,second,The number of objects received (per second) through inbound replication from replication partners.,-1,active_directory,ad dra inbound objs
active_directory.dra.inbound.objects.applied_persec,gauge,,object,second,"The number of objects received (per second) from replication partners and applied by the local directory service. This counter excludes changes that are received but not applied (for example, when the update is already made). This counter indicates how many replication updates are occurring on the server as a result of changes generated on other servers.",-1,active_directory,ad dra inbound objs applied
active_directory.dra.inbound.objects.filtered_persec,gauge,,object,second,The number of objects received (per second) from replication partners that contained no updates that needed to be applied.,-1,active_directory,ad dra inbound objs filtered
active_directory.dra.inbound.objects.remaining_in_packet,gauge,,object,second,"The number of object updates received in the current directory replication update packet that have not yet been applied to the local server. This counter tells you whether the monitored server is receiving changes, but is taking a long time applying them to the database.",-1,active_directory,ad dra remaining updates
active_directory.dra.inbound.properties.applied_persec,gauge,,,second,The number of changes (per second) to object properties that are applied through inbound replication as a result of reconciliation logic.,-1,active_directory,ad dra properties applied
active_directory.dra.inbound.properties.filtered_persec,gauge,,,second,The number of changes (per second) to object properties received during the replication that are already made.,-1,active_directory,ad dra properties filtered
active_directory.dra.inbound.properties.total_persec,gauge,,,second,The total number of changes (per second) to object properties received from replication partners.,-1,active_directory,ad dra properties total
active_directory.dra.inbound.values.dns_persec,gauge,,,second,"The number of values of object properties received (per second) from replication partners in which the values are for object properties that belong to distinguished names. This number includes objects that reference other objects. A high number from this counter might explain why inbound changes are slow to be applied to the database.",-1,active_directory,ad dra inbound dns
active_directory.dra.inbound.values.total_persec,gauge,,,second,"The total number of values of object properties received (per second) from replication partners. Each inbound object has one or more properties, and each property has zero or more values. A value of zero indicates that the property is to be removed.",-1,active_directory,ad dra inbound total
active_directory.dra.outbound.bytes.after_compression,gauge,,byte,,The compressed size (in bytes) of compressed replication data that is outbound to DSAs in other sites (per second).,-1,active_directory,ad dra outbound comp
active_directory.dra.outbound.bytes.before_compression,gauge,,byte,,The uncompressed size (in bytes) of compressed replication data outbound to DSAs in other sites (per second).,-1,active_directory,ad dra outbound precomp
active_directory.dra.outbound.bytes.not_compressed,gauge,,byte,,"The uncompressed size (in bytes) of outbound replication data that was not compressed — that is, outbound to DSAs in the same site — per second.",-1,active_directory,ad dra outbound not comp
active_directory.dra.outbound.bytes.total,gauge,,byte,,The total number of bytes sent per second. It is the sum of the number of bytes of uncompressed data (never compressed) and compressed data (after compression).,-1,active_directory,ad dra outbound total
active_directory.dra.outbound.objects.filtered_persec,gauge,,object,second,The number of objects (per second) acknowledged by outbound replication partners that required no updates. This counter includes objects that the outbound partner did not already have.,-1,active_directory,ad dra outbound filtered
active_directory.dra.outbound.objects.persec,gauge,,object,second,The number of objects sent (per second) though outbound replication to replication partners.,-1,active_directory,ad dra outbound objects
active_directory.dra.outbound.properties.persec,gauge,,,second,"The number of properties sent per second. This counter tells you whether a source server is returning objects or not. Sometimes, the server might stop working correctly and not return objects quickly or at all.",-1,active_directory,ad dra outbound properties
active_directory.dra.outbound.values.dns_persec,gauge,,,second,"The number values of object properties sent (per second), to replication partners in which the values are for object properties that belong to distinguished names.",-1,active_directory,ad dra outbound dns
active_directory.dra.outbound.values.total_persec,gauge,,,second,"The total number of values of object properties sent (per second), to replication partners.",-1,active_directory,ad dra outbound values
active_directory.dra.replication.pending_synchronizations,gauge,,,,"The number of directory synchronizations that are queued for this server that are not yet processed. This counter helps in determining replication backlog — the larger the number, the larger the backlog.",-1,active_directory,ad dra replication syncs
active_directory.dra.sync_requests_made,gauge,,request,,The number of synchronization requests made to replication partners since computer was last restarted.,-1,active_directory,ad dra replication syncs
active_directory.ds.threads_in_use,gauge,,thread,,"The current number of threads in use by the directory service (different from the number of threads in the directory service process). This counter represents the number of threads currently servicing API calls by clients, and you can use it to determine whether additional CPUs would be beneficial.",-1,active_directory,ad ds threads
active_directory.ldap.client_sessions,gauge,,session,,The number of sessions of connected LDAP clients.,-1,active_directory,ad ldap sessions
active_directory.ldap.bind_time,gauge,,millisecond,,The time (in milliseconds) required for the completion of the last successful LDAP binding.,-1,active_directory,ad bind time
active_directory.ldap.successful_binds_persec,gauge,,,second,The number LDAP bindings (per second) that occurred successfully.,-1,active_directory,ad ldap binds
active_directory.ldap.searches_persec,gauge,,,second,The number of search operations per second performed by LDAP clients.,-1,active_directory,ad ldap searches
