INTEGRATION_NAME,COUNT(DISTINCT FACT_ORG_ENABLED_DATADOG_INTEGRATION_DAILY.ORG_ID)
logs,"77,466"
redis,"38,443"
postgres,"37,490"
container,"36,178"
datadog cluster agent,"35,232"
nginx,"35,027"
continuous profiler,"32,636"
coredns,"23,645"
apache,"21,702"
synthetics data,"19,913"
mysql,"19,410"
push notifications,"18,107"
security monitoring,"18,091"
incidents,"17,147"
network performance monitoring,"14,868"
feed,"13,017"
haproxy,"11,923"
elasticsearch,"10,094"
cri,"9,395"
containerd,"8,870"
iis,"7,421"
mongodb,"7,168"
rabbitmq,"7,012"
github,"6,273"
sql server,"6,266"
tls,"5,604"
nginx-ingress-controller,"5,289"
windows service,"5,191"
ssh,"5,123"
php-fpm,"5,037"
kube scheduler,"4,969"
tomcat,"4,953"
memcached,"4,652"
kafka,"4,644"
etcd,"4,254"
audit trail,"4,180"
jenkins,"3,974"
istio,"3,821"
kubernetes controller manager,"3,675"
zookeeper,"3,654"
event viewer,"3,499"
snmp,"3,325"
mongodb atlas,"3,150"
consul,"2,809"
.net clr,"2,526"
wmi,"2,443"
knative for anthos,"2,348"
kube dns,"2,331"
vault,"2,273"
asp.net,"2,200"
github apps,"2,159"
vsphere,"2,147"
active directory,"2,103"
kube metrics server,"2,092"
ansible,"2,035"
systemd,"1,932"
postfix,"1,928"
kubernetes api server metrics,"1,914"
gunicorn,"1,889"
cassandra,"1,879"
auth0,"1,874"
cert-manager,"1,851"
envoy,"1,838"
airflow,"1,746"
prometheus,"1,674"
supervisord,"1,649"
spark,"1,640"
kong,"1,580"
pingdom legacy api (v2.1),"1,507"
bitbucket,"1,476"
varnish,"1,406"
fluentd,"1,362"
gitlab runner,"1,362"
gitlab,"1,324"
logstash,"1,307"
go,"1,253"
oracle database,"1,200"
circleci,"1,144"
pgbouncer,"1,143"
chef,"1,053"
activemq,"1,032"
pdh,998
zendesk,996
solr,994
cisco,979
kafka consumer,963
aws pricing,944
okta,918
sonarqube,912
openmetrics,880
snowflake,849
apollo engine,828
nagios,804
helm,744
meraki,735
hyperv,689
sidekiq,688
ping,686
confluent cloud,680
github telemetry,674
squid,658
terraform,657
cilium,650
microsoft 365,645
oom kill,611
rollbar,610
observability pipelines,585
windows performance counters,576
jboss/wildfly,568
puppet,556
chatwork,533
cloud cost,493
pivotal,485
salesforce,481
databricks,479
bugsnag,478
hdfs datanode,469
nomad,469
jmeter,464
couchbase,461
yarn,458
pusher,449
confluent platform,446
dyn,444
ceph,443
segment,430
couchdb,422
desk,407
cloudhealth,393
puma,381
capistrano,381
papertrail,375
splunk,367
exchange server,366
dell,365
launchdarkly,362
proxysql,342
openshift,334
mesos,319
airbrake,319
flink,305
openstack,288
uptime,278
linkerd,275
oracle cloud infrastructure,258
cassandra nodetool,258
sumo logic,251
clickhouse,249
palo alto networks firewall,247
journald,246
travis ci,245
netlify,243
sendgrid,242
alibaba cloud,236
marathon,231
crowdstrike,230
statsd,226
teamcity,221
aerospike,215
nvml,214
speedtest,213
tcp queue length,210
sqreen,206
hasura cloud,204
pingdom,203
openldap,197
jfrog platform,195
mapreduce,192
ibm was,192
cockroachdb,192
redis sentinel,189
windows kernel memory,186
ibm mq,179
lighttpd,176
xmatters,175
cacti,169
kube proxy,168
signal sciences,163
cisco aci,157
hive,157
fabric,156
lacework,149
