metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
arangodb.agency.cache.callback,gauge,,,,The current number of entries in Agency cache callbacks table.,0,arangodb,agency cache callback,
arangodb.agency.callback,gauge,,,,The current number of Agency callbacks registered.,0,arangodb,agency callback,
arangodb.agency.callback.registered.count,count,,,,The total number of Agency callbacks ever registered.,0,arangodb,agency callback registered count,
arangodb.agency.client.lookup.table_size,gauge,,entry,,The current number of entries in Agency client id lookup table.,0,arangodb,agency client lookup table size,
arangodb.agency.commit.bucket,count,,millisecond,,The distribution of commit times for all Agency write operations.,0,arangodb,agency commit bucket,
arangodb.agency.commit.count,count,,millisecond,,The distribution of commit times for all Agency write operations.,0,arangodb,agency commit count,
arangodb.agency.commit.sum,count,,millisecond,,The distribution of commit times for all Agency write operations.,0,arangodb,agency commit sum,
arangodb.agency.compaction.bucket,count,,millisecond,,The distribution of Agency compaction run times.,0,arangodb,agency compaction bucket,
arangodb.agency.compaction.count,count,,millisecond,,The distribution of Agency compaction run times.,0,arangodb,agency compaction count,
arangodb.agency.compaction.sum,count,,millisecond,,The distribution of Agency compaction run times.,0,arangodb,agency compaction sum,
arangodb.agency.log.size,gauge,,byte,,Size of the Agency's in-memory part of replicated log in bytes.,0,arangodb,agency log size,
arangodb.agency.read.no_leader.count,count,,,,The number of Agency read operations with no leader or on followers.,0,arangodb,agency read no leader,
arangodb.agency.read.ok.count,count,,,,Number of Agency read operations which were successful.,0,arangodb,agency read ok count,
arangodb.agency.request.time.bucket,count,,millisecond,,How long requests to the Agency took.,0,arangodb,agency request time bucket,
arangodb.agency.request.time.count,count,,millisecond,,How long requests to the Agency took.,0,arangodb,agency request time count,
arangodb.agency.request.time.sum,count,,millisecond,,How long requests to the Agency took.,0,arangodb,agency request time sum,
arangodb.agency.supervision.failed.server.count,count,,,,This counter is increased whenever a supervision run encounters a failed server and starts a FailedServer job.,0,arangodb,agency supervision failed server,
arangodb.agency.write.bucket,count,,millisecond,,Agency write time histogram.,0,arangodb,agency write bucket,
arangodb.agency.write.count,count,,millisecond,,Agency write time histogram.,0,arangodb,agency write count,
arangodb.agency.write.no_leader.count,count,,,,The number of Agency write operations with no leader or on followers.,0,arangodb,agency write no leader,
arangodb.agency.write.ok.count,count,,,,The number of Agency write operations which were successful.,0,arangodb,agency write ok count,
arangodb.agency.write.sum,count,,millisecond,,Agency write time histogram.,0,arangodb,agency write sum,
arangodb.aql.all.query.count,count,,query,,Total number of AQL queries finished.,0,arangodb,aql all query count,
arangodb.aql.current.query,gauge,,query,,Current number of AQL queries executing.,0,arangodb,aql current query,
arangodb.aql.global.memory.limit,gauge,,byte,,Total memory limit for all AQL queries combined.,0,arangodb,aql global memory limit,
arangodb.aql.global.memory.usage,gauge,,byte,,Total memory usage of all AQL queries executing; granularity: 32768 bytes steps.,0,arangodb,aql global memory usage,
arangodb.aql.global.query.memory.limit.reached.count,count,,,,Number of times the global query memory limit threshold was reached.,0,arangodb,aql global query memory limit reached count,
arangodb.aql.local.query.memory.limit.reached.count,count,,,,Number of times a local query memory limit threshold was reached.,0,arangodb,aql local query memory limit reached count,
arangodb.aql.query.time.bucket,count,,,,Execution time histogram for all AQL queries.,0,arangodb,aql query time bucket,
arangodb.aql.query.time.count,count,,,,Execution time histogram for all AQL queries.,0,arangodb,aql query time count,
arangodb.aql.query.time.sum,count,,,,Execution time histogram for all AQL queries.,0,arangodb,aql query time sum,
arangodb.aql.slow.query.time.bucket,count,,,,Execution time histogram for slow AQL queries.,0,arangodb,arangodb aql slow query time bucket,
arangodb.aql.slow.query.time.count,count,,,,Execution time histogram for slow AQL queries.,0,arangodb,arangodb aql slow query time count,
arangodb.aql.slow.query.time.sum,count,,,,Execution time histogram for slow AQL queries.,0,arangodb,arangodb aql slow query time sum,
arangodb.client.connection.bytes.received.bucket,count,,byte,,Bytes received for a request.,0,arangodb,client connection bytes received bucket,
arangodb.client.connection.bytes.received.count,count,,byte,,Bytes received for a request.,0,arangodb,client connection bytes received count,
arangodb.client.connection.bytes.received.sum,count,,byte,,Bytes received for a request.,0,arangodb,client connection bytes received sum,
arangodb.client.connection.io.time.bucket,count,,,,I/O time needed to answer a request.,0,arangodb,client connection io time bucket,
arangodb.client.connection.io.time.count,count,,,,I/O time needed to answer a request.,0,arangodb,client connection io time count,
arangodb.client.connection.io.time.sum,count,,,,I/O time needed to answer a request.,0,arangodb,client connection io time sum,
arangodb.client.connection.queue.time.bucket,count,,second,,Queueing time needed for requests.,0,arangodb,client connection queue time bucket,
arangodb.client.connection.queue.time.count,count,,second,,Queueing time needed for requests.,0,arangodb,client connection queue time count,
arangodb.client.connection.queue.time.sum,count,,second,,Queueing time needed for requests.,0,arangodb,client connection queue time sum,
arangodb.client.connection.request.time.bucket,count,,second,,Request time needed to answer a request.,0,arangodb,client connection request time bucket,
arangodb.client.connection.request.time.count,count,,second,,Request time needed to answer a request.,0,arangodb,client connection request time count,
arangodb.client.connection.request.time.sum,count,,second,,Request time needed to answer a request.,0,arangodb,client connection request time sum,
arangodb.client.connection.time.bucket,count,,second,,Total connection time of a client.,0,arangodb,client connection time bucket,
arangodb.client.connection.time.count,count,,second,,Total connection time of a client.,0,arangodb,client connection time count,
arangodb.client.connection.time.sum,count,,second,,Total connection time of a client.,0,arangodb,client connection time sum,
arangodb.client.connection.total.time.bucket,count,,second,,Total time needed to answer a request.,0,arangodb,client connection total time bucket,
arangodb.client.connection.total.time.count,count,,second,,Total time needed to answer a request.,0,arangodb,client connection total time bucket,
arangodb.client.connection.total.time.sum,count,,second,,Total time needed to answer a request.,0,arangodb,client connection total time sum,
arangodb.client.connections,gauge,,connection,,The number of client connections that are currently open.,0,arangodb,client connections,
arangodb.collection.lock.acquisition.count,count,,microsecond,,Total amount of collection lock acquisition time.,0,arangodb,collection lock acquisition count,
arangodb.collection.lock.sequential_mode.count,count,,transaction,,Number of transactions using sequential locking of collections to avoid deadlocking.,0,arangodb,collection lock sequential mode count,
arangodb.collection.lock.timeouts_exclusive.count,count,,timeout,,Number of timeouts when trying to acquire collection exclusive locks.,0,arangodb,collection lock timeouts exclusive count,
arangodb.collection.lock.timeouts_write.count,count,,timeout,,Number of timeouts when trying to acquire collection write locks.,0,arangodb,collection lock timeouts write count,
arangodb.connection_pool.connections.created.count,count,,,,Total number of connections created for connection pool.,0,arangodb,connection pool connections created count,
arangodb.connection_pool.connections.current,gauge,,,,Current number of connections in pool.,0,arangodb,connection pool connections current,
arangodb.connection_pool.lease_time.bucket,count,,millisecond,,Count of time to lease a connection from the connection pool.,0,arangodb,connection pool lease time bucket,
arangodb.connection_pool.lease_time.count,count,,millisecond,,Count of time to lease a connection from the connection pool.,0,arangodb,connection pool lease time count,
arangodb.connection_pool.lease_time.sum,count,,millisecond,,Count of time to lease a connection from the connection pool.,0,arangodb,connection pool lease time sum,
arangodb.connection_pool.leases.failed.count,count,,,,Total number of failed connection leases.,0,arangodb,connection pool leases failed count,
arangodb.connection_pool.leases.successful.count,count,,,,Total number of successful connection leases from connection pool.,0,arangodb,connection pool leases successful count,
arangodb.health.dropped_followers.count,count,,event,,Total number of drop-follower events.,0,arangodb,health dropped followers count,
arangodb.health.heartbeat.sent.time.bucket,count,,millisecond,,Count of times required to send heartbeats.,0,arangodb,health heartbeat sent time bucket,
arangodb.health.heartbeat.sent.time.count,count,,millisecond,,Count of times required to send heartbeats.,0,arangodb,health heartbeat sent time count,
arangodb.health.heartbeat.sent.time.sum,count,,millisecond,,Count of times required to send heartbeats.,0,arangodb,health heartbeat sent time sum,
arangodb.health.heartbeat_failures.count,count,,,,Total number of failed heartbeat transmissions.,0,arangodb,health heartbeat failures count,
arangodb.http.async.requests.count,count,,request,,Number of asynchronously executed HTTP requests.,0,arangodb,http async requests count,
arangodb.http.delete.requests.count,count,,request,,Number of HTTP DELETE requests.,0,arangodb,http delete requests count,
arangodb.http.get.requests.count,count,,request,,Number of HTTP GET requests.,0,arangodb,http get requests count,
arangodb.http.head.requests.count,count,,request,,Number of HTTP HEAD requests.,0,arangodb,http head requests count,
arangodb.http.options.requests.count,count,,request,,Number of HTTP OPTIONS requests.,0,arangodb,http head options requests count,
arangodb.http.other.requests.count,count,,request,,Number of other/illegal HTTP requests.,0,arangodb,http other requests count,
arangodb.http.patch.requests.count,count,,request,,Number of HTTP PATCH requests.,0,arangodb,http patch requests count,
arangodb.http.post.requests.count,count,,request,,Number of HTTP POST requests.,0,arangodb,http post requests count,
arangodb.http.put.requests.count,count,,request,,Number of HTTP PUT requests.,0,arangodb,http put requests count,
arangodb.http.total.requests.count,count,,request,,Total number of HTTP requests.,0,arangodb,http total requests count,
arangodb.http.user.requests.count,count,,request,,Total number of HTTP requests executed by user clients.,0,arangodb,http user requests count,
arangodb.http2.connections.count,count,,,,Total number of connections accepted for HTTP/2.,0,arangodb,http2 connections count,
arangodb.network.forwarded.requests.count,count,,request,,Number of requests forwarded to another Coordinator.,0,arangodb,network forwarded requests count,
arangodb.network.request.timeouts.count,count,,request,,Number of internal requests that have timed out.,0,arangodb,network request timeouts count,
arangodb.network.requests.in.flight,gauge,,request,,Number of outgoing internal requests in flight.,0,arangodb,network requests in flight,
arangodb.process.page.faults.major.count,count,,fault,,Number of major page faults.,0,arangodb,process page faults major count,
arangodb.process.page.faults.minor.count,count,,fault,,Number of minor page faults.,0,arangodb,process page faults minor count,
arangodb.process.resident_set_size,gauge,,byte,,The total size of the number of pages the process has in real memory.,0,arangodb,process resident set size,
arangodb.process.system_time,gauge,,second,,Amount of time that this process has been scheduled in kernel mode.,0,arangodb,process system time,
arangodb.process.threads,gauge,,thread,,Number of threads.,0,arangodb,process threads,
arangodb.process.user_time,gauge,,second,,Amount of time that this process has been scheduled in user mode.,0,arangodb,process user time,
arangodb.process.virtual_memory_size,gauge,,byte,,The side of the virtual memory the process is using.,0,arangodb,process virtual memory size,
arangodb.rocksdb.actual.delayed.write.rate,gauge,,,,Actual delayed RocksDB write rate.,0,arangodb,rocksdb actual delayed write rate,
arangodb.rocksdb.archived.wal.files,gauge,,file,,Number of RocksDB WAL files in the archive.,0,arangodb,rocksdb archived wal files,
