metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
argo_rollouts.go.gc.duration.seconds.count,count,,second,,The summary count of garbage collection cycles in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go gc duration seconds count,
argo_rollouts.go.gc.duration.seconds.quantile,gauge,,second,,A summary of the pause duration of garbage collection cycles in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go gc duration seconds,
argo_rollouts.go.gc.duration.seconds.sum,count,,second,,The sum of the pause duration of garbage collection cycles in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go gc duration seconds sum,
argo_rollouts.go.goroutines,gauge,,,,The number of goroutines that currently exist in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go goroutines,
argo_rollouts.go.info,gauge,,,,Metric containing the Go version as a tag,0,argo_rollouts,argo_rollouts go info,
argo_rollouts.go.memstats.alloc_bytes,gauge,,byte,,The number of bytes allocated and still in use in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats alloc_bytes,
argo_rollouts.go.memstats.alloc_bytes.count,count,,byte,,The monotonic count of bytes allocated and still in use in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats alloc_bytes,
argo_rollouts.go.memstats.buck_hash.sys_bytes,gauge,,byte,,The number of bytes used by the profiling bucket hash table in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats buck_hash sys_bytes,
argo_rollouts.go.memstats.frees.count,count,,,,The total number of frees in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats frees,
argo_rollouts.go.memstats.gc.cpu_fraction,gauge,,fraction,,The fraction of this program's available CPU time used by the GC since the program started in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats gc cpu_fraction,
argo_rollouts.go.memstats.gc.sys_bytes,gauge,,byte,,The number of bytes used for garbage collection system metadata in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats gc sys_bytes,
argo_rollouts.go.memstats.heap.alloc_bytes,gauge,,byte,,The number of heap bytes allocated and still in use in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats heap alloc_bytes,
argo_rollouts.go.memstats.heap.idle_bytes,gauge,,byte,,The number of heap bytes waiting to be used in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats heap idle_bytes,
argo_rollouts.go.memstats.heap.inuse_bytes,gauge,,byte,,The number of heap bytes that are in use in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats heap inuse_bytes,
argo_rollouts.go.memstats.heap.objects,gauge,,object,,The number of allocated objects in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats heap objects,
argo_rollouts.go.memstats.heap.released_bytes,gauge,,byte,,The number of heap bytes released to the OS in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats heap released_bytes,
argo_rollouts.go.memstats.heap.sys_bytes,gauge,,byte,,The number of heap bytes obtained from system in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats heap sys_bytes,
argo_rollouts.go.memstats.lookups.count,count,,,,The number of pointer lookups,0,argo_rollouts,argo_rollouts go memstats lookups,
argo_rollouts.go.memstats.mallocs.count,count,,,,The number of mallocs,0,argo_rollouts,argo_rollouts go memstats mallocs,
argo_rollouts.go.memstats.mcache.inuse_bytes,gauge,,byte,,The number of bytes in use by mcache structures in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats mcache inuse_bytes,
argo_rollouts.go.memstats.mcache.sys_bytes,gauge,,byte,,The number of bytes used for mcache structures obtained from system in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats mcache sys_bytes,
argo_rollouts.go.memstats.mspan.inuse_use,gauge,,byte,,The number of bytes in use by mspan structures in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats mspan inuse_use,
argo_rollouts.go.memstats.mspan.sys_bytes,gauge,,byte,,The number of bytes used for mspan structures obtained from system in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats mspan sys_bytes,
argo_rollouts.go.memstats.next.gc_bytes,gauge,,byte,,The number of heap bytes when next garbage collection takes place in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats next gc_bytes,
argo_rollouts.go.memstats.other.sys_bytes,gauge,,byte,,The number of bytes used for other system allocations in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats other sys_bytes,
argo_rollouts.go.memstats.stack.inuse_bytes,gauge,,byte,,The number of bytes in use by the stack allocator in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats stack inuse_bytes,
argo_rollouts.go.memstats.stack.sys_bytes,gauge,,byte,,The number of bytes obtained from system for stack allocator in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats stack sys_bytes,
argo_rollouts.go.memstats.sys_bytes,gauge,,byte,,The number of bytes obtained from system in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go memstats sys_bytes,
argo_rollouts.go.threads,gauge,,thread,,The number of OS threads created in the Argo Rollouts instance,0,argo_rollouts,argo_rollouts go threads,
