metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
argocd.api_server.go.gc.duration.seconds.count,count,,second,,The summary count of garbage collection cycles in the API Server,0,argocd,api_server go gc duration seconds count,,
argocd.api_server.go.gc.duration.seconds.quantile,gauge,,second,,A summary of the pause duration of garbage collection cycles in the API Server,0,argocd,api_server go gc duration seconds,,
argocd.api_server.go.gc.duration.seconds.sum,count,,second,,The sum of the pause duration of garbage collection cycles in the API Server,0,argocd,api_server go gc duration seconds sum,,
argocd.api_server.go.goroutines,gauge,,,,The number of goroutines that currently exist in the API Server,0,argocd,api_server go goroutines,,
argocd.api_server.go.memstats.alloc_bytes,gauge,,byte,,The number of bytes allocated and still in use in the API Server,0,argocd,api_server go memstats alloc_bytes,,
argocd.api_server.go.memstats.buck_hash.sys_bytes,gauge,,byte,,The number of bytes used by the profiling bucket hash table in the API Server,0,argocd,api_server go memstats buck_hash sys_bytes,,
argocd.api_server.go.memstats.frees.count,count,,,,The total number of frees in the API Server,0,argocd,api_server go memstats frees,,
argocd.api_server.go.memstats.gc.cpu_fraction,gauge,,fraction,,The fraction of this program's available CPU time used by the GC since the program started in the API Server,0,argocd,api_server go memstats gc cpu_fraction,,
argocd.api_server.go.memstats.gc.sys_bytes,gauge,,byte,,The number of bytes used for garbage collection system metadata in the API Server,0,argocd,api_server go memstats gc sys_bytes,,
argocd.api_server.go.memstats.heap.alloc_bytes,gauge,,byte,,The number of heap bytes allocated and still in use in the API Server,0,argocd,api_server go memstats heap alloc_bytes,,
argocd.api_server.go.memstats.heap.idle_bytes,gauge,,byte,,The number of heap bytes waiting to be used in the API Server,0,argocd,api_server go memstats heap idle_bytes,,
argocd.api_server.go.memstats.heap.inuse_bytes,gauge,,byte,,The number of heap bytes that are in use in the API Server,0,argocd,api_server go memstats heap inuse_bytes,,
argocd.api_server.go.memstats.heap.objects,gauge,,object,,The number of allocated objects in the API Server,0,argocd,api_server go memstats heap objects,,
argocd.api_server.go.memstats.heap.released_bytes,gauge,,byte,,The number of heap bytes released to OS in the API Server,0,argocd,api_server go memstats heap released_bytes,,
argocd.api_server.go.memstats.heap.sys_bytes,gauge,,byte,,The number of heap bytes obtained from system in the API Server,0,argocd,api_server go memstats heap sys_bytes,,
argocd.api_server.go.memstats.last_gc_time.seconds,gauge,,second,,The number of seconds since Unix epoch of last garbage collection in the API Server,0,argocd,api_server go memstats last_gc_time second,,
argocd.api_server.go.memstats.lookups.count,count,,,,The total number of pointer lookups in the API Server,0,argocd,api_server go memstats lookups,,
argocd.api_server.go.memstats.mallocs.count,count,,,,The total number of mallocs in the API Server,0,argocd,api_server go memstats mallocs,,
argocd.api_server.go.memstats.mcache.inuse_bytes,gauge,,byte,,The number of bytes in use by mcache structures in the API Server,0,argocd,api_server go memstats mcache inuse_bytes,,
argocd.api_server.go.memstats.mcache.sys_bytes,gauge,,byte,,The number of bytes used for mcache structures obtained from system in the API Server,0,argocd,api_server go memstats mcache sys_bytes,,
argocd.api_server.go.memstats.mspan.inuse_bytes,gauge,,byte,,The number of bytes in use by mspan structures in the API Server,0,argocd,api_server go memstats mspan inuse_use,,
argocd.api_server.go.memstats.mspan.sys_bytes,gauge,,byte,,The number of bytes used for mspan structures obtained from system in the API Server,0,argocd,api_server go memstats mspan sys_bytes,,
