metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
avi_vantage.controller_stats.avg_cpu_usage,gauge,15,percent,,"The host's view of the CPU usage as amount of actively used virtual CPU, as a percentage of total available CPU",0,avi_vantage,,
avi_vantage.controller_stats.avg_disk_usage,gauge,15,percent,,Average disk usage,0,avi_vantage,,
avi_vantage.controller_stats.avg_disk_write_bytes,gauge,15,byte,second,Average number of bytes per second written to disk.,0,avi_vantage,,
avi_vantage.controller_stats.avg_mem_usage,gauge,15,percent,,Memory usage as percentage of total configured or available memory,0,avi_vantage,,
avi_vantage.l4_client.apdexc,gauge,15,,,apdex measuring quality of network connections to servers,0,avi_vantage,,
avi_vantage.l4_client.avg_application_dos_attacks,gauge,15,,,Number of application DDOS attacks occurring,0,avi_vantage,,
avi_vantage.l4_client.avg_bandwidth,gauge,15,,,Average transmit and receive network bandwidth between client and virtual service.,0,avi_vantage,,
avi_vantage.l4_client.avg_complete_conns,gauge,15,connection,second,Rate of total connections per second,0,avi_vantage,,
avi_vantage.l4_client.avg_connections_dropped,gauge,15,connection,second,Rate of dropped connections per second,0,avi_vantage,,
avi_vantage.l4_client.avg_lossy_connections,gauge,15,connection,second,Rate of lossy connections per second,0,avi_vantage,,
avi_vantage.l4_client.avg_new_established_conns,gauge,15,connection,second,Averaged rate of new client connections per second.,0,avi_vantage,,
avi_vantage.l4_client.avg_policy_drops,gauge,15,connection,second,"Rate of total connections dropped due to VS policy per second. Includes drops due to rate limits, security policy drops, connection limits, etc.",0,avi_vantage,,
avi_vantage.l4_client.avg_rx_bytes,gauge,15,byte,second,Average rate of bytes received per second,0,avi_vantage,,
avi_vantage.l4_client.avg_rx_pkts,gauge,15,packet,second,Average rate of packets received per second,0,avi_vantage,,
avi_vantage.l4_client.avg_tx_bytes,gauge,15,byte,second,Average rate of bytes transmitted per second,0,avi_vantage,,
avi_vantage.l4_client.avg_tx_pkts,gauge,15,packet,second,Average rate of packets transmitted per second,0,avi_vantage,,
avi_vantage.l4_client.max_open_conns,gauge,15,connection,,Max number of open connections,0,avi_vantage,,
avi_vantage.l4_client.sum_end_to_end_rtt,gauge,15,,,Sum of end to end network RTT experienced by end clients. Higher value increases response times experienced by clients.,0,avi_vantage,,
avi_vantage.l4_server.avg_bandwidth,gauge,15,,,Average transmit and receive network bandwidth between client and virtual service.,0,avi_vantage,,
