metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
ceph.commit_latency_ms,gauge,,millisecond,,Time taken to commit an operation to the journal,-1,ceph,commit lat
ceph.apply_latency_ms,gauge,,millisecond,,Time taken to flush an update to disks,-1,ceph,apply lat
ceph.op_per_sec,gauge,,operation,second,IO operations per second for given pool,0,ceph,op per sec
ceph.read_bytes_sec,gauge,,byte,,Bytes/second being read,0,ceph,read bytes
ceph.write_bytes_sec,gauge,,byte,,Bytes/second being written,0,ceph,write bytes
ceph.num_osds,gauge,,item,,Number of known storage daemons,1,ceph,num osds
ceph.num_in_osds,gauge,,item,,Number of participating storage daemons,1,ceph,in osds
ceph.num_up_osds,gauge,,item,,Number of online storage daemons,1,ceph,up osds
ceph.num_pgs,gauge,,item,,Number of placement groups available,0,ceph,num pgs
ceph.num_mons,gauge,,item,,Number of monitor daemons,1,ceph,num mons
ceph.aggregate_pct_used,gauge,,percent,,Overall capacity usage metric,0,ceph,pct used
ceph.total_objects,gauge,,item,,Object count from the underlying object store,0,ceph,objects
ceph.num_objects,gauge,,item,,Object count for a given pool,0,ceph,pool objects
ceph.read_bytes,gauge,,byte,,Per-pool read bytes,0,ceph,pool read
ceph.write_bytes,gauge,,byte,,Per-pool write bytes,0,ceph,pool write
ceph.num_pools,gauge,,item,,Number of pools,0,ceph,num pools
ceph.pgstate.active_clean,gauge,,item,,Number of active+clean placement groups,1,ceph,active_clean pgs
ceph.read_op_per_sec,gauge,,operation,second,Per-pool read operations/second,0,ceph,reads per sec
ceph.write_op_per_sec,gauge,,operation,second,Per-pool write operations/second,0,ceph,writes per sec
ceph.num_near_full_osds,gauge,,item,,Number of nearly full osds,-1,ceph,near full osds
ceph.num_full_osds,gauge,,item,,Number of full osds,-1,ceph,full osds
ceph.osd.pct_used,gauge,,percent,,Percentage used of full/near full osds,-1,ceph,osd pct used
