metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
cisco_catalyst_center.application.health,gauge,,,,Per-application health score from 1 to 10 at a site.,1,cisco_catalyst_center,application health,,"application,site_id"
cisco_catalyst_center.application.jitter,gauge,,,,Application jitter in milliseconds.,-1,cisco_catalyst_center,application jitter,,"application,site_id"
cisco_catalyst_center.application.latency.client,gauge,,,,Client-side network latency in milliseconds.,-1,cisco_catalyst_center,app client latency,,"application,site_id"
cisco_catalyst_center.application.latency.network,gauge,,,,Network latency for the application in milliseconds.,-1,cisco_catalyst_center,app network latency,,"application,site_id"
cisco_catalyst_center.application.latency.server,gauge,,,,Server-side network latency in milliseconds.,-1,cisco_catalyst_center,app server latency,,"application,site_id"
cisco_catalyst_center.application.latency.server_app,gauge,,,,Application server processing latency in milliseconds.,-1,cisco_catalyst_center,app server proc latency,,"application,site_id"
cisco_catalyst_center.application.packet_loss,gauge,,percent,,Percentage of application packets lost.,-1,cisco_catalyst_center,application packet loss,,"application,site_id"
cisco_catalyst_center.application.throughput,gauge,,,,Application throughput in bits per second.,0,cisco_catalyst_center,application throughput,,"application,site_id"
cisco_catalyst_center.application.usage,gauge,,byte,,Data transferred by the application at a site.,0,cisco_catalyst_center,application usage,,"application,site_id"
cisco_catalyst_center.client.count,gauge,,,,Clients of a given connection type.,0,cisco_catalyst_center,client count,,client_type
cisco_catalyst_center.client.data_rate.avg,gauge,,,,Average client data rate in bits per second.,1,cisco_catalyst_center,client data rate,,"ssid,band"
cisco_catalyst_center.client.health,gauge,,,,Client health score from 1 to 10 for a connection type.,1,cisco_catalyst_center,client health,,client_type
cisco_catalyst_center.client.observed.count,gauge,,,,Distinct clients observed in the group.,0,cisco_catalyst_center,clients observed,,"ssid,band"
cisco_catalyst_center.client.onboarding.assoc.duration,gauge,,millisecond,,Average time spent in the association phase of onboarding.,-1,cisco_catalyst_center,assoc duration,,"ssid,band"
cisco_catalyst_center.client.onboarding.auth.duration,gauge,,millisecond,,Average time spent in the authentication phase of onboarding.,-1,cisco_catalyst_center,auth duration,,"ssid,band"
cisco_catalyst_center.client.onboarding.dhcp.duration,gauge,,millisecond,,Average time spent acquiring an address via DHCP.,-1,cisco_catalyst_center,dhcp duration,,"ssid,band"
cisco_catalyst_center.client.onboarding.duration,gauge,,millisecond,,Average time for a client to complete onboarding.,-1,cisco_catalyst_center,onboarding duration,,"ssid,band"
cisco_catalyst_center.client.onboarding.duration.max,gauge,,millisecond,,Longest time for a client to complete onboarding.,-1,cisco_catalyst_center,onboarding max,,"ssid,band"
cisco_catalyst_center.client.rssi.avg,gauge,,,,Average client received signal strength in dBm.,1,cisco_catalyst_center,client rssi,,"ssid,band"
cisco_catalyst_center.client.snr.avg,gauge,,,,Average client signal-to-noise ratio in dB.,1,cisco_catalyst_center,client snr,,"ssid,band"
cisco_catalyst_center.client.unique.count,gauge,,,,Unique clients of a given connection type.,0,cisco_catalyst_center,client unique count,,client_type
cisco_catalyst_center.client.usage,gauge,,byte,,Data transferred by clients in the group.,0,cisco_catalyst_center,client usage,,"ssid,band"
cisco_catalyst_center.device.air_quality.score,gauge,,,,Air quality health score across the device radios from 1 to 10.,1,cisco_catalyst_center,air quality score,,device_name
cisco_catalyst_center.device.ap.count,gauge,,,,Number of access points registered to a wireless controller.,0,cisco_catalyst_center,ap count,,device_name
cisco_catalyst_center.device.ap.radio.air_quality,gauge,,percent,,Radio channel air quality.,1,cisco_catalyst_center,radio air quality,,"device_name,radio_band,radio_slot"
