metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
clickhouse.ClickHouseAsyncMetrics_AsynchronousHeavyMetricsCalculationTimeSpent,gauge,,,,Time in seconds spent for calculation of asynchronous heavy (tables related) metrics (this is the overhead of asynchronous metrics).,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_AsynchronousHeavyMetricsUpdateInterval,gauge,,,,Heavy (tables related) metrics update interval,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_AsynchronousMetricsCalculationTimeSpent,gauge,,,,Time in seconds spent for calculation of asynchronous metrics (this is the overhead of asynchronous metrics).,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_AsynchronousMetricsUpdateInterval,gauge,,,,Metrics update interval,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CGroupMaxCPU,gauge,,,,The maximum number of CPU cores according to CGroups.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CGroupMemoryTotal,gauge,,,,"The total amount of memory in cgroup, in bytes. If stated zero, the limit is the same as OSMemoryTotal.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CGroupMemoryUsed,gauge,,,,"The amount of memory used in cgroup, in bytes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CGroupSystemTime,gauge,,,,The ratio of time the CPU core was running OS kernel (system) code.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CGroupSystemTimeNormalized,gauge,,,,"The value is similar to `CGroupSystemTime` but divided by the number of available CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CGroupUserTime,gauge,,,,"The ratio of time the CPU core was running userspace code. This includes also the time when the CPU was under-utilized due to the reasons internal to the CPU (memory loads, pipeline stalls, branch mispredictions, running another SMT core).",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CGroupUserTimeNormalized,gauge,,,,"The value is similar to `CGroupUserTime` but divided by the number of available CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CompiledExpressionCacheBytes,gauge,,,,Total bytes used for the cache of JIT-compiled code.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_CompiledExpressionCacheCount,gauge,,,,Total entries in the cache of JIT-compiled code.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_DictionaryTotalFailedUpdates,gauge,,,,Sum of sequantially failed updates in all dictionaries,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemCacheBytes,gauge,,,,Total bytes in the `cache` virtual filesystem. This cache is hold on disk.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemCacheCapacity,gauge,,,,Total capacity in the `cache` virtual filesystem. This cache is hold on disk.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemCacheFiles,gauge,,,,Total number of cached file segments in the `cache` virtual filesystem. This cache is hold on disk.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemLogsPathAvailableBytes,gauge,,,,"Available bytes on the volume where ClickHouse logs path is mounted. If this value approaches zero, you should tune the log rotation in the configuration file.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemLogsPathAvailableINodes,gauge,,,,The number of available inodes on the volume where ClickHouse logs path is mounted.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemLogsPathTotalBytes,gauge,,,,"The size of the volume where ClickHouse logs path is mounted, in bytes. It's recommended to have at least 10 GB for logs.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemLogsPathTotalINodes,gauge,,,,The total number of inodes on the volume where ClickHouse logs path is mounted.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemLogsPathUsedBytes,gauge,,,,Used bytes on the volume where ClickHouse logs path is mounted.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemLogsPathUsedINodes,gauge,,,,The number of used inodes on the volume where ClickHouse logs path is mounted.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemMainPathAvailableBytes,gauge,,,,Available bytes on the volume where the main ClickHouse path is mounted.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemMainPathAvailableINodes,gauge,,,,"The number of available inodes on the volume where the main ClickHouse path is mounted. If it is close to zero, it indicates a misconfiguration, and you will get 'no space left on device' even when the disk is not full.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemMainPathTotalBytes,gauge,,,,"The size of the volume where the main ClickHouse path is mounted, in bytes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemMainPathTotalINodes,gauge,,,,"The total number of inodes on the volume where the main ClickHouse path is mounted. If it is less than 25 million, it indicates a misconfiguration.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemMainPathUsedBytes,gauge,,,,Used bytes on the volume where the main ClickHouse path is mounted.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_FilesystemMainPathUsedINodes,gauge,,,,The number of used inodes on the volume where the main ClickHouse path is mounted. This value mostly corresponds to the number of files.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_HashTableStatsCacheEntries,gauge,,,,The number of entries in the cache of hash table sizes. The cache for hash table sizes is used for predictive optimization of GROUP BY.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_HashTableStatsCacheHits,gauge,,,,The number of times the prediction of a hash table size was correct.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_HashTableStatsCacheMisses,gauge,,,,The number of times the prediction of a hash table size was incorrect.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_IndexMarkCacheBytes,gauge,,,,Total size of mark cache for secondary indices in bytes.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_IndexMarkCacheFiles,gauge,,,,Total number of mark files cached in the mark cache for secondary indices.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_IndexUncompressedCacheBytes,gauge,,,,Total size of uncompressed cache in bytes for secondary indices. Uncompressed cache does not usually improve the performance and should be mostly avoided.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_IndexUncompressedCacheCells,gauge,,,,Total number of entries in the uncompressed cache for secondary indices. Each entry represents a decompressed block of data. Uncompressed cache does not usually improve performance and should be mostly avoided.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_Jitter,gauge,,,,"The difference in time the thread for calculation of the asynchronous metrics was scheduled to wake up and the time it was in fact, woken up. A proxy-indicator of overall system latency and responsiveness.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_LoadAverage1,gauge,,,,"The whole system load, averaged with exponential smoothing over 1 minute.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_LoadAverage15,gauge,,,,"The whole system load, averaged with exponential smoothing over 15 minutes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_LoadAverage5,gauge,,,,"The whole system load, averaged with exponential smoothing over 5 minutes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MMapCacheCells,gauge,,,,The number of files opened with `mmap` (mapped in memory). This is used for queries with the setting `local_filesystem_read_method` set to `mmap`. The files opened with `mmap` are kept in the cache to avoid costly TLB flushes.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MarkCacheBytes,gauge,,,,Total size of mark cache in bytes,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MarkCacheFiles,gauge,,,,Total number of mark files cached in the mark cache,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MaxPartCountForPartition,gauge,,,,"Maximum number of parts per partition across all partitions of all tables of MergeTree family. Values larger than 300 indicates misconfiguration, overload, or massive data loading.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MemoryCode,gauge,,,,"The amount of virtual memory mapped for the pages of machine code of the server process, in bytes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MemoryDataAndStack,gauge,,,,"The amount of virtual memory mapped for the use of stack and for the allocated memory, in bytes. It is unspecified whether it includes the per-thread stacks and most of the allocated memory, that is allocated with the 'mmap' system call. This metric exists only for completeness reasons. I recommend to use the `MemoryResident` metric for monitoring.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MemoryResident,gauge,,,,"The amount of physical memory used by the server process, in bytes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MemoryResidentMax,gauge,,,,"Maximum amount of physical memory used by the server process, in bytes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MemoryShared,gauge,,,,"The amount of memory used by the server process, that is also shared by another processes, in bytes. ClickHouse does not use shared memory, but some memory can be labeled by OS as shared for its own reasons. This metric does not make a lot of sense to watch, and it exists only for completeness reasons.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_MemoryVirtual,gauge,,,,"The size of the virtual address space allocated by the server process, in bytes. The size of the virtual address space is usually much greater than the physical memory consumption, and should not be used as an estimate for the memory consumption. The large values of this metric are totally normal, and makes only technical sense.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NetworkTCPReceiveQueue,gauge,,,,Total size of receive queues of network sockets used on the server across TCPv4 and TCPv6.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NetworkTCPSocketRemoteAddresses,gauge,,,,Total number of unique remote addresses of network sockets used on the server across TCPv4 and TCPv6.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NetworkTCPSockets,gauge,,,,"Total number of network sockets used on the server across TCPv4 and TCPv6, in all states.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NetworkTCPTransmitQueue,gauge,,,,Total size of transmit queues of network sockets used on the server across TCPv4 and TCPv6.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NetworkTCPUnrecoveredRetransmits,gauge,,,,Total size of current retransmits (unrecovered at this moment) of network sockets used on the server across TCPv4 and TCPv6.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfDatabases,gauge,,,,Total number of databases on the server.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfDetachedByUserParts,gauge,,,,"The total number of parts detached from MergeTree tables by users with the `ALTER TABLE DETACH` query (as opposed to unexpected, broken or ignored parts). The server does not care about detached parts and they can be removed.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfDetachedParts,gauge,,,,"The total number of parts detached from MergeTree tables. A part can be detached by a user with the `ALTER TABLE DETACH` query or by the server itself it the part is broken, unexpected or unneeded. The server does not care about detached parts and they can be removed.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfPendingMutations,gauge,,,,The total number of mutations that are in left to be mutated.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfPendingMutationsOverExecutionTime,gauge,,,,The total number of mutations which have data part left to be mutated over the specified max_pending_mutations_execution_time_to_warn setting.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfStuckMutations,gauge,,,,The total number of mutations which have data part left to be mutated over the last 1 hour.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfTables,gauge,,,,"Total number of tables summed across the databases on the server, excluding the databases that cannot contain MergeTree tables. The excluded database engines are those who generate the set of tables on the fly, like `Lazy`, `MySQL`, `PostgreSQL`, `SQlite`.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_NumberOfTablesSystem,gauge,,,,Total number of tables in the system database on the server stored in tables of MergeTree family.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSCPUOverload,gauge,,,,"Relative CPU deficit, calculated as: how many threads are waiting for CPU relative to the number of threads, using CPU. If it is greater than zero, the server would benefit from more CPU. If it is significantly greater than zero, the server could become unresponsive. The metric is accumulated between the updates of asynchronous metrics.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSContextSwitches,gauge,,,,"The number of context switches that the system underwent on the host machine. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSGuestNiceTimeNormalized,gauge,,,,"The value is similar to `OSGuestNiceTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSGuestTimeNormalized,gauge,,,,"The value is similar to `OSGuestTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSIOWaitTimeNormalized,gauge,,,,"The value is similar to `OSIOWaitTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSIdleTimeNormalized,gauge,,,,"The value is similar to `OSIdleTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSInterrupts,gauge,,,,"The number of interrupts on the host machine. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSIrqTimeNormalized,gauge,,,,"The value is similar to `OSIrqTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSMemoryAvailable,gauge,,,,"The amount of memory available to be used by programs, in bytes. This is very similar to the `OSMemoryFreePlusCached` metric. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSMemoryBuffers,gauge,,,,"The amount of memory used by OS kernel buffers, in bytes. This should be typically small, and large values may indicate a misconfiguration of the OS. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSMemoryCached,gauge,,,,"The amount of memory used by the OS page cache, in bytes. Typically, almost all available memory is used by the OS page cache - high values of this metric are normal and expected. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSMemoryFreePlusCached,gauge,,,,"The amount of free memory plus OS page cache memory on the host system, in bytes. This memory is available to be used by programs. The value should be very similar to `OSMemoryAvailable`. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSMemoryFreeWithoutCached,gauge,,,,"The amount of free memory on the host system, in bytes. This does not include the memory used by the OS page cache memory, in bytes. The page cache memory is also available for usage by programs, so the value of this metric can be confusing. See the `OSMemoryAvailable` metric instead. For convenience we also provide the `OSMemoryFreePlusCached` metric, that should be somewhat similar to OSMemor...",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSMemorySwapCached,gauge,,,,"The amount of memory in swap that was also loaded in RAM. Swap should be disabled on production systems. If the value of this metric is large, it indicates a misconfiguration. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSMemoryTotal,gauge,,,,"The total amount of memory on the host system, in bytes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSNiceTimeNormalized,gauge,,,,"The value is similar to `OSNiceTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSOpenFiles,gauge,,,,"The total number of opened files on the host machine. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSProcessesBlocked,gauge,,,,"Number of threads blocked waiting for I/O to complete (`man procfs`). This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSProcessesCreated,gauge,,,,"The number of processes created. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSProcessesRunning,gauge,,,,"The number of runnable (running or ready to run) threads by the operating system. This is a system-wide metric, it includes all the processes on the host machine, not just clickhouse-server.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSSoftIrqTimeNormalized,gauge,,,,"The value is similar to `OSSoftIrqTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSStealTimeNormalized,gauge,,,,"The value is similar to `OSStealTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSSystemTimeNormalized,gauge,,,,"The value is similar to `OSSystemTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSThreadsRunnable,gauge,,,,"The total number of 'runnable' threads, as the OS kernel scheduler seeing it.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSThreadsTotal,gauge,,,,"The total number of threads, as the OS kernel scheduler seeing it.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSUptime,gauge,,,,"The uptime of the host server (the machine where ClickHouse is running), in seconds.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_OSUserTimeNormalized,gauge,,,,"The value is similar to `OSUserTime` but divided to the number of CPU cores to be measured in the [0..1] interval regardless of the number of cores. This allows you to average the values of this metric across multiple servers in a cluster even if the number of cores is non-uniform, and still get the average resource utilization metric.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_PageCacheBytes,gauge,,,,Total size of userspace page cache in bytes.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_PageCacheCells,gauge,,,,Total number of entries in the userspace page cache.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_PageCacheMaxBytes,gauge,,,,"Current limit on the size of userspace page cache, in bytes.",0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_PageCachePinnedBytes,gauge,,,,Userspace page cache memory that's currently in use and can't be evicted,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_PrimaryIndexCacheBytes,gauge,,,,Total size of primary index cache in bytes,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_PrimaryIndexCacheFiles,gauge,,,,Total number of index files cached in the primary index cache,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_QueryCacheBytes,gauge,,,,Total size of the query cache in bytes.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_QueryCacheEntries,gauge,,,,Total number of entries in the query cache.,0,clickhouse,,,
clickhouse.ClickHouseAsyncMetrics_ReplicasMaxAbsoluteDelay,gauge,,,,"Maximum difference in seconds between the most fresh replicated part and the most fresh data part still to be replicated, across Replicated tables. A very high value indicates a replica with no data.",0,clickhouse,,,
