metric_name,clickhouse_name,source_table,proposed_tier,tier_type,category
clickhouse.asynchronous_metrics.HashTableStatsCacheEntries,HashTableStatsCacheEntries,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.HashTableStatsCacheHits,HashTableStatsCacheHits,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.HashTableStatsCacheMisses,HashTableStatsCacheMisses,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexMarkCacheBytes,IndexMarkCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexMarkCacheFiles,IndexMarkCacheFiles,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexUncompressedCacheBytes,IndexUncompressedCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.IndexUncompressedCacheCells,IndexUncompressedCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.MMapCacheCells,MMapCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.MarkCacheBytes,MarkCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.MarkCacheFiles,MarkCacheFiles,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCacheBytes,PageCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCacheCells,PageCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCacheMaxBytes,PageCacheMaxBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PageCachePinnedBytes,PageCachePinnedBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PrimaryIndexCacheBytes,PrimaryIndexCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.PrimaryIndexCacheFiles,PrimaryIndexCacheFiles,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.UncompressedCacheBytes,UncompressedCacheBytes,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.asynchronous_metrics.UncompressedCacheCells,UncompressedCacheCells,system.asynchronous_metrics,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysExpired,DictCacheKeysExpired,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysHit,DictCacheKeysHit,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysNotFound,DictCacheKeysNotFound,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysRequested,DictCacheKeysRequested,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysRequestedFound,DictCacheKeysRequestedFound,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheKeysRequestedMiss,DictCacheKeysRequestedMiss,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheRequestTimeNs,DictCacheRequestTimeNs,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DictCacheRequests,DictCacheRequests,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheConnectAttempts,DistrCacheConnectAttempts,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheDataPacketsBytes,DistrCacheDataPacketsBytes,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheGetClient,DistrCacheGetClient,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheHashRingRebuilds,DistrCacheHashRingRebuilds,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheIgnoredBytesWhileWaitingProfileEvents,DistrCacheIgnoredBytesWhileWaitingProfileEvents,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCachePackets,DistrCachePackets,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCachePacketsBytes,DistrCachePacketsBytes,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRangeChange,DistrCacheRangeChange,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRangeResetBackward,DistrCacheRangeResetBackward,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRangeResetForward,DistrCacheRangeResetForward,system.events,FREE,PERFORMANCE,cache_performance
clickhouse.events.DistrCacheRegistryUpdates,DistrCacheRegistryUpdates,system.events,FREE,PERFORMANCE,cache_performance
