metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
coredns.acl.allowed_requests,count,,request,,[OpenMetrics V1] Counter of DNS requests being allowed.,0,coredns,dns allowed requests,
coredns.acl.allowed_requests.count,count,,request,,[OpenMetrics V2] Counter of DNS requests being allowed.,0,coredns,dns allowed requests,
coredns.acl.blocked_requests,count,,request,,[OpenMetrics V1] Counter of DNS requests being blocked.,0,coredns,dns blocked request,
coredns.acl.blocked_requests.count,count,,request,,[OpenMetrics V2] Counter of DNS requests being blocked.,0,coredns,dns blocked request,
coredns.autopath.success_count,count,,request,,[OpenMetrics V1] Counter of requests that did autopath.,0,coredns,autopath success,
coredns.autopath.success_count.count,count,,request,,[OpenMetrics V2] Counter of requests that did autopath.,0,coredns,autopath success,
coredns.build_info,gauge,,,,"[OpenMetrics V1 and V2] A metric with a constant '1' value labeled by version, revision, and goversion from which CoreDNS was built.",0,coredns,build info,
coredns.cache_drops_count,count,,response,,[OpenMetrics V1] Counter of responses excluded from the cache due to request/response question name mismatch.,0,coredns,cache drop,
coredns.cache_drops_count.count,count,,response,,[OpenMetrics V2] Counter of responses excluded from the cache due to request/response question name mismatch.,0,coredns,cache drop,
coredns.cache_hits_count,count,,hit,,[OpenMetrics V1] Counter of cache hits by cache type,1,coredns,cache hit,
coredns.cache_hits_count.count,count,,hit,,[OpenMetrics V2] Counter of cache hits by cache type,1,coredns,cache hit,
coredns.cache_misses_count,count,,miss,,[OpenMetrics V1] Counter of cache misses.,1,coredns,cache miss,
coredns.cache_misses_count.count,count,,miss,,[OpenMetrics V2] Counter of cache misses.,1,coredns,cache miss,
coredns.cache_prefetch_count,count,,,,[OpenMetrics V1] The number of time the cache has prefetched a cached item.,1,coredns,cache prefetch,
coredns.cache_prefetch_count.count,count,,,,[OpenMetrics V2] The number of time the cache has prefetched a cached item.,1,coredns,cache prefetch,
coredns.cache_request_count,count,,request,,[OpenMetrics V1] Counter of cache requests.,1,coredns,cache request count,
coredns.cache_request_count.count,count,,request,,[OpenMetrics V2] Counter of cache requests.,1,coredns,cache request count,
coredns.cache_size.count,gauge,,entry,,[OpenMetrics V1 and V2],1,coredns,cache size,
coredns.cache_stale_count,count,,request,,[OpenMetrics V1] Counter of requests served from stale cache entries.,0,coredns,cache stale,
coredns.cache_stale_count.count,count,,request,,[OpenMetrics V2] Counter of requests served from stale cache entries.,0,coredns,cache stale,
coredns.dnssec.cache_hits,count,,hit,,[OpenMetrics V1] Counter of cache hits.,0,coredns,dnssec cache hit,
coredns.dnssec.cache_hits.count,count,,hit,,[OpenMetrics V2] Counter of cache hits.,0,coredns,dnssec cache hit,
coredns.dnssec.cache_misses,count,,miss,,[OpenMetrics V1] Counter of cache misses.,0,coredns,dnssec cache miss,
coredns.dnssec.cache_misses.count,count,,miss,,[OpenMetrics V2] Counter of cache misses.,0,coredns,dnssec cache miss,
coredns.dnssec.cache_size,gauge,,,,"[OpenMetrics V1 and V2] Total elements in the cache, type is signature.",0,coredns,dnssec cache size,
coredns.forward_healthcheck_broken_count,count,,entry,,[OpenMetrics V1] counter of when all upstreams are unhealthy,-1,coredns,forward all healthchecks broken,
coredns.forward_healthcheck_broken_count.count,count,,entry,,[OpenMetrics V2] counter of when all upstreams are unhealthy,-1,coredns,forward all healthchecks broken,
coredns.forward_healthcheck_failure_count,count,,entry,,[OpenMetrics V1] number of failed health checks per upstream,-1,coredns,forward failed healthchecks,
coredns.forward_healthcheck_failure_count.count,count,,entry,,[OpenMetrics V2] number of failed health checks per upstream,-1,coredns,forward failed healthchecks,
coredns.forward_max_concurrent_rejects,count,,query,,[OpenMetrics V1] Counter of the number of queries rejected because the concurrent queries were at maximum.,-1,coredns,max concurrent queries,
coredns.forward_max_concurrent_rejects.count,count,,query,,[OpenMetrics V2] Counter of the number of queries rejected because the concurrent queries were at maximum.,-1,coredns,max concurrent queries,
coredns.forward_request_count,count,,request,,[OpenMetrics V1] query count per upstream,1,coredns,forward request count,
