metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
datadog.dogstatsd.client.aggregated_context,count,,,,Total number of contexts flushed by the aggregator when client-side aggregation is enabled,0,datadog_dogstatsd,client_aggregated_context,,
datadog.dogstatsd.client.aggregated_context_by_type,count,,,,Total number of contexts flushed by the aggregator broken down by metric type (tag: metrics_type),0,datadog_dogstatsd,client_aggregated_context_by_type,,
datadog.dogstatsd.client.bytes_dropped,count,,byte,,Total number of bytes dropped by the client (sum of queue-full and writer drops),-1,datadog_dogstatsd,client_bytes_dropped,,
datadog.dogstatsd.client.bytes_dropped_queue,count,,byte,,Total number of bytes dropped because the sender queue was full,-1,datadog_dogstatsd,client_bytes_dropped_queue,,
datadog.dogstatsd.client.bytes_dropped_writer,count,,byte,,Total number of bytes dropped by the writer due to network timeout or error,-1,datadog_dogstatsd,client_bytes_dropped_writer,,
datadog.dogstatsd.client.bytes_sent,count,,byte,,Total number of bytes successfully sent by the client,0,datadog_dogstatsd,client_bytes_sent,,
datadog.dogstatsd.client.events,count,,event,,Total number of events sent by the client before aggregation and sampling,0,datadog_dogstatsd,client_events,,
datadog.dogstatsd.client.metric_dropped_on_receive,count,,metric,,"Total number of metrics, events, and service checks dropped when using ChannelMode",-1,datadog_dogstatsd,client_metric_dropped_on_receive,,
datadog.dogstatsd.client.metrics,count,,metric,,Total number of metrics sent by the client before aggregation and sampling,0,datadog_dogstatsd,client_metrics,,
datadog.dogstatsd.client.metrics_by_type,count,,metric,,Total number of metrics sent by the client before aggregation and sampling broken down by metric type (tag: metrics_type),0,datadog_dogstatsd,client_metrics_by_type,,
datadog.dogstatsd.client.packets_dropped,count,,packet,,Total number of payloads dropped by the client (sum of queue-full and writer drops),-1,datadog_dogstatsd,client_packets_dropped,,
datadog.dogstatsd.client.packets_dropped_queue,count,,packet,,Total number of payloads dropped because the sender queue was full,-1,datadog_dogstatsd,client_packets_dropped_queue,,
datadog.dogstatsd.client.packets_dropped_writer,count,,packet,,Total number of payloads dropped by the writer due to network timeout or error,-1,datadog_dogstatsd,client_packets_dropped_writer,,
datadog.dogstatsd.client.packets_sent,count,,packet,,Total number of payloads successfully sent by the client,0,datadog_dogstatsd,client_packets_sent,,
datadog.dogstatsd.client.service_checks,count,,,,Total number of service checks sent by the client before aggregation and sampling,0,datadog_dogstatsd,client_service_checks,,
