metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
datadog.operator.admission_controller.feature.enabled,gauge,,,,`1` if the Admission Controller feature is enabled,0,datadog_operator,admission_controller_enabled,
datadog.operator.agent.deployment.success,gauge,,,,`1` if the desired number of Agent replicas equals the number of available Agent pods. `0` otherwise.,0,datadog_operator,agent_deployment_success,
datadog.operator.cluster_checks.feature.enabled,gauge,,,,`1` if the Cluster checks feature is enabled,0,datadog_operator,cluster_checks_enabled,
datadog.operator.clusteragent.deployment.success,gauge,,,,`1` if the desired number of Cluster Agent replicas equals the number of available Cluster Agent pods. `0` otherwise.,0,datadog_operator,dca_deployment_success,
datadog.operator.clusterchecksrunner.deployment.success,gauge,,,,`1` if the desired number of Cluster Check Runner replicas equals the number of available Cluster Check Runner pods. `0` otherwise.,0,datadog_operator,ccr_deployment_success,
datadog.operator.controller_runtime_active_workers,gauge,,worker,,Number of currently used workers per controller,0,datadog_operator,cr_active_workers,
datadog.operator.controller_runtime_max_concurrent_reconciles,gauge,,operation,,Maximum number of concurrent reconciles per controller,0,datadog_operator,cr_max_concurrent_reconciles,
datadog.operator.controller_runtime_reconcile_errors_total,count,,error,,Total number of reconciliation errors per controller,-1,datadog_operator,cr_reconcile_errors,
datadog.operator.controller_runtime_reconcile_time_seconds.count,count,,second,,Count of time per reconciliation per controller,0,datadog_operator,cr_reconcile_time_seconds_c,
datadog.operator.controller_runtime_reconcile_time_seconds.sum,count,,second,,Sum of time per reconciliation per controller,0,datadog_operator,cr_reconcile_time_seconds_s,
datadog.operator.controller_runtime_reconcile_total,count,,operation,,Total number of reconciliations per controller,0,datadog_operator,cr_reconcile,
datadog.operator.default.feature.enabled,gauge,,,,,0,datadog_operator,default_enabled,
datadog.operator.dogstatsd.feature.enabled,gauge,,,,`1` if the DogStatsD feature is enabled,0,datadog_operator,dogstatsd_enabled,
datadog.operator.eds_controller_leader,gauge,,,,,0,datadog_operator,eds_controller_leader,
datadog.operator.event_collection.feature.enabled,gauge,,,,`1` if the Event Collection feature is enabled,0,datadog_operator,event_collection_enabled,
datadog.operator.go_gc_duration_seconds.count,count,,second,,Count of the GC invocation durations,0,datadog_operator,go_threads_c,
datadog.operator.go_gc_duration_seconds.quantile,gauge,,second,,Quantiles of the GC invocation durations,0,datadog_operator,go_threads,
datadog.operator.go_gc_duration_seconds.sum,count,,second,,Sum of the GC invocation durations,0,datadog_operator,go_threads_s,
datadog.operator.go_goroutines,gauge,,thread,,Number of goroutines that currently exist,0,datadog_operator,go_goroutines,
datadog.operator.go_info,gauge,,,,Go version,0,datadog_operator,go_info,
datadog.operator.go_memstats_alloc_bytes,gauge,,byte,,Number of bytes allocated and still in use,0,datadog_operator,go_memstats_alloc_bytes,
datadog.operator.go_memstats_alloc_bytes_total,count,,byte,,Total number of bytes allocated even if freed,0,datadog_operator,go_memstats_alloc_bytes_total,
datadog.operator.go_memstats_buck_hash_sys_bytes,gauge,,byte,,Number of bytes used by the profiling bucket hash table,0,datadog_operator,go_memstats_buck_hash_sys_bytes,
datadog.operator.go_memstats_frees_total,count,,,,Total number of frees,0,datadog_operator,go_memstats_frees_total,
datadog.operator.go_memstats_gc_cpu_fraction,gauge,,fraction,,The fraction of this program's available CPU time used by the GC since the program started,0,datadog_operator,go_memstats_gc_cpu_fraction,
datadog.operator.go_memstats_gc_sys_bytes,gauge,,byte,,Number of bytes used for garbage collection system metadata,0,datadog_operator,go_memstats_gc_sys_bytes,
datadog.operator.go_memstats_heap_alloc_bytes,gauge,,byte,,Number of heap bytes allocated and still in use,0,datadog_operator,go_memstats_heap_alloc_bytes,
datadog.operator.go_memstats_heap_idle_bytes,gauge,,byte,,Number of heap bytes waiting to be used,0,datadog_operator,go_memstats_heap_idle_bytes,
datadog.operator.go_memstats_heap_inuse_bytes,gauge,,byte,,Number of heap bytes that are in use,0,datadog_operator,go_memstats_heap_inuse_bytes,
datadog.operator.go_memstats_heap_objects,gauge,,object,,Number of allocated objects,0,datadog_operator,go_memstats_heap_objects,
datadog.operator.go_memstats_heap_released_bytes,gauge,,byte,,Number of heap bytes released to OS,0,datadog_operator,go_memstats_heap_released_bytes,
datadog.operator.go_memstats_heap_sys_bytes,gauge,,byte,,Number of heap bytes obtained from system,0,datadog_operator,go_memstats_heap_sys_bytes,
datadog.operator.go_memstats_last_gc_time_seconds,gauge,,,,Number of seconds since 1970 of last garbage collection,0,datadog_operator,go_memstats_last_gc_time_seconds,
datadog.operator.go_memstats_lookups_total,count,,,,Total number of pointer lookups,0,datadog_operator,go_memstats_lookups_total,
datadog.operator.go_memstats_mallocs_total,count,,,,TTotal number of mallocs,0,datadog_operator,go_memstats_mallocs_total,
datadog.operator.go_memstats_mcache_inuse_bytes,gauge,,byte,,Number of bytes in use by mcache structures,0,datadog_operator,go_memstats_mcache_inuse_bytes,
datadog.operator.go_memstats_mcache_sys_bytes,gauge,,byte,,Number of bytes used for mcache structures obtained from system,0,datadog_operator,go_memstats_mcache_sys_bytes,
datadog.operator.go_memstats_mspan_inuse_bytes,gauge,,byte,,Number of bytes in use by mspan structures,0,datadog_operator,go_memstats_mspan_inuse_bytes,
datadog.operator.go_memstats_mspan_sys_bytes,gauge,,,,Number of bytes used for mspan structures obtained from system,0,datadog_operator,go_memstats_mspan_sys_bytes,
datadog.operator.go_memstats_next_gc_bytes,gauge,,byte,,Number of heap bytes when next garbage collection will take place,0,datadog_operator,go_memstats_next_gc_bytes,
datadog.operator.go_memstats_other_sys_bytes,gauge,,byte,,Number of bytes used for other system allocations,0,datadog_operator,go_memstats_other_sys_bytes,
datadog.operator.go_memstats_stack_inuse_bytes,gauge,,byte,,Number of bytes in use by the stack allocator,0,datadog_operator,go_memstats_stack_inuse_bytes,
datadog.operator.go_memstats_stack_sys_bytes,gauge,,byte,,Number of bytes obtained from system for stack allocator,0,datadog_operator,go_memstats_stack_sys_bytes,
datadog.operator.go_memstats_sys_bytes,gauge,,byte,,Number of bytes obtained from system,0,datadog_operator,go_memstats_stack_sys_bytes,
datadog.operator.go_threads,gauge,,thread,,Number of OS threads created,0,datadog_operator,go_threads,
datadog.operator.ksm.feature.enabled,gauge,,,,`1` if the Kubernetes State Metrics Core feature is enabled,0,datadog_operator,ksm_enabled,
datadog.operator.live_container.feature.enabled,gauge,,,,`1` if the Live Containers feature is enabled,0,datadog_operator,live_containers_enabled,
datadog.operator.log_collection.feature.enabled,gauge,,,,`1` if the Log Collection feature is enabled,0,datadog_operator,log_collection_enabled,
datadog.operator.orchestrator_explorer.feature.enabled,gauge,,,,`1` if the Kubernetes Orchestrator Explorer feature is enabled,0,datadog_operator,orchestrator_explorer_enabled,
datadog.operator.process_cpu_seconds_total,count,,second,,Total user and system CPU time spent in seconds,0,datadog_operator,process_cpu_seconds_total,
datadog.operator.process_max_fds,gauge,,file,,Maximum number of open file descriptors,0,datadog_operator,process_max_fds,
datadog.operator.process_open_fds,gauge,,file,,Number of open file descriptors,0,datadog_operator,process_open_fds,
datadog.operator.process_resident_memory_bytes,gauge,,byte,,Resident memory size in bytes,0,datadog_operator,process_resident_memory_bytes,
datadog.operator.process_start_time_seconds,gauge,,,,Start time of the process since unix epoch in seconds,0,datadog_operator,process_start_time_seconds,
datadog.operator.process_virtual_memory_bytes,gauge,,byte,,Virtual memory size in bytes,0,datadog_operator,process_virtual_memory_bytes,
datadog.operator.process_virtual_memory_max_bytes,gauge,,byte,,Maximum amount of virtual memory available in bytes,0,datadog_operator,process_virtual_memory_max_bytes,
datadog.operator.reconcile.success,gauge,,,,"`1` if the last recorded reconcile error is null, `0` otherwise. The `reconcile_err` tag describes the last recorded error.",0,datadog_operator,reconcile_success,
datadog.operator.remote_config.feature.enabled,gauge,,,,`1` if the Remote Configuration feature is enabled,0,datadog_operator,remote_config_enabled,
datadog.operator.rest_client_requests_total,count,,request,,"Number of HTTP requests, partitioned by status code, method, and host",0,datadog_operator,rest_client_requests_total,
datadog.operator.workqueue_adds_total,count,,,,Total number of adds handled by workqueue,0,datadog_operator,workqueue_adds_total,
datadog.operator.workqueue_depth,gauge,,,,Current depth of workqueue,0,datadog_operator,workqueue_depth,
datadog.operator.workqueue_longest_running_processor_seconds,gauge,,second,,How many seconds has the longest running processor for workqueue been running.,-1,datadog_operator,workqueue_longest_running_processor_seconds,
datadog.operator.workqueue_queue_duration_seconds.count,count,,second,,Count of how long in seconds an item stays in workqueue before being requested,0,datadog_operator,workqueue_queue_duration_seconds_c,
