metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
envoy.cluster.assignment_stale.count,count,,,,[OpenMetrics V2] Number of times the received assignments went stale before new assignments arrived.,0,envoy,,
envoy.cluster.assignment_timeout_received.count,count,,occurrence,,[OpenMetrics V2] Total assignments received with endpoint lease information.,0,envoy,,
envoy.cluster.bind_errors.count,count,,error,,[OpenMetrics V2] Total errors binding the socket to the configured source address,-1,envoy,,
envoy.cluster.default_total_match.count,count,,,,[OpenMetrics V2],0,envoy,,
envoy.cluster.ext_authz.denied.count,count,,response,,[OpenMetrics V2] Total responses from the external authorization service denying the traffic,-1,envoy,,
envoy.cluster.ext_authz.disabled.count,count,,response,,[OpenMetrics V2] Total requests allowed without calling the external authorization services due to the filter being disabled,-1,envoy,,
envoy.cluster.ext_authz.error.count,count,,response,,[OpenMetrics V2] Total errors contacting the external authorization service,-1,envoy,,
envoy.cluster.ext_authz.failure_mode_allowed.count,count,,response,,[OpenMetrics V2] Total requests that errored when contacting the external authorization service but were allowed through because of failure_mode_allow being set to false,-1,envoy,,
envoy.cluster.ext_authz.ok.count,count,,response,,[OpenMetrics V2] Total responses from the external authorization service,1,envoy,,
envoy.cluster.external.upstream_rq.count,count,,request,,[OpenMetrics v2] Total external origin requests,-1,envoy,,
envoy.cluster.external.upstream_rq_completed.count,count,,request,,[OpenMetrics v2] Total external origin requests completed,-1,envoy,,
envoy.cluster.external.upstream_rq_xx.count,count,,request,,"[OpenMetrics v2] External origin aggregate HTTP response codes (e.g., 2xx, 3xx, etc.)",-1,envoy,,
envoy.cluster.external.upstream_rq_time.bucket,count,,millisecond,,[OpenMetrics V2] Total time for external request and response (milliseconds),0,envoy,,
envoy.cluster.external.upstream_rq_time.count,count,,,,[OpenMetrics V2] Count of external request and response times sampled.,0,envoy,,
envoy.cluster.external.upstream_rq_time.sum,count,,millisecond,,[OpenMetrics V2] Total sum of external request and response times.,0,envoy,,
envoy.cluster.http1.dropped_headers_with_underscores.count,count,,,,[OpenMetrics V2] Total number of dropped headers with names containing underscores. This action is configured by setting the headers_with_underscores_action config setting.,0,envoy,,
envoy.cluster.http1.metadata_not_supported_error.count,count,,,,[OpenMetrics V2] Total number of metadata dropped during HTTP/1 encoding,0,envoy,,
envoy.cluster.http1.requests_rejected_with_underscores_in_headers.count,count,,request,,[OpenMetrics V2] Total numbers of rejected requests due to header names containing underscores. This action is configured by setting the headers_with_underscores_action config setting.,0,envoy,,
envoy.cluster.http1.response_flood.count,count,,connection,,[OpenMetrics V2] Total number of connections closed due to response flooding,0,envoy,,
envoy.cluster.http2.dropped_headers_with_underscores.count,count,,,,[OpenMetrics V2] Total number of dropped headers with names containing underscores. This action is configured by setting the headers_with_underscores_action config setting.,0,envoy,,
envoy.cluster.http2.header_overflow.count,count,,connection,,[OpenMetrics V2] Total number of connections reset due to the headers being larger than 63 K,-1,envoy,,
envoy.cluster.http2.headers_cb_no_stream.count,count,,request,,[OpenMetrics V2] Total request resets received,0,envoy,,
envoy.cluster.http2.inbound_empty_frames_flood.count,count,,connection,,[OpenMetrics V2] Total number of connections terminated for exceeding the limit on consecutive inbound frames with an empty payload and no end stream flag,-1,envoy,,
envoy.cluster.http2.inbound_priority_frames_flood.count,count,,connection,,[OpenMetrics V2] Total number of connections terminated for exceeding the limit on inbound frames of type PRIORITY,-1,envoy,,
envoy.cluster.http2.inbound_window_update_frames_flood.count,count,,,,[OpenMetrics V2],0,envoy,,
envoy.cluster.http2.keepalive_timeout.count,count,,,,[OpenMetrics V2],0,envoy,,
envoy.cluster.http2.metadata_empty_frames.count,count,,,,[OpenMetrics V2],0,envoy,,
envoy.cluster.http2.outbound_control_flood.count,count,,connection,,[OpenMetrics V2] Total number of connections terminated for exceeding the limit on outbound frames of types PING/SETTINGS/RST_STREAM,-1,envoy,,
envoy.cluster.http2.outbound_flood.count,count,,connection,,[OpenMetrics V2] Total number of connections terminated for exceeding the limit on outbound frames of all types,-1,envoy,,
envoy.cluster.http2.pending_send_bytes,gauge,,byte,,[OpenMetrics V2]Currently buffered body data in bytes waiting to be written when stream/connection window is opened.,0,envoy,,
envoy.cluster.http2.requests_rejected_with_underscores_in_headers.count,count,,request,,[OpenMetrics V2] Total numbers of rejected requests due to header names containing underscores. This action is configured by setting the headers_with_underscores_action config setting.,0,envoy,,
envoy.cluster.http2.rx_messaging_error.count,count,,error,,[OpenMetrics V2] Total number of invalid received frames that violated section 8 of the HTTP/2 spec,-1,envoy,,
envoy.cluster.http2.rx_reset.count,count,,message,,[OpenMetrics V2] Total number of reset stream frames received by Envoy,0,envoy,,
envoy.cluster.http2.streams_active,gauge,,,,[OpenMetrics V2] Active streams as observed by the codec,0,envoy,,
envoy.cluster.http2.trailers.count,count,,,,[OpenMetrics V2] Total number of trailers seen on requests coming from downstream,0,envoy,,
envoy.cluster.http2.tx_flush_timeout.count,count,,,,[OpenMetrics V2] Total number of stream idle timeouts waiting for open stream window to flush the remainder of a stream,0,envoy,,
envoy.cluster.http2.tx_reset.count,count,,,,[OpenMetrics V2] Total number of reset stream frames transmitted by Envoy,0,envoy,,
envoy.cluster.internal.upstream_rq.count,count,,millisecond,,[OpenMetrics V2] Request time milliseconds,0,envoy,,
envoy.cluster.internal.upstream_rq_completed.count,count,,,,[OpenMetrics V2] Total upstream requests completed,0,envoy,,
envoy.cluster.internal.upstream_rq_xx.count,count,,,,"[OpenMetrics V2] Aggregate HTTP response codes (e.g., 2xx, 3xx, etc.)",0,envoy,,
envoy.cluster.lb_healthy_panic.count,count,,,,[OpenMetrics V2] Total requests load balanced with the load balancer in panic mode,0,envoy,,
envoy.cluster.lb_local_cluster_not_ok.count,count,,,,[OpenMetrics V2] Local host set is not set or it is panic mode for local cluster,0,envoy,,
envoy.cluster.lb_recalculate_zone_structures.count,count,,,,[OpenMetrics V2] The number of times locality aware routing structures are regenerated for fast decisions on upstream locality selection,0,envoy,,
envoy.cluster.lb_subsets_created.count,count,,,,[OpenMetrics V2] Number of subsets created,0,envoy,,
envoy.cluster.lb_subsets_fallback.count,count,,,,[OpenMetrics V2] Number of times the fallback policy was invoke,0,envoy,,
envoy.cluster.lb_subsets_fallback_panic.count,count,,,,[OpenMetrics V2] Number of times the subset panic mode triggered,0,envoy,,
envoy.cluster.lb_subsets_removed.count,count,,,,[OpenMetrics V2] Number of subsets removed due to no hosts,0,envoy,,
envoy.cluster.lb_subsets_selected.count,count,,,,[OpenMetrics V2] Number of times any subset was selected for load balancing,0,envoy,,
envoy.cluster.lb_zone_cluster_too_small.count,count,,,,[OpenMetrics V2] No zone aware routing because of small upstream cluster size,0,envoy,,
envoy.cluster.lb_zone_no_capacity_left.count,count,,,,[OpenMetrics V2] Total number of times ended with random zone selection due to rounding error,0,envoy,,
envoy.cluster.lb_zone_number_differs.count,count,,,,[OpenMetrics V2] Number of zones in local and upstream cluster different,0,envoy,,
envoy.cluster.lb_zone_routing_all_directly.count,count,,,,[OpenMetrics V2] Sending all requests directly to the same zone,0,envoy,,
envoy.cluster.lb_zone_routing_cross_zone.count,count,,,,[OpenMetrics V2] Zone aware routing mode but have to send cross zone,0,envoy,,
envoy.cluster.lb_zone_routing_sampled.count,count,,,,[OpenMetrics V2] Sending some requests to the same zone,0,envoy,,
envoy.cluster.membership_change.count,count,,,,[OpenMetrics V2] Total cluster membership changes,0,envoy,,
envoy.cluster.original_dst_host_invalid.count,count,,,,[OpenMetrics V2] Total number of invalid hosts passed to original destination load balancer,0,envoy,,
envoy.cluster.outlier_detection.ejections_detected_consecutive_5xx.count,count,,,,[OpenMetrics V2] Number of detected consecutive 5xx ejections (even if unenforced),-1,envoy,,
envoy.cluster.outlier_detection.ejections_detected_consecutive_gateway_failure.count,count,,,,[OpenMetrics V2] Number of detected consecutive gateway failure ejections (even if unenforced),-1,envoy,,
envoy.cluster.outlier_detection.ejections_detected_consecutive_local_origin_failure.count,count,,,,[OpenMetrics V2] Number of detected consecutive local origin failure ejections (even if unenforced),-1,envoy,,
envoy.cluster.outlier_detection.ejections_detected_failure_percentage.count,count,,,,[OpenMetrics V2] Number of detected failure percentage ejections (even if unenforced),-1,envoy,,
envoy.cluster.outlier_detection.ejections_detected_local_origin_success_rate.count,count,,,,[OpenMetrics V2] Number of detected local origin success rate ejections (even if unenforced),-1,envoy,,
envoy.cluster.outlier_detection.ejections_detected_success_rate.count,count,,,,[OpenMetrics V2] Number of detected success rate outlier ejections (even if unenforced),-1,envoy,,
envoy.cluster.outlier_detection.ejections_enforced_consecutive_5xx.count,count,,,,[OpenMetrics V2] Number of enforced consecutive 5xx ejections,-1,envoy,,
envoy.cluster.outlier_detection.ejections_enforced_consecutive_gateway_failure.count,count,,,,[OpenMetrics V2] Number of enforced consecutive gateway failure ejections,-1,envoy,,
envoy.cluster.outlier_detection.ejections_enforced_consecutive_local_origin_failure.count,count,,,,[OpenMetrics V2] Number of enforced consecutive local origin failure ejections,-1,envoy,,
envoy.cluster.outlier_detection.ejections_enforced_failure_percentage.count,count,,,,[OpenMetrics V2] Number of enforced failure percentage ejections,-1,envoy,,
envoy.cluster.outlier_detection.ejections_enforced_local_origin_success_rate.count,count,,,,[OpenMetrics V2] Number of enforced local origin success rate ejections,-1,envoy,,
envoy.cluster.outlier_detection.ejections_enforced_success_rate.count,count,,,,[OpenMetrics V2] Number of enforced success rate outlier ejections,-1,envoy,,
envoy.cluster.outlier_detection.ejections_overflow.count,count,,,,[OpenMetrics V2] Number of ejections aborted due to the max ejection %,-1,envoy,,
envoy.cluster.ratelimit.error.count,count,,response,,[OpenMetrics V2] Total errors contacting the rate limit service,-1,envoy,,
envoy.cluster.ratelimit.failure_mode_allowed.count,count,,response,,[OpenMetrics V2] Total requests that errored when contacting the rate limit service but were allowed through because of failure_mode_deny being set to false,-1,envoy,,
envoy.cluster.ratelimit.ok.count,count,,response,,[OpenMetrics V2] Total under limit responses from the rate limit service,1,envoy,,
envoy.cluster.ratelimit.over_limit.count,count,,response,,[OpenMetrics V2] Total over limit responses from the rate limit service,-1,envoy,,
envoy.cluster.retry_or_shadow_abandoned.count,count,,,,[OpenMetrics V2] Total number of times shadowing or retry buffering was canceled due to buffer limits,0,envoy,,
envoy.cluster.update_attempt.count,count,,,,[OpenMetrics V2] Total attempted cluster membership updates by service discovery,0,envoy,,
envoy.cluster.update_empty.count,count,,,,[OpenMetrics V2] Total cluster membership updates ending with empty cluster load assignment and continuing with previous config,0,envoy,,
envoy.cluster.update_failure.count,count,,,,[OpenMetrics V2] Total failed cluster membership updates by service discovery,0,envoy,,
envoy.cluster.update_no_rebuild.count,count,,,,[OpenMetrics V2] Total successful cluster membership updates that didn't result in any cluster load balancing structure rebuild,0,envoy,,
envoy.cluster.update_success.count,count,,,,[OpenMetrics V2] Total successful cluster membership updates by service discover,0,envoy,,
envoy.cluster.upstream_cx.count,count,,connection,,[OpenMetrics V2] Count of connections,0,envoy,,
