metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
fastly.attack_synth,gauge,60,,,,0,fastly,attack synth,
fastly.bandwidth,gauge,60,byte,minute,Bandwidth sent.,0,fastly,bandwidth,
fastly.body_size,gauge,60,byte,minute,Request body bandwidth sent.,0,fastly,body size,
fastly.errors,gauge,60,request,minute,Number of Errors.,0,fastly,errors,
fastly.header_size,gauge,60,byte,minute,Request header bandwidth sent.,0,fastly,header size,
fastly.hit_ratio,gauge,60,percent,,Ratio of cache hits to cache misses.,0,fastly,hit ratio,
fastly.hits,gauge,60,request,,Number of cache hits.,0,fastly,hits,
fastly.hits_time,gauge,60,second,,Amount of time spent processing cache hits.,0,fastly,hits time,
fastly.miss,gauge,60,request,,Number of cache misses.,0,fastly,miss,
fastly.miss_time,gauge,60,second,,Amount of time spent processing cache misses.,0,fastly,miss time,
fastly.pass,gauge,60,request,minute,Number of requests passed through the CDN without being cached.,0,fastly,pass,
fastly.pipe,gauge,60,operation,minute,Number of pipe operations performed.,0,fastly,pipe,
fastly.requests,gauge,60,request,minute,Number of Requests Processed.,0,fastly,requests,
fastly.status_1xx,gauge,60,response,minute,Number of responses sent with an Informational status code.,0,fastly,status 1xx,
fastly.status_200,gauge,60,response,minute,Number of responses sent with status code 200 (Success).,0,fastly,status 200,
fastly.status_204,gauge,60,response,minute,Number of responses sent with status code 204 (No Content).,0,fastly,status 204,
fastly.status_2xx,gauge,60,response,minute,Number of responses sent with a Success status code.,0,fastly,status 2xx,
fastly.status_301,gauge,60,response,minute,Number of responses sent with status code 301 (Moved Permanently).,0,fastly,status 301,
fastly.status_302,gauge,60,response,minute,Number of responses sent with status code 302 (Found).,0,fastly,status 302,
fastly.status_304,gauge,60,response,minute,Number of responses sent with status code 304 (Not Modified).,0,fastly,status 303,
fastly.status_3xx,gauge,60,response,minute,Number of responses sent with a Redirection status code.,0,fastly,status 3xx,
fastly.status_4xx,gauge,60,response,minute,Number of responses sent with a Client Error status code.,0,fastly,status 4xx,
fastly.status_503,gauge,60,response,minute,Number of responses sent with status code 503 (Service Unavailable).,0,fastly,status 503,
fastly.status_5xx,gauge,60,response,minute,Number of responses sent with a Server Error status code.,0,fastly,status 5xx,
fastly.synth,gauge,60,,,,0,fastly,synth,
fastly.uncacheable,gauge,60,request,,Number of requests that were denoted uncachable.,0,fastly,uncachable,
fastly.pci,gauge,60,response,,Number of responses that have the PCI flag turned on,0,fastly,pci,
fastly.tls,gauge,60,request,,Number of requests that were received over TLS,0,fastly,tls,
fastly.log,gauge,60,,,Number of log lines sent,0,fastly,log,
fastly.ipv6,gauge,60,request,,Number of requests that were received over IPv6,0,fastly,ipv6,
fastly.otfp,gauge,60,response,,Number of responses that came from the Fastly On-the-Fly-Packager for On Demand Streaming service for Video-on-Demand,0,fastly,otfp,
fastly.video,gauge,60,response,,Number of responses with video segment or video manifest MIME type,0,fastly,video,
fastly.http2,gauge,60,request,,Number of requests that were received over HTTP2,0,fastly,http2,
fastly.shield,gauge,60,request,,Number of requests from edge to the shield POP.,0,fastly,shield,
fastly.imgopto,gauge,60,response,,Number of responses that came from the Fastly Image Optimizer service,0,fastly,imgopto,
fastly.blacklist,gauge,60,,,,0,fastly,blacklist,
fastly.orig_req_body_size,gauge,60,byte,,Total body bytes sent to origin,0,fastly,orig_req_body_size,
fastly.orig_req_header_size,gauge,60,byte,,Total header bytes sent to origin,0,fastly,orig_req_header_size,
fastly.orig_resp_body_size,gauge,60,byte,,Total body bytes sent from origin,0,fastly,orig_resp_body_size,
fastly.orig_resp_header_size,gauge,60,byte,,Total header bytes sent from origin,0,fastly,orig_resp_header_size,
fastly.tls_v10,gauge,60,request,,Number of requests received over TLS 1.0,0,fastly,tls_v10,
fastly.tls_v11,gauge,60,request,,Number of requests received over TLS 1.1,0,fastly,tls_v11,
fastly.tls_v12,gauge,60,request,,Number of requests received over TLS 1.2,0,fastly,tls_v12,
fastly.tls_v13,gauge,60,request,,Number of requests received over TLS 1.3,0,fastly,tls_v13,
fastly.req_body_bytes,gauge,60,byte,,Total body bytes received,0,fastly,req_body_bytes,
fastly.req_header_bytes,gauge,60,byte,,Total header bytes received,0,fastly,req_header_bytes,
fastly.resp_body_bytes,gauge,60,byte,,Total body bytes delivered,0,fastly,resp_body_bytes,
fastly.resp_header_bytes,gauge,60,byte,,Total header bytes delivered.,0,fastly,resp_header_bytes,
fastly.object_size_1k,gauge,60,object,,Number of objects served that were under 1KB in size,0,fastly,object_size_1k,
fastly.object_size_10k,gauge,60,object,,Number of objects served that were between 1KB and 10KB in size,0,fastly,object_size_10k,
fastly.object_size_100k,gauge,60,object,,Number of objects served that were between 10KB and 100KB in size,0,fastly,object_size_100k,
fastly.object_size_1m,gauge,60,object,,Number of objects served that were between 100KB and 1MB in size,0,fastly,object_size_1m,
fastly.object_size_10m,gauge,60,object,,Number of objects served that were between 1MB and 10MB in size,0,fastly,object_size_10m,
fastly.object_size_100m,gauge,60,object,,Number of objects served that were between 10MB and 100MB in size,0,fastly,object_size_100m,
fastly.object_size_1g,gauge,60,object,,Number of objects served that were between 100MB and 1GB in size,0,fastly,object_size_1g,
fastly.pass_time,gauge,60,second,,Amount of time spent processing cache passes,-1,fastly,pass_time,
fastly.status_400,gauge,60,response,,Number of responses sent with status code 400 (Bad Request),-1,fastly,status_400,
fastly.status_401,gauge,60,response,,Number of responses sent with status code 401 (Unauthorized),-1,fastly,status_401,
fastly.status_403,gauge,60,response,,Number of responses sent with status code 403 (Forbidden),-1,fastly,status_403,
fastly.status_404,gauge,60,response,,Number of responses sent with status code 404 (Not Found),-1,fastly,status_404,
fastly.status_416,gauge,60,response,,Number of responses sent with status code 416 (Range Not Satisfiable),-1,fastly,status_416,
fastly.status_500,gauge,60,response,,Number of responses sent with status code 500 (Internal Server Error),-1,fastly,status_500,
fastly.status_501,gauge,60,response,,Number of responses sent with status code 501 (Not Implemented),-1,fastly,status_501,
fastly.status_502,gauge,60,response,,Number of responses sent with status code 502 (Bad Gateway),-1,fastly,status_502,
fastly.status_504,gauge,60,response,,Number of responses sent with status code 504 (Gateway Timeout),-1,fastly,status_504,
fastly.status_505,gauge,60,response,,Number of responses sent with status code 505 (HTTP Version Not Supported),-1,fastly,status_505,
fastly.restarts,gauge,60,,,Number of restarts performed,0,fastly,restarts,
fastly.shield_resp_body_bytes,gauge,60,byte,,Total body bytes delivered via a shield,0,fastly,shield_resp_body_bytes,
fastly.shield_resp_header_bytes,gauge,60,byte,,Total header bytes delivered via a shield,0,fastly,shield_resp_header_bytes,
fastly.otfp_resp_body_bytes,gauge,60,byte,,Total body bytes delivered from the Fastly On-the-Fly Packager for On Demand Streaming service for video-on-demand,0,fastly,otfp_resp_body_bytes,
fastly.otfp_resp_header_bytes,gauge,60,byte,,Total header bytes delivered from the Fastly On-the-Fly Packager for On Demand Streaming service for video-on-demand,0,fastly,otfp_resp_header_bytes,
fastly.otfp_shield_resp_body_bytes,gauge,60,byte,,Total body bytes delivered via a shield for the Fastly On-the-Fly Packager for On Demand Streaming service for video-on-demand,0,fastly,otfp_shield_resp_body_bytes,
fastly.otfp_shield_resp_header_bytes,gauge,60,byte,,Total header bytes delivered via a shield for the Fastly On-the-Fly Packager for On Demand Streaming service for video-on-demand,0,fastly,otfp_shield_resp_header_bytes,
fastly.otfp_manifests,gauge,60,response,,Number of responses that were manifest files from the Fastly On-the-Fly Packager for On Demand Streaming service for video-on-demand,0,fastly,otfp_manifests,
fastly.otfp_deliver_time,gauge,60,second,,Total amount of time spent delivering a response from the Fastly On-the-Fly Packager for On Demand Streaming service for video-on-demand,-1,fastly,otfp_deliver_time,
fastly.otfp_shield_time,gauge,60,second,,Total amount of time spent delivering a response via a sheild from the Fastly On-the-Fly Packager for On Demand Streaming service for video-on-demand,-1,fastly,otfp_shield_time,
fastly.waf_logged,gauge,60,request,,Number of requests that triggered a WAF rule and were logged,0,fastly,waf_logged,
fastly.waf_blocked,gauge,60,request,,Number of requests that triggered a WAF rule and were blocked,0,fastly,waf_blocked,
fastly.waf_passed,gauge,60,request,,Number of requests that triggered a WAF rule and were passed,0,fastly,waf_passed,
fastly.attack_req_body_bytes,gauge,60,byte,,Total body bytes received from requests that triggered a WAF rule,0,fastly,attack_req_body_bytes,
fastly.attack_req_header_bytes,gauge,60,byte,,Total header bytes received from requests that triggered a WAF rule,0,fastly,attack_req_header_bytes,
fastly.attack_logged_req_body_bytes,gauge,60,byte,,Total body bytes received from requests that triggered a WAF rule that was logged,0,fastly,attack_logged_req_body_bytes,
fastly.attack_logged_req_header_bytes,gauge,60,byte,,Total header bytes received from requests that triggered a WAF rule that was logged,0,fastly,attack_logged_req_header_bytes,
fastly.attack_blocked_req_body_bytes,gauge,60,byte,,Total body bytes received from requests that triggered a WAF rule that was blocked,0,fastly,attack_blocked_req_body_bytes,
fastly.attack_blocked_req_header_bytes,gauge,60,byte,,Total header bytes received from requests that triggered a WAF rule that was blocked,0,fastly,attack_blocked_req_header_bytes,
fastly.attack_passed_req_body_bytes,gauge,60,byte,,Total body bytes received from requests that triggered a WAF rule that was passed,0,fastly,attack_passed_req_body_bytes,
fastly.attack_passed_req_header_bytes,gauge,60,byte,,Total header bytes received from requests that triggered a WAF rule that was passed,0,fastly,attack_passed_req_header_bytes,
fastly.attack_resp_synth_bytes,gauge,60,byte,,Total bytes delivered for requests that triggered a WAF rule and returned a synthetic response,0,fastly,attack_resp_synth_bytes,
fastly.imgopto_resp_body_bytes,gauge,60,byte,,Total body bytes delivered from the Fastly Image Optimizer service,0,fastly,imgopto_resp_body_bytes,
fastly.imgopto_resp_header_bytes,gauge,60,byte,,Total header bytes delivered from the Fastly Image Optimizer service,0,fastly,imgopto_resp_header_bytes,
fastly.imgopto_shield_resp_body_bytes,gauge,60,byte,,Total body bytes delivered via a shield from the Fastly Image Optimizer service,0,fastly,imgopto_shield_resp_body_bytes,
fastly.imgopto_shield_resp_header_bytes,gauge,60,byte,,Total header bytes delivered via a shield from the Fastly Image Optimizer service,0,fastly,imgopto_shield_resp_header_bytes,
fastly.origin_cache_fetches,gauge,60,request,,Total number of completed requests made to backends (origins) that returned cacheable content,0,fastly,origin_cache_fetches,
fastly.compute_requests,gauge,60,request,,Total number of requests that were received for your service by Fastly,0,fastly,compute_requests,
fastly.compute_request_time_ms,gauge,60,millisecond,,Total actual amount of time used to process your requests including active CPU time (in milliseconds),0,fastly,compute_request_time_ms,
fastly.compute_ram_used,gauge,60,byte,,Amount of RAM used for your service by Fastly (in bytes),0,fastly,compute_ram_used,
fastly.compute_execution_time_ms,gauge,60,millisecond,,Amount of active CPU time used to process your requests (in milliseconds),0,fastly,compute_execution_time_ms,
fastly.compute_bereqs,gauge,60,request,,Number of backend requests started,0,fastly,compute_bereqs,
fastly.compute_bereq_errors,gauge,60,request,,Number of backend request errors including timeouts,0,fastly,compute_bereq_errors,
fastly.compute_resource_limit_exceeded,gauge,60,time,,"Number of times a guest exceeded its resource limit, including heap, stack, globals, and code execution timeout",0,fastly,compute_resource_limit_exceeded,
fastly.log_bytes,gauge,60,byte,,Total log bytes sent,0,fastly,log_bytes,
fastly.edge_requests,gauge,60,request,,Number of requests sent by end users to Fastly,0,fastly,edge_requests,
fastly.edge_resp_header_bytes,gauge,60,byte,,Total header bytes delivered from Fastly to the end user,0,fastly,edge_resp_header_bytes,
fastly.edge_resp_body_bytes,gauge,60,byte,,Total body bytes delivered from Fastly to the end user,0,fastly,edge_resp_body_bytes,
fastly.edge_hit_requests,gauge,60,request,,Number of requests sent by end users to Fastly that resulted in a hit at the edge,0,fastly,edge_hit_requests,
fastly.edge_miss_requests,gauge,60,request,,Number of requests sent by end users to Fastly that resulted in a miss at the edge,0,fastly,edge_miss_requests,
fastly.edge_hit_resp_header_bytes,gauge,60,byte,,Header bytes delivered for edge hits,0,fastly,edge_hit_resp_header_bytes,
fastly.edge_miss_resp_header_bytes,gauge,60,byte,,Header bytes delivered for edge misses,0,fastly,edge_miss_resp_header_bytes,
fastly.edge_hit_resp_body_bytes,gauge,60,byte,,Body bytes delivered for edge hits,0,fastly,edge_hit_resp_body_bytes,
fastly.edge_miss_resp_body_bytes,gauge,60,byte,,Body bytes delivered for edge misses,0,fastly,edge_miss_resp_body_bytes,
fastly.shield_hit_requests,gauge,60,request,,Number of requests that resulted in a hit at a shield,0,fastly,shield_hit_requests,
fastly.shield_miss_requests,gauge,60,request,,Number of requests that resulted in a miss at a shield,0,fastly,shield_miss_requests,
