metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
fly_io.app.concurrency,gauge,,,,,-1,fly_io,fly_io app curr,,
fly_io.app.connect_time,gauge,,second,,,-1,fly_io,fly_io app connect time,,
fly_io.app.http_response_time,gauge,,second,,,-1,fly_io,fly_io app http resp time,,
fly_io.app.http_responses.count,count,,response,,,-1,fly_io,fly_io app http resp,,
fly_io.app.tcp_connects.count,count,,,,,-1,fly_io,fly_io app tcp connects,,
fly_io.app.tcp_disconnects.count,count,,,,,-1,fly_io,fly_io app tcp disconnects,,
fly_io.edge.data_in,gauge,,byte,,,-1,fly_io,fly_io edge data in,,
fly_io.edge.data_out,gauge,,byte,,,-1,fly_io,fly_io edge data out,,
fly_io.edge.http_response_time,gauge,,second,,,-1,fly_io,fly_io edge http resonse time,,
fly_io.edge.http_responses.count,count,,response,,,-1,fly_io,fly_io edge http resonses,,
fly_io.edge.tcp_connects.count,count,,,,,-1,fly_io,fly_io edge tcp conn,,
fly_io.edge.tcp_disconnects.count,count,,,,,-1,fly_io,fly_io edge tcp disconn,,
fly_io.edge.tls_handshake_errors,gauge,,error,,,-1,fly_io,fly_io edge data tls err,,
fly_io.edge.tls_handshake_time,gauge,,second,,,-1,fly_io,fly_io edge data tls time,,
fly_io.instance.up,gauge,,,,,-1,fly_io,fly_io instance up,,
