metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
hazelcast.mc.license_expiration_time,gauge,,second,,The number of seconds until license expiration,0,hazelcast,
hazelcast.instance.running,gauge,,,,Running state,0,hazelcast,
hazelcast.instance.version,gauge,,,,The Hazelcast version,0,hazelcast,
hazelcast.instance.member_count,gauge,,,,Size of the cluster,0,hazelcast,
hazelcast.instance.partition_service.partition_count,gauge,,,,Partition count,0,hazelcast,
hazelcast.instance.partition_service.active_partition_count,gauge,,,,Active partition count,0,hazelcast,
hazelcast.instance.partition_service.is_cluster_safe,gauge,,,,Cluster Safe State,0,hazelcast,
hazelcast.instance.partition_service.is_local_member_safe,gauge,,,,LocalMember Safe State,0,hazelcast,
hazelcast.instance.managed_executor_service.queue_size,gauge,,,,Work queue size,0,hazelcast,
hazelcast.instance.managed_executor_service.pool_size,gauge,,,,Thread count of the pool,0,hazelcast,
hazelcast.instance.managed_executor_service.maximum_pool_size,gauge,,,,Maximum thread count of the pool,0,hazelcast,
hazelcast.instance.managed_executor_service.remaining_queue_capacity,gauge,,,,Remaining capacity of the work queue,0,hazelcast,
hazelcast.instance.managed_executor_service.completed_task_count,gauge,,,,Completed task count,0,hazelcast,
hazelcast.instance.managed_executor_service.is_shutdown,gauge,,,,,0,hazelcast,
hazelcast.instance.managed_executor_service.is_terminated,gauge,,,,,0,hazelcast,
hazelcast.member.accepted_socket_count,gauge,,,,,0,hazelcast,
hazelcast.member.active_count,gauge,,,,,0,hazelcast,
hazelcast.member.active_members,gauge,,,,,0,hazelcast,
hazelcast.member.active_members_commit_index,gauge,,,,,0,hazelcast,
hazelcast.member.async_operations,gauge,,,,,0,hazelcast,
hazelcast.member.available_processors,gauge,,,,,0,hazelcast,
hazelcast.member.backup_timeout_millis,gauge,,,,,0,hazelcast,
hazelcast.member.backup_timeouts,gauge,,,,,0,hazelcast,
hazelcast.member.bytes_read,gauge,,,,,0,hazelcast,
hazelcast.member.bytes_received,gauge,,,,,0,hazelcast,
hazelcast.member.bytes_send,gauge,,,,,0,hazelcast,
hazelcast.member.bytes_transceived,gauge,,,,,0,hazelcast,
hazelcast.member.bytes_written,gauge,,,,,0,hazelcast,
hazelcast.member.call_timeout_count,gauge,,,,,0,hazelcast,
hazelcast.member.client_count,gauge,,,,,0,hazelcast,
hazelcast.member.closed_count,gauge,,,,,0,hazelcast,
hazelcast.member.cluster_start_time,gauge,,,,,0,hazelcast,
hazelcast.member.cluster_time,gauge,,,,,0,hazelcast,
hazelcast.member.cluster_time_diff,gauge,,,,,0,hazelcast,
hazelcast.member.cluster_up_time,gauge,,,,,0,hazelcast,
hazelcast.member.commit_count,gauge,,,,,0,hazelcast,
hazelcast.member.committed_heap,gauge,,,,,0,hazelcast,
hazelcast.member.committed_native,gauge,,,,,0,hazelcast,
hazelcast.member.committed_virtual_memory_size,gauge,,,,,0,hazelcast,
hazelcast.member.completed_count,gauge,,,,,0,hazelcast,
hazelcast.member.completed_migrations,gauge,,,,,0,hazelcast,
hazelcast.member.completed_operation_batch_count,gauge,,,,,0,hazelcast,
hazelcast.member.completed_operation_count,gauge,,,,,0,hazelcast,
hazelcast.member.completed_packet_count,gauge,,,,,0,hazelcast,
hazelcast.member.completed_partition_specific_runnable_count,gauge,,,,,0,hazelcast,
hazelcast.member.completed_runnable_count,gauge,,,,,0,hazelcast,
hazelcast.member.completed_task_count,gauge,,,,,0,hazelcast,
hazelcast.member.completed_tasks,gauge,,,,,0,hazelcast,
hazelcast.member.completed_total_count,gauge,,,,,0,hazelcast,
hazelcast.member.connection_listener_count,gauge,,,,,0,hazelcast,
hazelcast.member.connection_type,gauge,,,,,0,hazelcast,
hazelcast.member.count,gauge,,,,,0,hazelcast,
hazelcast.member.created_count,gauge,,,,,0,hazelcast,
hazelcast.member.daemon_thread_count,gauge,,,,,0,hazelcast,
hazelcast.member.delayed_execution_count,gauge,,,,,0,hazelcast,
hazelcast.member.destroyed_count,gauge,,,,,0,hazelcast,
hazelcast.member.destroyed_group_ids,gauge,,,,,0,hazelcast,
hazelcast.member.elapsed_destination_commit_time,gauge,,,,,0,hazelcast,
hazelcast.member.elapsed_migration_operation_time,gauge,,,,,0,hazelcast,
hazelcast.member.elapsed_migration_time,gauge,,,,,0,hazelcast,
hazelcast.member.error_count,gauge,,,,,0,hazelcast,
hazelcast.member.event_count,gauge,,,,,0,hazelcast,
hazelcast.member.event_queue_size,gauge,,,,,0,hazelcast,
hazelcast.member.events_processed,gauge,,,,,0,hazelcast,
hazelcast.member.exception_count,gauge,,,,,0,hazelcast,
hazelcast.member.failed_backups,gauge,,,,,0,hazelcast,
hazelcast.member.frames_transceived,gauge,,,,,0,hazelcast,
hazelcast.member.free_heap,gauge,,,,,0,hazelcast,
hazelcast.member.free_memory,gauge,,,,,0,hazelcast,
hazelcast.member.free_native,gauge,,,,,0,hazelcast,
hazelcast.member.free_physical,gauge,,,,,0,hazelcast,
hazelcast.member.free_physical_memory_size,gauge,,,,,0,hazelcast,
hazelcast.member.free_space,gauge,,,,,0,hazelcast,
hazelcast.member.free_swap_space_size,gauge,,,,,0,hazelcast,
hazelcast.member.generic_priority_queue_size,gauge,,,,,0,hazelcast,
hazelcast.member.generic_queue_size,gauge,,,,,0,hazelcast,
hazelcast.member.generic_thread_count,gauge,,,,,0,hazelcast,
hazelcast.member.groups,gauge,,,,,0,hazelcast,
hazelcast.member.heartbeat_broadcast_period_millis,gauge,,,,,0,hazelcast,
hazelcast.member.heartbeat_packets_received,gauge,,,,,0,hazelcast,
hazelcast.member.heartbeat_packets_sent,gauge,,,,,0,hazelcast,
hazelcast.member.idle_time_millis,gauge,,,,,0,hazelcast,
hazelcast.member.idle_time_ms,gauge,,,,,0,hazelcast,
hazelcast.member.imbalance_detected_count,gauge,,,,,0,hazelcast,
hazelcast.member.in_progress_count,gauge,,,,,0,hazelcast,
hazelcast.member.invocation_scan_period_millis,gauge,,,,,0,hazelcast,
hazelcast.member.invocation_timeout_millis,gauge,,,,,0,hazelcast,
hazelcast.member.invocations.last_call_id,gauge,,,,,0,hazelcast,
hazelcast.member.invocations.pending,gauge,,,,,0,hazelcast,
hazelcast.member.invocations.used_percentage,gauge,,,,,0,hazelcast,
