metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
hdfs.datanode.dfs_remaining,gauge,,byte,,The remaining disk space left in bytes,0,hdfs,dfs rem
hdfs.datanode.dfs_capacity,gauge,,byte,,Disk capacity in bytes,0,hdfs,dfs cap
hdfs.datanode.dfs_used,gauge,,byte,,Disk usage in bytes,0,hdfs,dfs usd
hdfs.datanode.cache_capacity,gauge,,byte,,Cache capacity in bytes,0,hdfs,cache cap
hdfs.datanode.cache_used,gauge,,byte,,Cache used in bytes,0,hdfs,cache usd
hdfs.datanode.num_failed_volumes,gauge,,,,Number of failed volumes,0,hdfs,faild vols
hdfs.datanode.last_volume_failure_date,gauge,,millisecond,,The date/time of the last volume failure in milliseconds since epoch,0,hdfs,lst faild vol
hdfs.datanode.estimated_capacity_lost_total,gauge,,byte,,The estimated capacity lost in bytes,0,hdfs,cap lst
hdfs.datanode.num_blocks_cached,gauge,,block,,The number of blocks cached,0,hdfs,blk cachd
hdfs.datanode.num_blocks_failed_to_cache,gauge,,block,,The number of blocks that failed to cache,0,hdfs,blk fld
hdfs.datanode.num_blocks_failed_to_uncache,gauge,,block,,The number of failed blocks to remove from cache,0,hdfs,blk faild uncache
