metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
hdfs.namenode.blocks_total,gauge,,block,,Total number of blocks,0,hdfs_namenode,blk tot,
hdfs.namenode.capacity_remaining,gauge,,byte,,Remaining disk space left in bytes,0,hdfs_namenode,cap rem,
hdfs.namenode.capacity_total,gauge,,byte,,Total disk capacity in bytes,0,hdfs_namenode,cap tot,
hdfs.namenode.capacity_used,gauge,,byte,,Disk usage in bytes,0,hdfs_namenode,cap usd,
hdfs.namenode.corrupt_blocks,gauge,,block,,Number of corrupt blocks,0,hdfs_namenode,corr blks,
hdfs.namenode.estimated_capacity_lost_total,gauge,,byte,,Estimated capacity lost in bytes,0,hdfs_namenode,est cap lst tot,
hdfs.namenode.files_total,gauge,,file,,Total number of files,0,hdfs_namenode,files tot,
hdfs.namenode.fs_lock_queue_length,gauge,,,,Lock queue length,0,hdfs_namenode,lck queue,
hdfs.namenode.max_objects,gauge,,object,,Maximum number of files HDFS supports,0,hdfs_namenode,max objs,
hdfs.namenode.missing_blocks,gauge,,block,,Number of missing blocks,0,hdfs_namenode,miss blks,
hdfs.namenode.num_dead_data_nodes,gauge,,node,,Total number of dead data nodes,0,hdfs_namenode,dead d nds,
hdfs.namenode.num_decom_dead_data_nodes,gauge,,node,,Number of decommissioning dead data nodes,0,hdfs_namenode,decom dead d nds,
hdfs.namenode.num_decom_live_data_nodes,gauge,,node,,Number of decommissioning live data nodes,0,hdfs_namenode,decom lv d nodes,
hdfs.namenode.num_decommissioning_data_nodes,gauge,,node,,Number of decommissioning data nodes,0,hdfs_namenode,decom d nds,
hdfs.namenode.num_live_data_nodes,gauge,,node,,Total number of live data nodes,0,hdfs_namenode,lv d nds,
hdfs.namenode.num_stale_data_nodes,gauge,,node,,Number of stale data nodes,0,hdfs_namenode,stl d nds,
hdfs.namenode.num_stale_storages,gauge,,,,Number of stale storages,0,hdfs_namenode,stl strgs,
hdfs.namenode.pending_deletion_blocks,gauge,,block,,Number of pending deletion blocks,0,hdfs_namenode,pnd del blks,
hdfs.namenode.pending_replication_blocks,gauge,,block,,Number of blocks pending replication,0,hdfs_namenode,pnd rep blks,
hdfs.namenode.scheduled_replication_blocks,gauge,,block,,Number of blocks scheduled for replication,0,hdfs_namenode,sched rep blks,
hdfs.namenode.total_load,gauge,,,,Total load on the file system,0,hdfs_namenode,tot ld,
hdfs.namenode.under_replicated_blocks,gauge,,block,,Number of under replicated blocks,0,hdfs_namenode,undr rep blks,
hdfs.namenode.volume_failures_total,gauge,,,,Total volume failures,0,hdfs_namenode,vol fail tot,
