metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
hudi.action.bytes_written,rate,15,byte,,"The total amount of bytes written in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,bytes,
hudi.action.commit_time,gauge,15,millisecond,,"The commit time of an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,create_time,
hudi.action.compacted_records_updated,rate,15,record,,"The amount of compacted records updated in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,comp_rec,
hudi.action.create_time,rate,15,millisecond,,"The creation time of an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,create_time,
hudi.action.duration,gauge,15,millisecond,,"The amount of time it took to successfully perform an action on a batch of records (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,act dur,
hudi.action.files_inserted,rate,15,file,,"The amount of files inserted (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,files_in,
hudi.action.files_updated,rate,15,file,,"The amount of files updated (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,files_up,
hudi.action.insert_records_written,rate,15,record,,"The number of insert records written in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,insert_recs,
hudi.action.log_files_compacted,rate,15,file,,"The number of log files compacted in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,logs_comp,
hudi.action.log_files_size,rate,15,byte,,"The size of all the log files in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,logs_size,
hudi.action.partitions_written,rate,15,,,"The number of partitions written in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,parts ,
hudi.action.records_written,rate,15,record,,"The number of records written in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,recs,
hudi.action.scan_time,rate,15,millisecond,,"The total time spent scanned in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,scan,
hudi.action.time.50th_percentile,gauge,15,nanosecond,,"Measures 50th percentile of time to complete the action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time 50,
hudi.action.time.75th_percentile,gauge,15,nanosecond,,"Measures 75th percentile of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time 75,
hudi.action.time.95th_percentile,gauge,15,nanosecond,,"Measures 95th percentile of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time 95,
hudi.action.time.98th_percentile,gauge,15,nanosecond,,"Measures 98th percentile of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time 98,
hudi.action.time.999th_percentile,gauge,15,nanosecond,,"Measures 999th percentile of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time 999,
hudi.action.time.99th_percentile,gauge,15,nanosecond,,"Measures 99th percentile of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time 99,
hudi.action.time.count,rate,15,,second,"Measures count of times to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time ct,
hudi.action.time.max,gauge,15,nanosecond,,"Measures maximum amount of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time max,
hudi.action.time.mean,gauge,15,nanosecond,,"Measures mean amount of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time mean,
hudi.action.time.min,gauge,15,nanosecond,,"Measures minimum amount of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time min,
hudi.action.time.std_dev,gauge,15,nanosecond,,"Measures standard deviation of time to complete an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,time std,
hudi.action.update_records_written,rate,15,record,,"The amount of update records written in an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,up_recs,
hudi.action.upsert_time,rate,15,millisecond,,"The upsert time of an action (commit, deltacommit, replacecommit, compaction, etc)",0,hudi,create_time,
hudi.clean.duration,gauge,15,millisecond,,The total time spent cleaning,0,hudi,fin dur,
hudi.clean.files_deleted,gauge,15,file,,The number of files deleted in cleans,0,hudi,roll del files,
hudi.finalize.duration,gauge,15,millisecond,,The total time spent finalizing,0,hudi,clean dur,
hudi.finalize.files_finalized,gauge,15,file,,"The number of files finalized""",0,hudi,fin files,
hudi.index.command.duration,gauge,15,millisecond,,"The time spent performing an index command (UPSERT, INSERT_OVERWRITE, etc)",0,hudi,index dur,
hudi.rollback.duration,gauge,15,millisecond,,The total time spent in rollback,0,hudi,roll dur,
hudi.rollback.files_deleted,gauge,15,file,,The number of files deleted in rollback,0,hudi,cl del files,
