metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
ibm_i.asp.io_requests_per_s,gauge,,unit,second,The average number of I/O requests for read and write operations that occurred per second,0,ibm_i,asp io requests,
ibm_i.asp.percent_busy,gauge,,percent,,The percentage of time the disk unit is in use,0,ibm_i,asp percent busy,
ibm_i.asp.percent_used,gauge,,percent,,The percentage consumed from the disk unit,0,ibm_i,asp percent used,
ibm_i.asp.unit_space_available,gauge,,byte,,The space on the unit available for use,0,ibm_i,asp available,
ibm_i.asp.unit_storage_capacity,gauge,,byte,,The storage capacity of the unit,0,ibm_i,asp capacity,
ibm_i.job.active_duration,gauge,,second,,The amount of time a job has been active,1,ibm_i,job active duration,
ibm_i.job.cpu_usage,gauge,,,,The CPU usage by a job,0,ibm_i,job cpu,
ibm_i.job.cpu_usage.pct,gauge,,percent,,The CPU usage by a job as a percentage,0,ibm_i,job cpu,
ibm_i.job.jobq_duration,gauge,,second,,The amount of time a job has been in the JOBQ status,-1,ibm_i,job jobq duration,
ibm_i.job.status,gauge,,,,Whether a job is currently active or not.,0,ibm_i,job status,
ibm_i.job.temp_storage,gauge,,mebibyte,,The amount of temporary storage that is currently allocated to a job,0,ibm_i,job storage,
ibm_i.job_queue.held_size,gauge,,unit,,The number of jobs in *HELD status in a job queue,0,ibm_i,jobq held,
ibm_i.job_queue.released_size,gauge,,unit,,The number of jobs in *RELEASED status in a job queue,0,ibm_i,jobq released,
ibm_i.job_queue.scheduled_size,gauge,,unit,,The number of jobs in *SCHEDULED status in a job queue,0,ibm_i,jobq scheduled,
ibm_i.job_queue.size,gauge,,unit,,The number of jobs in a job queue,0,ibm_i,jobq size,
ibm_i.message_queue.critical_size,gauge,,unit,,The number of critical messages in a system message queue,-1,ibm_i,msgq critical,
ibm_i.message_queue.size,gauge,,unit,,The number of messages in a system message queue,0,ibm_i,msgq size,
ibm_i.pool.defined_size,gauge,,mebibyte,,"The size of a pool as defined in the shared pool, subsystem description, or system value QMCHPOOL",0,ibm_i,pool defined,
ibm_i.pool.reserved_size,gauge,,mebibyte,,The amount of storage in a pool reserved for system use,0,ibm_i,pool reserved,
ibm_i.pool.size,gauge,,mebibyte,,The amount of main storage in a pool,0,ibm_i,pool size,
ibm_i.subsystem.active,gauge,,,,Whether a subsystem is currently active,0,ibm_i,subsys active,
ibm_i.subsystem.active_jobs,gauge,,unit,,The number of jobs currently active in a subsystem,0,ibm_i,subsys jobs,
ibm_i.system.configured_cpus,gauge,,unit,,The total number of configured CPUs for the partition.,0,ibm_i,configured cpus,
ibm_i.system.cpu_usage,gauge,,percent,,The average CPU utilization for all the active processors.,0,ibm_i,cpu usage,
ibm_i.system.current_cpu_capacity,gauge,,,,The processor units that are being used in the partition.,0,ibm_i,current cpu capacity,
ibm_i.system.normalized_cpu_usage,gauge,,percent,,The normalized percentage of CPU utilization for processing units in use.,0,ibm_i,normalized cpu usage,
ibm_i.system.shared_cpu_usage,gauge,,percent,,The percentage of the total shared processor pool capacity used by all partitions using the pool.,0,ibm_i,shared cpu usage,
