metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
ibm_mq.channel.batch_interval,gauge,,second,,This attribute is a period during which the channel keeps a batch open even if there are no messages on the transmission queue (parameter identifier: `BATCHINT`).,0,ibm_mq,batch interval,,
ibm_mq.channel.batch_size,gauge,,resource,,This attribute is the maximum number of messages to be sent before a sync point is taken (parameter identifier: `BATCHSZ`).,0,ibm_mq,batch size,,
ibm_mq.channel.batches,gauge,,,,This attribute specifies the number of completed batches (parameter identifier: `MQIACH_BATCHES`).,0,ibm_mq,batches,,
ibm_mq.channel.buffers_rcvd,gauge,,buffer,,This attribute specifies the number of buffers received (parameter identifier: `MQIACH_BUFFERS_RCVD`).,0,ibm_mq,buffers rcvd,,
ibm_mq.channel.buffers_sent,gauge,,buffer,,This attribute specifies the number of buffers sent (parameter identifier: `MQIACH_BUFFERS_SENT`),0,ibm_mq,buffers sent,,
ibm_mq.channel.bytes_rcvd,gauge,,byte,,This attribute specifies the number of bytes received (parameter identifier: `MQIACH_BYTES_RCVD`).,0,ibm_mq,bytes rcvd,,
ibm_mq.channel.bytes_sent,gauge,,byte,,This attribute specifies the number of bytes sent (parameter identifier: `MQIACH_BYTES_SENT`).,0,ibm_mq,bytes sent,,
ibm_mq.channel.channel_status,gauge,,,,This attribute specifies the channel status (parameter identifier: `MQIACH_CHANNEL_STATUS`).,0,ibm_mq,channel status,,
ibm_mq.channel.channels,gauge,,resource,,The number of active channels.,0,ibm_mq,active channel count,,
ibm_mq.channel.conn_status,gauge,,connection,,The connection status for the channel (parameter identifier: `MQIACH_CONNS`).,0,ibm_mq,conn status,,
