metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
ibm_spectrum_lsf.can_connect,gauge,,,,,0,ibm_spectrum_lsf,lsf can conn,,
ibm_spectrum_lsf.cluster.hosts,gauge,,,,,0,ibm_spectrum_lsf,lsf hosts,,
ibm_spectrum_lsf.cluster.servers,gauge,,,,,0,ibm_spectrum_lsf,lsf servers,,
ibm_spectrum_lsf.cluster.status,gauge,,,,,0,ibm_spectrum_lsf,lsf cluster status,,
ibm_spectrum_lsf.host.cpu_factor,gauge,,,,,0,ibm_spectrum_lsf,lsf cpu factor,,
ibm_spectrum_lsf.host.is_server,gauge,,,,,0,ibm_spectrum_lsf,lsf is server,,
ibm_spectrum_lsf.host.max_mem,gauge,,,,,0,ibm_spectrum_lsf,lsf max mem,,
ibm_spectrum_lsf.host.max_swap,gauge,,,,,0,ibm_spectrum_lsf,lsf max swap,,
ibm_spectrum_lsf.host.max_temp,gauge,,,,,0,ibm_spectrum_lsf,lsf max temp,,
ibm_spectrum_lsf.host.num_cores,gauge,,,,,0,ibm_spectrum_lsf,lsf num cores,,
ibm_spectrum_lsf.host.num_cpus,gauge,,,,,0,ibm_spectrum_lsf,lsf num cpus,,
ibm_spectrum_lsf.host.num_procs,gauge,,,,,0,ibm_spectrum_lsf,lsf num procs,,
ibm_spectrum_lsf.host.num_threads,gauge,,,,,0,ibm_spectrum_lsf,lsf num threads,,
ibm_spectrum_lsf.load.cpu.run_queue_length.15m,gauge,,,,,0,ibm_spectrum_lsf,lsf rq length 15m,,
ibm_spectrum_lsf.load.cpu.run_queue_length.15s,gauge,,,,,0,ibm_spectrum_lsf,lsf rq length 15s,,
ibm_spectrum_lsf.load.cpu.run_queue_length.1m,gauge,,,,,0,ibm_spectrum_lsf,lsf rq length 1m,,
ibm_spectrum_lsf.load.cpu.utilization,gauge,,,,,0,ibm_spectrum_lsf,lsf ut,,
ibm_spectrum_lsf.load.disk.io,gauge,,,,,0,ibm_spectrum_lsf,lsf io,,
ibm_spectrum_lsf.load.idle_time,gauge,,,,,0,ibm_spectrum_lsf,lsf it,,
ibm_spectrum_lsf.load.login_users,gauge,,,,,0,ibm_spectrum_lsf,lsf ls,,
ibm_spectrum_lsf.load.mem.available_ram,gauge,,,,,0,ibm_spectrum_lsf,lsf avail ram,,
ibm_spectrum_lsf.load.mem.available_swap,gauge,,,,,0,ibm_spectrum_lsf,lsf avail swap,,
ibm_spectrum_lsf.load.mem.free,gauge,,,,,0,ibm_spectrum_lsf,lsf mem free,,
ibm_spectrum_lsf.load.mem.paging_rate,gauge,,,,,0,ibm_spectrum_lsf,lsf paging,,
ibm_spectrum_lsf.load.status,gauge,,,,,0,ibm_spectrum_lsf,lsf load status,,
ibm_spectrum_lsf.server.max_jobs,gauge,,,,,0,ibm_spectrum_lsf,lsf max jobs,,
ibm_spectrum_lsf.server.num_jobs,gauge,,,,,0,ibm_spectrum_lsf,lsf num jobs,,
ibm_spectrum_lsf.server.reserved,gauge,,,,,0,ibm_spectrum_lsf,lsf res,,
ibm_spectrum_lsf.server.running,gauge,,,,,0,ibm_spectrum_lsf,lsf running,,
ibm_spectrum_lsf.server.slots_per_user,gauge,,,,,0,ibm_spectrum_lsf,lsf slots user,,
ibm_spectrum_lsf.server.status,gauge,,,,,0,ibm_spectrum_lsf,lsf server status,,
ibm_spectrum_lsf.server.suspended,gauge,,,,,0,ibm_spectrum_lsf,lsf sus,,
ibm_spectrum_lsf.server.user_suspended,gauge,,,,,0,ibm_spectrum_lsf,lsf user sus,,
ibm_spectrum_lsf.slots.backfill.available,gauge,,,,,0,ibm_spectrum_lsf,lsf slots avail,,
ibm_spectrum_lsf.slots.runtime_limit,gauge,,,,,0,ibm_spectrum_lsf,lsf slots limit,,
ibm_spectrum_lsf.queue.is_active,gauge,,,,,0,ibm_spectrum_lsf,lsf queue act,,
ibm_spectrum_lsf.queue.is_open,gauge,,,,,0,ibm_spectrum_lsf,lsf queue open,,
ibm_spectrum_lsf.queue.max_jobs,gauge,,,,,0,ibm_spectrum_lsf,lsf max jobs,,
ibm_spectrum_lsf.queue.max_jobs_per_host,gauge,,,,,0,ibm_spectrum_lsf,lsf max jobs host,,
ibm_spectrum_lsf.queue.max_jobs_per_processor,gauge,,,,,0,ibm_spectrum_lsf,lsf max jobs processor,,
ibm_spectrum_lsf.queue.max_jobs_per_user,gauge,,,,,0,ibm_spectrum_lsf,lsf max jobs user,,
ibm_spectrum_lsf.queue.num_job_slots,gauge,,,,,0,ibm_spectrum_lsf,lsf job slots,,
ibm_spectrum_lsf.queue.pending,gauge,,,,,0,ibm_spectrum_lsf,lsf queue pending,,
ibm_spectrum_lsf.queue.priority,gauge,,,,,0,ibm_spectrum_lsf,lsf queue priority,,
ibm_spectrum_lsf.queue.running,gauge,,,,,0,ibm_spectrum_lsf,lsf queue running,,
ibm_spectrum_lsf.queue.suspended,gauge,,,,,0,ibm_spectrum_lsf,lsf queue suspended,,
