metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
ibm_was.can_connect,gauge,,,,The ability of the integration to connect to the Perf Servlet to collect metrics,0,ibm_was,was can connect
ibm_was.jdbc.create_count,gauge,,connection,,The total number of managed connections that were created since pool creation.,0,ibm_was,jdbc create count
ibm_was.jdbc.close_count,gauge,,connection,,The total number of managed connections that were destroyed since pool creation.,0,ibm_was,jdbc close count
ibm_was.jdbc.allocate_count,gauge,,connection,,The total number of managed connections that were allocated since pool creation.,0,ibm_was,jdbc allocated count
ibm_was.jdbc.return_count,gauge,,connection,,The total number of managed connections that were returned since pool creation.,0,ibm_was,jdbc return count
ibm_was.jdbc.pool_size,gauge,,,,The size of the connection pool.,0,ibm_was,jdbc pool size
ibm_was.jdbc.free_pool_size,gauge,,connection,,The number of managed connections that are in the free pool.,0,ibm_was,jdbc free pool size
ibm_was.jdbc.waiting_thread_count,gauge,,thread,,The number of threads that are currently waiting for a connection.,0,ibm_was,jdbc waiting thread count
ibm_was.jdbc.fault_count,gauge,,,,"The total number of faults, such as timeouts, in the connection pool.",0,ibm_was,jdbc Fault Count
ibm_was.jdbc.percent_used,gauge,,,,The percent of the pool that is in use.,0,ibm_was,jdbc percent used
ibm_was.jdbc.percent_maxed,gauge,,,,The percent of the time that all connections are in use.,0,ibm_was,jdbc percent maxed
ibm_was.jdbc.use_time,gauge,,millisecond,,The average time in milliseconds that a connection is in use.,0,ibm_was,jdbc used time
ibm_was.jdbc.wait_time,gauge,,millisecond,,The average waiting time in milliseconds until a connection is granted if a connection is not currently available.,0,ibm_was,jdbc wait time
ibm_was.jdbc.managed_connection_count,gauge,,connection,,"The total number of managed connections in the free, shared, and unshared pools.",0,ibm_was,jdbc managed connection count
ibm_was.jdbc.connection_handle_count,gauge,,connection,,The number of connections that are in use. Can include multiple connections that are shared from a single managed connection.,0,ibm_was,jdbc connection handle count
ibm_was.jdbc.prep_stmt_cache_discard_count,gauge,,,,The total number of statements that are discarded by the least recently used (LRU) algorithm of the statement cache.,0,ibm_was,jdbc cache discard count
ibm_was.jdbc.jdbc_time,gauge,,millisecond,,"The average time in milliseconds spent running in the JDBC driver that includes time that is spent in the JDBC driver, network, and database.",0,ibm_was,jdbc time
ibm_was.jvm.heap_size,gauge,,,,"Deprecated, use ibm_was.jvm.heap_size_gauge instead",0,ibm_was,jvm heap size
ibm_was.jvm.free_memory,gauge,,,,"Deprecated, use ibm_was.jvm.free_memory_gauge instead",0,ibm_was,jvm free memory
ibm_was.jvm.used_memory,gauge,,,,"Deprecated, use ibm_was.jvm.used_memory_gauge instead",0,ibm_was,jvm used memory
ibm_was.jvm.up_time,gauge,,,,"Deprecated, use ibm_was.jvm.up_time_gauge instead",0,ibm_was,jvm uptime
ibm_was.jvm.process_cpu_usage,gauge,,percent,,"Deprecated, use ibm_was.jvm.process_cpu_usage_gauge instead",0,ibm_was,jvm process cpu usage
ibm_was.jvm.heap_size_gauge,gauge,,thread,,The total memory in the JVM run time,0,ibm_was,jvm heap size
ibm_was.jvm.free_memory_gauge,gauge,,thread,,The free memory in the JVM run time,0,ibm_was,jvm free memory
