metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
infiniband.VL15_dropped,gauge,,packet,,"Number of incoming Virtual Lane 15 packets dropped due to resource limitations (e.g.,lack of buffers) of the port",0,infiniband,,,
infiniband.VL15_dropped.count,count,,packet,,Number of new Virtual Lane 15 packets dropped due to resource limitations since the last metric submission,0,infiniband,,,
infiniband.excessive_buffer_overrun_errors,gauge,,error,,Number of excessive buffer overrun errors,0,infiniband,,,
infiniband.excessive_buffer_overrun_errors.count,count,,error,,Number of new excessive buffer overrun errors since the last metric submission,0,infiniband,,,
infiniband.link_downed,gauge,,occurrence,,Number of times the Port Training state machine has failed the link error recovery process and downed the link,0,infiniband,,,
infiniband.link_downed.count,count,,occurrence,,Number of new times the Port Training state machine has downed the link since the last metric submission,0,infiniband,,,
infiniband.link_error_recovery,gauge,,occurrence,,Number of times the Port Training state machine has successfully completed the link error recovery process,0,infiniband,,,
infiniband.link_error_recovery.count,count,,occurrence,,Number of new successful link error recoveries since the last metric submission,0,infiniband,,,
infiniband.local_link_integrity_errors,gauge,,error,,Number of times that the count of local physical errors exceeded the threshold specified by LocalPhyErrors,0,infiniband,,,
infiniband.local_link_integrity_errors.count,count,,error,,Number of new times local physical errors exceeded threshold since the last metric submission,0,infiniband,,,
infiniband.multicast_rcv_packets,gauge,,packet,,"Number of multicast packets,including multicast packets containing errors (legacy)",0,infiniband,,,
infiniband.multicast_rcv_packets.count,count,,packet,,Number of new multicast packets received since the last metric submission (legacy),0,infiniband,,,
infiniband.multicast_xmit_packets,gauge,,packet,,Number of multicast packets transmitted on all Virtual Lanes from the port (legacy),0,infiniband,,,
infiniband.multicast_xmit_packets.count,count,,packet,,Number of new multicast packets transmitted since the last metric submission (legacy),0,infiniband,,,
infiniband.port_multicast_rcv_packets,gauge,,packet,,Number of multicast packets received,0,infiniband,,,
infiniband.port_multicast_rcv_packets.count,count,,packet,,Number of new multicast packets received since the last metric submission,0,infiniband,,,
infiniband.port_multicast_xmit_packets,gauge,,packet,,Number of multicast packets transmitted on all Virtual Lanes from the port,0,infiniband,,,
infiniband.port_multicast_xmit_packets.count,count,,packet,,Number of new multicast packets transmitted since the last metric submission,0,infiniband,,,
infiniband.port_phys_state,gauge,,,,Physical link state,0,infiniband,,,
infiniband.port_rcv_constraint_errors,gauge,,error,,Number of packets received on the switch physical port that are discarded,0,infiniband,,,
infiniband.port_rcv_constraint_errors.count,count,,error,,Number of new packets discarded on receive since the last metric submission,0,infiniband,,,
infiniband.port_rcv_data,gauge,,byte,,"Number of data octets,divided by 4,received on all Virtual Lanes from the port",0,infiniband,,,
infiniband.port_rcv_data.count,count,,byte,,Number of new data octets (divided by 4) received since the last metric submission,0,infiniband,,,
infiniband.port_rcv_data_64,gauge,,byte,,"Number of data octets,divided by 4,received on all Virtual Lanes from the port",0,infiniband,,,
infiniband.port_rcv_data_64.count,count,,byte,,Number of new data octets (divided by 4) received since the last metric submission,0,infiniband,,,
infiniband.port_rcv_discards,gauge,,packet,,Number of discarded received packets,0,infiniband,,,
infiniband.port_rcv_discards.count,count,,packet,,Number of new discarded received packets since the last metric submission,0,infiniband,,,
infiniband.port_rcv_errors,gauge,,error,,Number of packets containing an error that were received on the port,0,infiniband,,,
infiniband.port_rcv_errors.count,count,,error,,Number of new error packets received since the last metric submission,0,infiniband,,,
infiniband.port_rcv_packets,gauge,,packet,,Number of packets (this may include packets containing Errors),0,infiniband,,,
infiniband.port_rcv_packets.count,count,,packet,,Number of new packets received since the last metric submission,0,infiniband,,,
infiniband.port_rcv_packets_64,gauge,,packet,,Number of 64-bit packets received,0,infiniband,,,
infiniband.port_rcv_packets_64.count,count,,packet,,Number of new 64-bit packets received since the last metric submission,0,infiniband,,,
infiniband.port_rcv_remote_physical_errors,gauge,,error,,Number of packets marked with the EBP delimiter received on the port,0,infiniband,,,
infiniband.port_rcv_remote_physical_errors.count,count,,error,,Number of new packets with EBP delimiter received since the last metric submission,0,infiniband,,,
infiniband.port_rcv_switch_relay_errors,gauge,,error,,Number of packets received on the port that were discarded because they could not be forwarded by the switch relay,0,infiniband,,,
infiniband.port_rcv_switch_relay_errors.count,count,,error,,Number of new packets discarded due to switch relay forwarding failure since the last metric submission,0,infiniband,,,
infiniband.port_state,gauge,,,,Port state,0,infiniband,,,
infiniband.port_unicast_rcv_packets,gauge,,packet,,"Number of unicast packets,including unicast packets containing errors",0,infiniband,,,
infiniband.port_unicast_rcv_packets.count,count,,packet,,Number of new unicast packets received since the last metric submission,0,infiniband,,,
infiniband.port_unicast_xmit_packets,gauge,,packet,,Number of unicast packets transmitted on all Virtual Lanes from the port,0,infiniband,,,
infiniband.port_unicast_xmit_packets.count,count,,packet,,Number of new unicast packets transmitted since the last metric submission,0,infiniband,,,
infiniband.port_xmit_constraint_errors,gauge,,error,,Number of packets not transmitted from the switch physical port,0,infiniband,,,
infiniband.port_xmit_constraint_errors.count,count,,error,,Number of new packets not transmitted due to constraints since the last metric submission,0,infiniband,,,
