metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
jmeter.byte_received.avg,gauge,10,byte,,Average value of the number of bytes received.,0,jmeter,jmeter,
jmeter.byte_received.count,gauge,10,request,,Number of samples used to compute the bytes received distribution.,0,jmeter,jmeter,
jmeter.byte_received.max,gauge,10,byte,,Maximum value of the number of bytes received.,0,jmeter,jmeter,
jmeter.byte_received.min,gauge,10,byte,,Minimum value of the number of bytes received.,0,jmeter,jmeter,
jmeter.byte_received.p90,gauge,10,byte,,P90 value of the number of bytes received.,0,jmeter,jmeter,
jmeter.byte_received.p95,gauge,10,byte,,P95 value of the number of bytes received.,0,jmeter,jmeter,
jmeter.byte_received.p99,gauge,10,byte,,P99 value of the number of bytes received.,0,jmeter,jmeter,
jmeter.byte_sent.avg,gauge,10,byte,,Average value of the number of bytes sent.,0,jmeter,jmeter,
jmeter.byte_sent.count,gauge,10,request,,Number of samples used to compute the bytes sent distribution.,0,jmeter,jmeter,
jmeter.byte_sent.max,gauge,10,byte,,Maximum value of the number of bytes sent.,0,jmeter,jmeter,
jmeter.byte_sent.min,gauge,10,byte,,Minimum value of the number of bytes sent.,0,jmeter,jmeter,
jmeter.byte_sent.p90,gauge,10,byte,,P90 value of the number of bytes sent.,0,jmeter,jmeter,
jmeter.byte_sent.p95,gauge,10,byte,,P95 value of the number of bytes sent.,0,jmeter,jmeter,
jmeter.byte_sent.p99,gauge,10,byte,,P99 value of the number of bytes sent.,0,jmeter,jmeter,
jmeter.latency.avg,gauge,10,second,,Average value of the latency.,0,jmeter,jmeter,
jmeter.latency.count,gauge,10,request,,Number of samples used to compute the latency distribution.,0,jmeter,jmeter,
jmeter.latency.max,gauge,10,second,,Maximum value of the latency.,0,jmeter,jmeter,
jmeter.latency.min,gauge,10,second,,Mininimum value of the latency.,0,jmeter,jmeter,
jmeter.latency.p90,gauge,10,second,,P90 value of the latency.,0,jmeter,jmeter,
jmeter.latency.p95,gauge,10,second,,P95 value of the latency.,0,jmeter,jmeter,
jmeter.latency.p99,gauge,10,second,,P99 value of the latency.,0,jmeter,jmeter,
jmeter.response_time.avg,gauge,10,second,,Average value of the response time.,0,jmeter,jmeter,
jmeter.response_time.count,gauge,10,request,,Number of samples used to compute the response time distribution.,0,jmeter,jmeter,
jmeter.response_time.max,gauge,10,second,,Maximum value of the response time.,0,jmeter,jmeter,
jmeter.response_time.min,gauge,10,second,,Minimum value of the response time.,0,jmeter,jmeter,
jmeter.response_time.p90,gauge,10,second,,P90 value of the response time.,0,jmeter,jmeter,
jmeter.response_time.p95,gauge,10,second,,P95 value of the response time.,0,jmeter,jmeter,
jmeter.response_time.p99,gauge,10,second,,P99 value of the response time.,0,jmeter,jmeter,
jmeter.responses_count,count,10,response,,Count of the number of responses received by sampler and by status.,0,jmeter,jmeter,
