metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kube_metrics_server.authenticated_user.requests,count,,,,Counter of authenticated requests broken out by username,0,kube_metrics_server,authenticated_user.requests,
kube_metrics_server.go.gc_duration_seconds.count,gauge,,,,Number of the GC invocation,0,kube_metrics_server,go.gc_duration_seconds.count,
kube_metrics_server.go.gc_duration_seconds.quantile,gauge,,,,GC invocation durations quantiles,0,kube_metrics_server,go.gc_duration_seconds.quantile,
kube_metrics_server.go.gc_duration_seconds.sum,gauge,,,,GC invocation durations sum,0,kube_metrics_server,go.gc_duration_seconds.sum,
kube_metrics_server.go.goroutines,gauge,,,,Number of goroutines that currently exist,0,kube_metrics_server,go.goroutines,
kube_metrics_server.kubelet_summary_request_duration.count,gauge,,,,Number of Kubelet summary request,0,kube_metrics_server,kubelet_summary_request_duration.count,
kube_metrics_server.kubelet_summary_request_duration.sum,gauge,,,second,The Kubelet summary request latencies sum,0,kube_metrics_server,kubelet_summary_request_duration.sum,
kube_metrics_server.kubelet_summary_scrapes_total,count,,,,Total number of attempted Summary API scrapes done by Metrics Server,0,kube_metrics_server,kubelet_summary_scrapes_total,
kube_metrics_server.manager_tick_duration.count,gauge,,,,The total time spent collecting and storing metrics,0,kube_metrics_server,manager_tick_duration.count,
kube_metrics_server.manager_tick_duration.sum,gauge,,,second,The total time spent collecting and storing metrics,0,kube_metrics_server,manager_tick_duration.sum,
kube_metrics_server.process.max_fds,gauge,,,,Maximum number of open file descriptors,0,kube_metrics_server,process.max_fds,
kube_metrics_server.process.open_fds,gauge,,,,Number of open file descriptors,0,kube_metrics_server,process.open_fds,
kube_metrics_server.scraper_duration.count,gauge,,,,Time spent scraping sources,0,kube_metrics_server,scraper_duration.count,
kube_metrics_server.scraper_duration.sum,gauge,,,second,Time spent scraping sources,0,kube_metrics_server,scraper_duration.sum,
kube_metrics_server.scraper_last_time,gauge,,,second,Last time metrics-server performed a scrape since unix epoch,0,kube_metrics_server,scraper_last_time,
