metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kubeproxy.cpu.time,gauge,,second,,Total user and system CPU time spent in seconds,0,kube_proxy,cpu time,
kubeproxy.mem.resident,gauge,,byte,,Resident memory size in bytes,0,kube_proxy,resident memory,
kubeproxy.mem.virtual,gauge,,byte,,Virtual memory size in bytes,0,kube_proxy,virtual memory,
kubeproxy.rest.client.exec_plugin.certificate.rotation,gauge,,second,,"Histogram of the number of seconds the last auth exec plugin client certificate lived before being rotated. If auth exec plugin client certificates are unused, histogram will contain no data.",0,kube_proxy,rest client exec plugin certificate rotation,
kubeproxy.rest.client.exec_plugin.ttl,gauge,,second,,"Gauge of the shortest TTL (time-to-live) of the client certificate(s) managed by the auth exec plugin. The value is in seconds until certificate expiry (negative if already expired). If auth exec plugins are unused or manage no TLS certificates, the value will be +INF. (alpha)",0,kube_proxy,http client exec plugin certificate TTL,
kubeproxy.rest.client.request.duration,gauge,,second,,Request latency in seconds. Broken down by verb and URL.,-1,kube_proxy,http client request latency,
kubeproxy.rest.client.requests,gauge,,request,,Number of HTTP requests partitioned by status code method and host,0,kube_proxy,http request,
kubeproxy.sync_proxy.rules.duration,gauge,,second,,SyncProxyRules latency in seconds (alpha),-1,kube_proxy,rules latency,
kubeproxy.sync_proxy.rules.endpoint_changes.pending,gauge,,,,Pending proxy rules Endpoint changes (alpha),0,kube_proxy,rules sync pending endpoint changes,
kubeproxy.sync_proxy.rules.endpoint_changes.total,gauge,,,,Cumulative proxy rules Endpoint changes (alpha),0,kube_proxy,rules sync total endpoint changes,
kubeproxy.sync_proxy.rules.iptables,gauge,,,,Number of proxy iptables rules programmed (alpha),0,kube_proxy,rules sync iptables total,
kubeproxy.sync_proxy.rules.iptables.restore_failures,gauge,,,,Cumulative proxy iptables restore failures (alpha),-1,kube_proxy,rules sync iptables restore failures,
kubeproxy.sync_proxy.rules.last_queued_timestamp,gauge,,second,,The last time a sync of proxy rules was queued (alpha),0,kube_proxy,rules sync last timestamp,
kubeproxy.sync_proxy.rules.last_timestamp,gauge,,second,,The last time proxy rules were successfully synced (alpha),0,kube_proxy,rules sync last timestamp,
kubeproxy.sync_proxy.rules.latency.count,gauge,,,,SyncProxyRules latency count (alpha),0,kube_proxy,rules sync latency count,
kubeproxy.sync_proxy.rules.latency.sum,gauge,,microsecond,,SyncProxyRules latency sum (alpha),-1,kube_proxy,rules sync latency sum,
kubeproxy.sync_proxy.rules.service_changes.pending,gauge,,,,Pending proxy rules Service changes (alpha),0,kube_proxy,rules sync pending service changes,
kubeproxy.sync_proxy.rules.service_changes.total,gauge,,,,Cumulative proxy rules Service changes (alpha),0,kube_proxy,rules sync pending service changes,
