metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
kubernetes.cpu.capacity,gauge,,core,,The number of cores in this machine,0,kubelet,k8s.cpu.capacity
kubernetes.cpu.usage.total,gauge,,nanocore,,The number of cores used,-1,kubelet,k8s.cpu
kubernetes.cpu.limits,gauge,,core,,The limit of cpu cores set,0,kubelet,k8s.cpu.limits
kubernetes.cpu.requests,gauge,,core,,The requested cpu cores,0,kubelet,k8s.cpu.requests
kubernetes.filesystem.usage,gauge,,byte,,The amount of disk used,-1,kubelet,k8s.disk.usage
kubernetes.filesystem.usage_pct,gauge,,fraction,,The percentage of disk used,-1,kubelet,k8s.disk.used_pct
kubernetes.io.read_bytes,gauge,,byte,,The amount of bytes read from the disk,0,kubelet,k8_io_read_bytes
kubernetes.io.write_bytes,gauge,,byte,,The amount of bytes written to the disk,0,kubelet,k8_io_write_bytes
kubernetes.memory.capacity,gauge,,byte,,The amount of memory (in bytes) in this machine,0,kubelet,k8s.mem.capacity
kubernetes.memory.limits,gauge,,byte,,The limit of memory set,0,kubelet,k8s.mem.limits
kubernetes.memory.requests,gauge,,byte,,The requested memory,0,kubelet,k8s.mem.requests
kubernetes.memory.usage,gauge,,byte,,The amount of memory used,-1,kubelet,k8s.mem
kubernetes.memory.usage_pct,gauge,,fraction,,The percentage of memory used,-1,kubelet,k8s.mem.used_pct
kubernetes.network.rx_bytes,gauge,,byte,second,The amount of bytes per second received,0,kubelet,k8s.net.rx
kubernetes.network.rx_dropped,gauge,,packet,second,The amount of rx packets dropped per second,-1,kubelet,k8s.net.rx.drop
kubernetes.network.rx_errors,gauge,,error,second,The amount of rx errors per second,-1,kubelet,k8s.net.rx.errors
kubernetes.network.tx_bytes,gauge,,byte,second,The amount of bytes per second transmitted,-1,kubelet,k8s.net.tx
kubernetes.network.tx_dropped,gauge,,packet,second,The amount of tx packets dropped per second,-1,kubelet,k8s.net.tx.drop
kubernetes.network.tx_errors,gauge,,error,second,The amount of tx errors per second,-1,kubelet,k8s.net.tx.errors
kubernetes.diskio.io_service_bytes.stats.total,gauge,,byte,,The amount of disk space the container uses,-1,kubelet,k8s.disk.total
kubernetes.apiserver.certificate.expiration.count,gauge,,second,,The count of remaining lifetime on the certificate used to authenticate a request,1,kubelet,k8s.cert.exp.count
kubernetes.apiserver.certificate.expiration.sum,gauge,,second,,The sum of remaining lifetime on the certificate used to authenticate a request,1,kubelet,k8s.cert.exp.count
kubernetes.rest.client.requests,gauge,,operation,,The number of HTTP requests,0,kubelet,k8s.rest.req
kubernetes.rest.client.latency.count,gauge,,,,The count of request latency in seconds broken down by verb and URL,1,kubelet,k8s.rest.lat.count
kubernetes.rest.client.latency.sum,gauge,,second,,The sum of request latency in seconds broken down by verb and URL,1,kubelet,k8s.rest.lat.sum
kubernetes.kubelet.runtime.operations,gauge,,operation,,The number of runtime operations,0,kubelet,k8s.runtime.ops
kubernetes.kubelet.runtime.errors,gauge,,operation,,The number of runtime operations errors,-1,kubelet,k8s.runtime.err
kubernetes.kubelet.network_plugin.latency.sum,gauge,,microsecond,,The sum of latency in microseconds of network plugin operations,1,kubelet,k8s.net_plug.lat.sum
kubernetes.kubelet.network_plugin.latency.count,gauge,,,,The count of network plugin operations by latency,1,kubelet,k8s.net_plug.lat.count
kubernetes.kubelet.network_plugin.latency.quantile,gauge,,,,The quantiles of network plugin operations by latency,1,kubelet,k8s.net_plug.lat.quant
