metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
kubernetes_cluster_autoscaler.cluster.cpu.current.cores,gauge,,,,Current CPU cores usage in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.cluster.memory.current.bytes,gauge,,,,Current memory usage in bytes in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.cluster.safe.to.autoscale,gauge,,,,Indicates whether the cluster is safe to autoscale,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.cpu.limits.cores,gauge,,,,Total CPU cores limits set for pods in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.created.node.groups.count,count,,,,Total count of node groups created in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.deleted.node.groups.count,count,,,,Total count of node groups deleted in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.errors.count,count,,,,Total count of errors occurred in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.evicted.pods.count,count,,,,Total count of evicted pods in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.failed.scale.ups.count,count,,,,Total count of failed scale-up operations in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.function.duration.seconds.bucket,count,,,,Duration of a specific function in the cluster (bucket),0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.function.duration.seconds.count,count,,,,Duration of a specific function in the cluster (count),0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.function.duration.seconds.sum,count,,,,Duration of a specific function in the cluster (sum),0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.go.gc.duration.seconds.count,count,,second,,A summary of the pause duration of garbage collection cycles.,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go gc duration seconds count,,
kubernetes_cluster_autoscaler.go.gc.duration.seconds.quantile,gauge,,second,,A summary of the pause duration of garbage collection cycles,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go gc duration seconds,,
kubernetes_cluster_autoscaler.go.gc.duration.seconds.sum,count,,second,,A summary of the pause duration of garbage collection cycles,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go gc duration seconds sum,,
kubernetes_cluster_autoscaler.go.goroutines,gauge,,,,Number of goroutines that currently exist,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go goroutines,,
kubernetes_cluster_autoscaler.go.info,gauge,,,,Information about the Go environment,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go info,,
kubernetes_cluster_autoscaler.go.memstats.alloc_bytes,gauge,,byte,,Number of bytes allocated and still in use,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats alloc_bytes,,
kubernetes_cluster_autoscaler.go.memstats.alloc_bytes.count,count,,byte,,Total number of bytes allocated even if freed,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats alloc_bytes,,
kubernetes_cluster_autoscaler.go.memstats.buck_hash.sys_bytes,gauge,,byte,,Number of bytes used by the profiling bucket hash table,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats buck_hash sys_bytes,,
kubernetes_cluster_autoscaler.go.memstats.frees.count,count,,,,Total number of frees,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats frees,,
kubernetes_cluster_autoscaler.go.memstats.gc.sys_bytes,gauge,,byte,,Number of bytes used for garbage collection system metadata,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats gc sys_bytes,,
kubernetes_cluster_autoscaler.go.memstats.heap.alloc_bytes,gauge,,byte,,Number of heap bytes allocated and still in use,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats heap alloc_bytes,,
kubernetes_cluster_autoscaler.go.memstats.heap.idle_bytes,gauge,,byte,,Number of heap bytes waiting to be used,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats heap idle_bytes,,
kubernetes_cluster_autoscaler.go.memstats.heap.inuse_bytes,gauge,,byte,,Number of heap bytes that are in use,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats heap inuse_bytes,,
kubernetes_cluster_autoscaler.go.memstats.heap.objects,gauge,,object,,Number of allocated objects,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats heap objects,,
kubernetes_cluster_autoscaler.go.memstats.heap.released_bytes,gauge,,byte,,Number of heap bytes released to OS,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats heap released_bytes,,
kubernetes_cluster_autoscaler.go.memstats.heap.sys_bytes,gauge,,byte,,Number of heap bytes obtained from system,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats heap sys_bytes,,
kubernetes_cluster_autoscaler.go.memstats.lookups.count,count,,,,Total number of pointer lookups,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats lookups,,
kubernetes_cluster_autoscaler.go.memstats.mallocs.count,count,,,,Total number of mallocs,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats mallocs,,
kubernetes_cluster_autoscaler.go.memstats.mcache.inuse_bytes,gauge,,byte,,Number of bytes in use by mcache structures,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats mcache inuse_bytes,,
kubernetes_cluster_autoscaler.go.memstats.mcache.sys_bytes,gauge,,byte,,Number of bytes used for mcache structures obtained from system,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats mcache sys_bytes,,
kubernetes_cluster_autoscaler.go.memstats.mspan.inuse_bytes,gauge,,byte,,Number of bytes in use by mspan structures,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats mspan inuse_use,,
kubernetes_cluster_autoscaler.go.memstats.mspan.sys_bytes,gauge,,byte,,Number of bytes used for mspan structures obtained from system,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats mspan sys_bytes,,
kubernetes_cluster_autoscaler.go.memstats.next.gc_bytes,gauge,,byte,,Number of heap bytes when next garbage collection will take place,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats next gc_bytes,,
kubernetes_cluster_autoscaler.go.memstats.other.sys_bytes,gauge,,byte,,Number of bytes used for other system allocations,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats other sys_bytes,,
kubernetes_cluster_autoscaler.go.memstats.stack.inuse_bytes,gauge,,byte,,Number of bytes in use by the stack allocator,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats stack inuse_bytes,,
kubernetes_cluster_autoscaler.go.memstats.stack.sys_bytes,gauge,,byte,,Number of bytes obtained from system for stack allocator,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats stack sys_bytes,,
kubernetes_cluster_autoscaler.go.memstats.sys_bytes,gauge,,byte,,Number of bytes obtained from system,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go memstats sys_bytes,,
kubernetes_cluster_autoscaler.go.threads,gauge,,thread,,Number of OS threads created,0,kubernetes_cluster_autoscaler,kubernetes_cluster_autoscaler go threads,,
kubernetes_cluster_autoscaler.last.activity,gauge,,,,Timestamp of the last activity in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.max.nodes.count,gauge,,,,Maximum number of nodes allowed in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.memory.limits.bytes,gauge,,,,Total memory limits set for pods in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.nap.enabled,gauge,,,,Indicates whether Node Auto-Provisioning (NAP) is enabled in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.node.groups.count,gauge,,,,Number of node groups in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.nodes.count,gauge,,,,Number of nodes in cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.old.unregistered.nodes.removed.count,count,,,,Total count of old unregistered nodes removed from the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.scaled.down.gpu.nodes.count,count,,,,Total count of GPU nodes scaled down in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.scaled.down.nodes.count,count,,,,Total count of nodes scaled down in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.scaled.up.gpu.nodes.count,count,,,,Total count of GPU nodes scaled up in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.scaled.up.nodes.count,count,,,,Total count of nodes scaled up in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.skipped.scale.events.count,count,,,,Total count of skipped scale events in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.unneeded.nodes.count,gauge,,,,Total count of unneeded nodes in the cluster,0,kubernetes_cluster_autoscaler,,,
kubernetes_cluster_autoscaler.unschedulable.pods.count,gauge,,,,Number of unschedulable pods in the cluster,0,kubernetes_cluster_autoscaler,,,
