metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
kubevirt_api.can_connect,gauge,,,,"Value of 1 if the agent can connect to the KubeVirt Handler, and 0 otherwise.",0,kubevirt_api,api connect,,
kubevirt_api.process.cpu_seconds.count,count,,second,,Total user and system CPU time spent in seconds.,0,kubevirt_api,cpu time total,,
kubevirt_api.process.max_fds,gauge,,file,,Maximum number of open file descriptors.,0,kubevirt_api,max fds,,
kubevirt_api.process.open_fds,gauge,,file,,Number of open file descriptors.,0,kubevirt_api,open fds,,
kubevirt_api.process.resident_memory_bytes,gauge,,byte,,Resident memory size in bytes.,0,kubevirt_api,resident memory,,
kubevirt_api.process.start_time_seconds,gauge,,byte,,Start time of the process since unix epoch in seconds.,0,kubevirt_api,start time,,
kubevirt_api.process.virtual_memory_bytes,gauge,,byte,,Virtual memory size in bytes.,0,kubevirt_api,virtual memory,,
kubevirt_api.process.virtual_memory_max_bytes,gauge,,byte,,Maximum amount of virtual memory available in bytes.,0,kubevirt_api,max virtual memory,,
kubevirt_api.promhttp.metric_handler_requests.count,count,,request,,Total number of scrapes by HTTP status code.,0,kubevirt_api,requests total,,
kubevirt_api.promhttp.metric_handler_requests_in_flight,gauge,,request,,Current number of scrapes being served.,0,kubevirt_api,in-flight requests,,
kubevirt_api.rest.client_rate_limiter_duration_seconds.bucket,count,,second,,Histogram of client side rate limiter latency in seconds. Broken down by verb and URL.,0,kubevirt_api,rate limiter duration,,
kubevirt_api.rest.client_rate_limiter_duration_seconds.count,count,,second,,Histogram of client side rate limiter latency in seconds. Broken down by verb and URL.,0,kubevirt_api,rate limiter duration,,
kubevirt_api.rest.client_rate_limiter_duration_seconds.sum,count,,second,,Histogram of client side rate limiter latency in seconds. Broken down by verb and URL.,0,kubevirt_api,rate limiter duration,,
kubevirt_api.rest.client_request_latency_seconds.bucket,count,,second,,Histogram of request latency in seconds. Broken down by verb and URL.,0,kubevirt_api,request latency,,
kubevirt_api.rest.client_request_latency_seconds.count,count,,second,,Histogram of request latency in seconds. Broken down by verb and URL.,0,kubevirt_api,request latency,,
kubevirt_api.rest.client_request_latency_seconds.sum,count,,second,,Histogram of request latency in seconds. Broken down by verb and URL.,0,kubevirt_api,request latency,,
kubevirt_api.rest.client_requests.count,count,,request,,"Number of HTTP requests, partitioned by status code, method, and host.",0,kubevirt_api,requests total,,
kubevirt_api.vm.count,gauge,,,,Number of VirtualMachines in the KubeVirt API.,0,kubevirt_api,vm count,,
kubevirt_api.vmi.count,gauge,,,,Number of VirtualMachineInstances in the KubeVirt API.,0,kubevirt_api,vmi count,,
