metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
kubevirt_handler.can_connect,gauge,,,,Whether the check can connect to the Kubevirt Handler or not.,0,kubevirt_handler,handler connect,,
kubevirt_handler.info,gauge,,,,"KubeVirt Version information",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.cpu_system_usage_seconds.count,count,,,,"Total CPU time spent in system mode.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.cpu_usage_seconds.count,count,,,,"Total CPU time spent in all modes (sum of both vcpu and hypervisor usage).",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.cpu_user_usage_seconds.count,count,,,,"Total CPU time spent in user mode.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_actual_balloon_bytes,gauge,,,,"Current balloon size in bytes.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_available_bytes,gauge,,,,"Amount of usable memory as seen by the domain.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_domain_bytes,gauge,,,,"The amount of memory in bytes allocated to the domain.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_pgmajfault.count,count,,,,"The number of page faults when disk IO was required.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_pgminfault.count,count,,,,"The number of other page faults, when disk IO was not required.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_resident_bytes,gauge,,,,"Resident set size of the process running the domain.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_swap_in_traffic_bytes,gauge,,,,"The total amount of data read from swap space of the guest in bytes.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_swap_out_traffic_bytes,gauge,,,,"The total amount of memory written out to swap space of the guest in bytes.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_unused_bytes,gauge,,,,"The amount of memory left completely unused by the system.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.memory_usable_bytes,gauge,,,,"The amount of memory which can be reclaimed by balloon without pushing the guest system to swap, corresponds to 'Available' in /proc/meminfo",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.network_receive_bytes.count,count,,,,"Total network traffic received in bytes.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.network_receive_errors.count,count,,,,"Total network received error packets.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.network_receive_packets.count,count,,,,"Total network traffic received packets.",0,kubevirt_handler,short_name,,
kubevirt_handler.vmi.network_receive_packets_dropped.count,count,,,,"The total number of rx packets dropped on vNIC interfaces.",0,kubevirt_handler,short_name,,
