metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
kuma.api_server.http_request_duration_seconds.bucket,count,,,,The latency of API HTTP requests. (bucket),0,kuma,,,
kuma.api_server.http_request_duration_seconds.count,count,,request,,The latency of API HTTP requests. (count),0,kuma,,,
kuma.api_server.http_request_duration_seconds.sum,count,,second,,The latency of API HTTP requests. (sum),0,kuma,,,
kuma.api_server.http_requests_inflight,gauge,,request,,The number of inflight requests being handled simultaneously.,0,kuma,,,
kuma.api_server.http_response_size_bytes.bucket,count,,,,The size of API HTTP responses. (bucket),0,kuma,,,
kuma.api_server.http_response_size_bytes.count,count,,,,The size of API HTTP responses. (count),0,kuma,,,
kuma.api_server.http_response_size_bytes.sum,count,,byte,,The size of API HTTP responses. (sum),0,kuma,,,
kuma.ca_manager.get_cert.count,count,,,,CA manager get certificate latencies. (count),0,kuma,,,
kuma.ca_manager.get_cert.sum,count,,second,,CA manager get certificate latencies. (sum),0,kuma,,,
kuma.ca_manager.get_root_cert_chain.count,count,,,,CA manager get CA root certificate chain latencies. (count),0,kuma,,,
kuma.ca_manager.get_root_cert_chain.sum,count,,second,,CA manager get CA root certificate chain latencies. (sum),0,kuma,,,
kuma.cert_generation.count,count,,,,Number of generated certificates.,0,kuma,,,
kuma.certwatcher.read_certificate.errors_total.count,count,,error,,Total number of certificate read errors.,0,kuma,,,
kuma.certwatcher.read_certificate.total.count,count,,read,,Total number of certificate reads.,0,kuma,,,
kuma.cla_cache,gauge,,operation,,Cluster Load Assignment cache operations.,0,kuma,,,
kuma.component.catalog_writer.count,count,,,,Inter CP Catalog Writer component interval. (count),0,kuma,,,
kuma.component.catalog_writer.quantile,gauge,,second,,Inter CP Catalog Writer component interval. (quantile),0,kuma,,,
kuma.component.catalog_writer.sum,count,,second,,Inter CP Catalog Writer component interval. (sum),0,kuma,,,
kuma.component.heartbeat.count,count,,,,Inter CP Heartbeat component interval. (count),0,kuma,,,
kuma.component.heartbeat.quantile,gauge,,second,,Inter CP Heartbeat component interval. (quantile),0,kuma,,,
kuma.component.heartbeat.sum,count,,second,,Inter CP Heartbeat component interval. (sum),0,kuma,,,
kuma.component.hostname_generator.count,count,,,,Hostname generator interval. (count),0,kuma,,,
kuma.component.hostname_generator.quantile,gauge,,second,,Hostname generator interval. (quantile),0,kuma,,,
kuma.component.hostname_generator.sum,count,,second,,Hostname generator interval. (sum),0,kuma,,,
kuma.component.ms_status_updater.count,count,,,,Inter CP Heartbeat component interval. (count),0,kuma,,,
kuma.component.ms_status_updater.quantile,gauge,,second,,Inter CP Heartbeat component interval. (quantile),0,kuma,,,
kuma.component.ms_status_updater.sum,count,,second,,Inter CP Heartbeat component interval. (sum),0,kuma,,,
kuma.component.mzms_status_updater.count,count,,operation,,MeshMultizoneService Updater component. (count),0,kuma,,,
kuma.component.mzms_status_updater.quantile,gauge,,operation,,MeshMultizoneService Updater component. (quantile),0,kuma,,,
kuma.component.mzms_status_updater.sum,count,,operation,,MeshMultizoneService Updater component. (sum),0,kuma,,,
kuma.component.store_counter.count,count,,,,Store Counter component interval. (count),0,kuma,,,
kuma.component.store_counter.quantile,gauge,,second,,Store Counter component interval. (quantile),0,kuma,,,
kuma.component.store_counter.sum,count,,second,,Store Counter component interval. (sum),0,kuma,,,
kuma.component.sub_finalizer.count,count,,,,Subscription finalizer component interval. (count),0,kuma,,,
kuma.component.sub_finalizer.quantile,gauge,,second,,Subscription finalizer component interval. (quantile),0,kuma,,,
kuma.component.sub_finalizer.sum,count,,second,,Subscription finalizer component interval. (sum),0,kuma,,,
kuma.component.vip_allocator.count,count,,,,Virtual IP allocation duration. (count),0,kuma,,,
kuma.component.vip_allocator.quantile,gauge,,second,,Virtual IP allocation duration. (quantile),0,kuma,,,
kuma.component.vip_allocator.sum,count,,second,,Virtual IP allocation duration. (sum),0,kuma,,,
kuma.component.zone_available_services.count,count,,,,Available services tracker component interval. (count),0,kuma,,,
kuma.component.zone_available_services.quantile,gauge,,second,,Available services tracker component interval. (quantile),0,kuma,,,
kuma.component.zone_available_services.sum,count,,second,,Available services tracker component interval. (sum),0,kuma,,,
kuma.controller_runtime.active_workers,gauge,,worker,,Number of currently used workers per controller.,0,kuma,,,
kuma.controller_runtime.max_concurrent_reconciles,gauge,,,,Maximum number of concurrent reconciles per controller.,0,kuma,,,
kuma.controller_runtime.reconcile.errors_total.count,count,,error,,Total number of reconciliation errors per controller.,0,kuma,,,
kuma.controller_runtime.reconcile.panics_total.count,count,,,,Total number of reconciliation panics per controller.,0,kuma,,,
kuma.controller_runtime.reconcile.time_seconds.bucket,count,,,,Length of time per reconciliation per controller. (bucket),0,kuma,,,
kuma.controller_runtime.reconcile.time_seconds.count,count,,,,Length of time per reconciliation per controller. (count),0,kuma,,,
kuma.controller_runtime.reconcile.time_seconds.sum,count,,second,,Length of time per reconciliation per controller. (sum),0,kuma,,,
kuma.controller_runtime.reconcile.total.count,count,,,,Total number of reconciliations per controller.,0,kuma,,,
kuma.controller_runtime.terminal_reconcile.errors_total.count,count,,error,,Total number of terminal reconciliation errors per controller.,0,kuma,,,
kuma.controller_runtime.webhook.latency_seconds.bucket,count,,,,Histogram of the latency of processing admission requests. (bucket),0,kuma,,,
kuma.controller_runtime.webhook.latency_seconds.count,count,,,,Histogram of the latency of processing admission requests. (count),0,kuma,,,
kuma.controller_runtime.webhook.latency_seconds.sum,count,,second,,Histogram of the latency of processing admission requests. (sum),0,kuma,,,
kuma.controller_runtime.webhook.panics_total.count,count,,,,Total number of webhook panics.,0,kuma,,,
kuma.controller_runtime.webhook.requests_in_flight,gauge,,,,Current number of admission requests being served.,0,kuma,,,
kuma.controller_runtime.webhook.requests_total.count,count,,request,,Total number of admission requests by HTTP status code.,0,kuma,,,
kuma.cp_info,gauge,,,,Static information about the CP instance.,0,kuma,,,
kuma.dp_server.http_request_duration_seconds.bucket,count,,,,The latency of the HTTP requests. (bucket),0,kuma,,,
kuma.dp_server.http_request_duration_seconds.count,count,,,,The latency of the HTTP requests. (count),0,kuma,,,
kuma.dp_server.http_request_duration_seconds.sum,count,,second,,The latency of the HTTP requests. (sum),0,kuma,,,
kuma.dp_server.http_requests_inflight,gauge,,request,,The number of inflight requests being handled at the same time.,0,kuma,,,
kuma.dp_server.http_response_size_bytes.bucket,count,,,,The size of the HTTP responses. (bucket),0,kuma,,,
kuma.dp_server.http_response_size_bytes.count,count,,,,The size of the HTTP responses. (count),0,kuma,,,
kuma.dp_server.http_response_size_bytes.sum,count,,byte,,The size of the HTTP responses. (sum),0,kuma,,,
kuma.events.dropped.count,count,,event,,Number of dropped events in event bus due to full channels.,0,kuma,,,
kuma.go.gc.duration_seconds.count,count,,,,Wall-time pause (stop-the-world) duration in garbage collection cycles. (count),0,kuma,,,
kuma.go.gc.duration_seconds.quantile,gauge,,second,,Wall-time pause (stop-the-world) duration in garbage collection cycles. (quantile),0,kuma,,,
kuma.go.gc.duration_seconds.sum,count,,second,,Wall-time pause (stop-the-world) duration in garbage collection cycles. (sum),0,kuma,,,
kuma.go.goroutines,gauge,,,,Number of goroutines that currently exist.,0,kuma,,,
kuma.go.memstats.alloc_bytes,gauge,,byte,,Number of bytes allocated in heap and currently in use.,0,kuma,,,
kuma.go.threads,gauge,,thread,,Number of OS threads created.,0,kuma,,,
kuma.grpc.server.handled_total.count,count,,request,,"Total number of RPCs completed on the server, regardless of success or failure.",0,kuma,,,
kuma.grpc.server.handling_seconds.bucket,count,,,,Histogram of response latency (seconds) of gRPC that had been application-level handled by the server. (bucket),0,kuma,,,
kuma.grpc.server.handling_seconds.count,count,,,,Histogram of response latency (seconds) of gRPC that had been application-level handled by the server. (count),0,kuma,,,
kuma.grpc.server.handling_seconds.sum,count,,second,,Histogram of response latency (seconds) of gRPC that had been application-level handled by the server. (sum),0,kuma,,,
kuma.grpc.server.msg_received_total.count,count,,message,,Total number of gRPC stream messages received on the server.,0,kuma,,,
kuma.grpc.server.msg_sent_total.count,count,,message,,Total number of gRPC stream messages sent by the server.,0,kuma,,,
kuma.grpc.server.started_total.count,count,,request,,Total number of RPCs started on the server.,0,kuma,,,
