metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
lighttpd.performance.idle_server,gauge,,connection,,The number of idle connections.,0,lighttpd,idle servers
lighttpd.performance.busy_servers,gauge,,connection,,The number of active connections.,0,lighttpd,busy servers
lighttpd.performance.uptime,gauge,,second,,The amount of time the server has been up and running.,0,lighttpd,server uptime
lighttpd.net.bytes,gauge,,byte,,The number of bytes sent and received since start.,0,lighttpd,net bytes
lighttpd.net.hits,gauge,,hit,,The number of hits since start.,0,lighttpd,net hits
lighttpd.performance.memory_usage,gauge,,byte,,The amount of memory used by the server.,-1,lighttpd,mem usage
lighttpd.net.requests_avg,gauge,,request,second,The average number of requests per second since start.,0,lighttpd,net req avg
lighttpd.net.bytes_out_avg,gauge,,byte,second,The average number of bytes sent per second since start.,0,lighttpd,net bytes out avg
lighttpd.net.bytes_in_avg,gauge,,byte,second,The average number of bytes received per second since start.,0,lighttpd,net bytes in avg
lighttpd.net.connections_avg,gauge,,connection,second,The average number of connections per second since start.,0,lighttpd,net conn avg
lighttpd.connections.state_start,gauge,,connection,,The number of active connections in the state of initializing the read-idle timer.,0,lighttpd,conn state start
lighttpd.connections.state_read_header,gauge,,connection,,The number of active connections in the state of reading the http request header.,0,lighttpd,conn state read header
lighttpd.connections.state_handle_request,gauge,,connection,,The number of active connections in the state of handling the request internally.,0,lighttpd,conn state handle req
lighttpd.connections.state_write_response,gauge,,connection,,The number of active connections in the state of writing the response to the network.,0,lighttpd,conn state write resp
lighttpd.connections.state_keep_alive,gauge,,connection,,The number of idle connections.,0,lighttpd,conn state keep alive
lighttpd.net.requests_avg_5sec,gauge,,request,second,The average number of requests per second in the past 5 seconds.,0,lighttpd,net req avg 5sec
lighttpd.net.bytes_out_avg_5sec,gauge,,byte,second,The average number of bytes sent per second in the past 5 seconds.,0,lighttpd,net bytes out avg 5sec
lighttpd.net.bytes_in_avg_5sec,gauge,,byte,second,The average number of bytes received per second in the past 5 seconds.,0,lighttpd,net bytes in avg 5sec
lighttpd.net.connections_avg_5sec,gauge,,connection,second,The average number of connections per second in the past 5 seconds.,0,lighttpd,net conn avg 5sec
lighttpd.net.requests_total,rate,,request,second,The number of requests per second.,0,lighttpd,net rq total
lighttpd.net.bytes_out,rate,,byte,second,The number of bytes sent per second.,0,lighttpd,net bytes out
lighttpd.net.bytes_in,rate,,byte,second,The number of bytes received per second.,0,lighttpd,net bytes in
lighttpd.net.connections_total,rate,,connection,second,The total number of connections per second.,0,lighttpd,net conn total
lighttpd.response.status_1xx,rate,,response,second,The number of 1xx status codes generated per second.,0,lighttpd,resp status 1xx
lighttpd.response.status_2xx,rate,,response,second,The number of 2xx status codes generated per second.,0,lighttpd,resp status 2xx
lighttpd.response.status_3xx,rate,,response,second,The number of 3xx status codes generated per second.,0,lighttpd,resp status 3xx
lighttpd.response.status_4xx,rate,,response,second,The number of 4xx status codes generated per second.,-1,lighttpd,resp status 4xx
lighttpd.response.status_5xx,rate,,response,second,The number of 5xx status codes generated per second.,-1,lighttpd,resp status 5xx
lighttpd.net.bytes_per_s,gauge,,byte,second,The number of bytes sent and received per second.,0,lighttpd,net bytes per s
lighttpd.net.request_per_s,gauge,,request,second,The number of requests per second.,0,lighttpd,net requests per s
