metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
mesos.framework.cpu,gauge,,,,Framework cpu,0,mesos,framework cpu
mesos.framework.mem,gauge,,mebibyte,,Framework mem,0,mesos,framework mem
mesos.framework.disk,gauge,,mebibyte,,Framework disk,0,mesos,framework disk
mesos.role.cpu,gauge,,,,Role cpu,0,mesos,role cpu
mesos.role.mem,gauge,,mebibyte,,Role mem,0,mesos,role mem
mesos.role.disk,gauge,,mebibyte,,Role disk,0,mesos,role disk
mesos.cluster.tasks_error,gauge,,task,,Number of tasks that were invalid,-1,mesos,task errors
mesos.cluster.tasks_failed,count,,task,,Number of failed tasks,-1,mesos,failed tasks
mesos.cluster.tasks_finished,count,,task,,Number of finished tasks,0,mesos,finished tasks
mesos.cluster.tasks_killed,count,,task,,Number of killed tasks,-1,mesos,tasks killed
mesos.cluster.tasks_lost,count,,task,,Number of lost tasks,-1,mesos,tasks lost
mesos.cluster.tasks_running,gauge,,task,,Number of running tasks,0,mesos,running tasks
mesos.cluster.tasks_staging,gauge,,task,,Number of staging tasks,0,mesos,staging tasks
mesos.cluster.tasks_starting,gauge,,task,,Number of starting tasks,0,mesos,starting tasks
mesos.cluster.slave_registrations,gauge,,,,Number of slaves that were able to cleanly re-join the cluster and connect back to the master after the master is disconnected.,0,mesos,slave registrations
mesos.cluster.slave_removals,gauge,,,,"Number of slaves removed for various reasons, including maintenance",0,mesos,slave removals
mesos.cluster.slave_reregistrations,gauge,,,,Number of slave re-registrations,0,mesos,slave reregistrations
mesos.cluster.slave_shutdowns_canceled,gauge,,,,Number of cancelled slave shutdowns,-1,mesos,slave shutdowns canceled
mesos.cluster.slave_shutdowns_scheduled,gauge,,,,Number of slaves which have failed their health check and are scheduled to be removed,0,mesos,slave shutdowns scheduled
mesos.cluster.slaves_active,gauge,,,,Number of active slaves,0,mesos,active slaves
mesos.cluster.slaves_connected,gauge,,,,Number of connected slaves,0,mesos,connected slaves
mesos.cluster.slaves_disconnected,gauge,,,,Number of disconnected slaves,0,mesos,disconnected slaves
mesos.cluster.slaves_inactive,gauge,,,,Number of inactive slaves,0,mesos,inactive slaves
mesos.cluster.cpus_percent,gauge,,percent,,Percentage of allocated CPUs,0,mesos,cpus percent
mesos.cluster.cpus_used,gauge,,,,Number of allocated CPUs,0,mesos,cpus used
mesos.cluster.cpus_total,gauge,,,,Number of CPUs,1,mesos,cpus total
mesos.cluster.gpus_percent,gauge,,percent,,Percentage of allocated GPUs,0,mesos,gpus percent
mesos.cluster.gpus_used,gauge,,,,Number of allocated GPUs,0,mesos,gpus used
mesos.cluster.gpus_total,gauge,,,,Number of GPUs,1,mesos,gpus total
mesos.cluster.disk_percent,gauge,,percent,,Percentage of allocated disk space,-1,mesos,disk percent
mesos.cluster.disk_used,gauge,,mebibyte,,Allocated disk space,-1,mesos,disk used
mesos.cluster.disk_total,gauge,,mebibyte,,Disk space,1,mesos,disk total
mesos.cluster.mem_percent,gauge,,percent,,Percentage of allocated memory,-1,mesos,mem percent
