metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
mesos.slave.cpus_percent,gauge,,percent,,Percentage of allocated CPUs,0,mesos,cpus percent,
mesos.slave.cpus_total,gauge,,,,Number of CPUs,1,mesos,cpus total,
mesos.slave.cpus_used,gauge,,,,Number of allocated CPUs,0,mesos,cpus used,
mesos.slave.disk_percent,gauge,,percent,,Percentage of allocated disk space,-1,mesos,disk percent,
mesos.slave.disk_total,gauge,,mebibyte,,Disk space,1,mesos,disk total,
mesos.slave.disk_used,gauge,,mebibyte,,Allocated disk space,-1,mesos,disk used,
mesos.slave.executors_registering,gauge,,,,Number of executors registering,0,mesos,executors registering,
mesos.slave.executors_running,gauge,,,,Number of executors running,0,mesos,executors running,
mesos.slave.executors_terminated,gauge,,,,Number of terminated executors,0,mesos,executors terminated,
mesos.slave.executors_terminating,gauge,,,,Number of terminating executors,0,mesos,executors terminating,
mesos.slave.frameworks_active,gauge,,,,Number of active frameworks,0,mesos,active frameworks,
mesos.slave.gpus_percent,gauge,,percent,,Percentage of allocated GPUs,0,mesos,gpus percent,
mesos.slave.gpus_total,gauge,,,,Number of GPUs,1,mesos,gpus total,
mesos.slave.gpus_used,gauge,,,,Number of allocated GPUs,0,mesos,gpus used,
mesos.slave.invalid_framework_messages,gauge,,message,,Number of invalid framework messages,-1,mesos,invalid framework msgs,
mesos.slave.invalid_status_updates,gauge,,,,Number of invalid status updates,-1,mesos,invalid status updates,
mesos.slave.mem_percent,gauge,,percent,,Percentage of allocated memory,-1,mesos,mem percent,
mesos.slave.mem_total,gauge,,mebibyte,,Total memory,1,mesos,mem total,
mesos.slave.mem_used,gauge,,mebibyte,,Allocated memory,-1,mesos,mem used,
mesos.slave.recovery_errors,gauge,,error,,Number of errors encountered during slave recovery,-1,mesos,recovery errors,
mesos.slave.tasks_failed,count,,task,,Number of failed tasks,-1,mesos,failed tasks,
mesos.slave.tasks_finished,count,,task,,Number of finished tasks,0,mesos,finished tasks,
mesos.slave.tasks_killed,count,,task,,Number of killed tasks,-1,mesos,killed tasks,
mesos.slave.tasks_lost,count,,task,,Number of lost tasks,-1,mesos,lost tasks,
mesos.slave.tasks_running,gauge,,task,,Number of running tasks,0,mesos,running tasks,
mesos.slave.tasks_staging,gauge,,task,,Number of staging tasks,0,mesos,staging tasks,
mesos.slave.tasks_starting,gauge,,task,,Number of starting tasks,0,mesos,starting tasks,
mesos.slave.valid_framework_messages,gauge,,message,,Number of valid framework messages,0,mesos,valid framework msgs,
mesos.slave.valid_status_updates,gauge,,,,Number of valid status updates,0,mesos,valid status updates,
mesos.state.task.cpu,gauge,,,,Task cpu,0,mesos,task cpu,
mesos.state.task.disk,gauge,,mebibyte,,Task disk,0,mesos,task disk,
mesos.state.task.mem,gauge,,mebibyte,,Task memory,0,mesos,task memory,
mesos.stats.registered,gauge,,,,Whether this slave is registered with a master,0,mesos,slave registered,
mesos.stats.system.cpus_total,gauge,,,,Number of CPUs available,1,mesos,cpus total,
mesos.stats.system.load_15min,gauge,,,,Load average for the past 15 minutes,-1,mesos,load 15,
mesos.stats.system.load_1min,gauge,,,,Load average for the past minutes,-1,mesos,load 1,
mesos.stats.system.load_5min,gauge,,,,Load average for the past 5 minutes,-1,mesos,load 5,
mesos.stats.system.mem_free_bytes,gauge,,byte,,Free memory,1,mesos,mem free,
mesos.stats.system.mem_total_bytes,gauge,,byte,,Total memory,1,mesos,mem total,
mesos.stats.uptime_secs,gauge,,,,Slave uptime,1,mesos,slave uptime,
