metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
n8n.active.workflow.count,gauge,,,,Total number of active workflows.,0,n8n,,,
n8n.audit.workflow.activated.count,count,,,,Total number of audited workflow activations. Available in n8n 2.x and later.,0,n8n,,,
n8n.audit.workflow.deactivated.count,count,,,,Total number of audited workflow deactivations. Available in n8n 2.x and later.,0,n8n,,,
n8n.audit.workflow.executed.count,count,,,,Total number of audited workflow executions. Available in n8n 2.x and later.,0,n8n,,,
n8n.audit.workflow.resumed.count,count,,,,Total number of audited workflow resumptions. Available in n8n 2.x and later.,0,n8n,,,
n8n.audit.workflow.version.updated.count,count,,,,Total number of audited workflow version updates. Available in n8n 2.x and later.,0,n8n,,,
n8n.audit.workflow.waiting.count,count,,,,Total number of audited workflow executions entering a waiting state. Available in n8n 2.x and later.,0,n8n,,,
n8n.cache.hits.count,count,,,,Total number of cache hits.,0,n8n,,,
n8n.cache.misses.count,count,,,,Total number of cache misses.,0,n8n,,,
n8n.cache.updates.count,count,,,,Total number of cache updates.,0,n8n,,,
n8n.credentials.total,gauge,,,,Total number of credentials. Available in n8n 2.x and later when N8N_METRICS_INCLUDE_WORKFLOW_STATISTICS is enabled.,0,n8n,,,
n8n.embed.login.failures.count,count,,,,Total number of embed login failures broken down by reason. Available in n8n 2.x and later. Only emits samples after the first failure.,0,n8n,,,
n8n.embed.login.requests.count,count,,,,Total number of embed login requests (tagged with `result:success`/`result:failure`). Available in n8n 2.x and later.,0,n8n,,,
n8n.enabled.users,gauge,,,,Total number of enabled users. Available in n8n 2.x and later when N8N_METRICS_INCLUDE_WORKFLOW_STATISTICS is enabled.,0,n8n,,,
n8n.http.request.duration.seconds.bucket,count,,,,Histogram bucket for HTTP request duration in seconds labeled with status_code.,0,n8n,,,
n8n.http.request.duration.seconds.count,count,,,,The count of HTTP request duration samples.,0,n8n,,,
n8n.http.request.duration.seconds.sum,count,,,,The sum of HTTP request duration in seconds.,0,n8n,,,
n8n.instance.role.leader,gauge,,,,Whether this main instance is the leader (1) or not (0).,0,n8n,,,
n8n.last.activity,gauge,,second,,Time elapsed since the last instance activity (backend request).,0,n8n,,,
n8n.manual.executions,gauge,,,,Total number of manual workflow executions. Available in n8n 2.x and later when N8N_METRICS_INCLUDE_WORKFLOW_STATISTICS is enabled.,0,n8n,,,
n8n.node.finished.count,count,,,,Total number of node executions that finished. Emitted by worker processes in queue mode (n8n.node.finished event).,0,n8n,,,
n8n.node.started.count,count,,,,Total number of node executions that started. Emitted by worker processes in queue mode (n8n.node.started event).,0,n8n,,,
n8n.nodejs.active.handles,gauge,,,,Number of active libuv handles grouped by handle type. Every handle type is C++ class name.,0,n8n,,,
n8n.nodejs.active.handles.total,gauge,,,,Total number of active handles.,0,n8n,,,
n8n.nodejs.active.requests,gauge,,,,Number of active libuv requests grouped by request type. Only emits samples for request types currently in flight at scrape time (from prom-client's default collector via process._getActiveRequests).,0,n8n,,,
n8n.nodejs.active.requests.total,gauge,,,,Total number of active requests.,0,n8n,,,
n8n.nodejs.active.resources,gauge,,,,Number of active resources keeping the event loop alive grouped by async resource type.,0,n8n,,,
n8n.nodejs.active.resources.total,gauge,,,,Total number of active resources.,0,n8n,,,
n8n.nodejs.eventloop.lag.max.seconds,gauge,,,,The maximum recorded event loop delay.,0,n8n,,,
n8n.nodejs.eventloop.lag.mean.seconds,gauge,,,,The mean of the recorded event loop delays.,0,n8n,,,
