metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
openstack.cinder.cluster.count,gauge,,,,Number of cinder clusters,0,openstack_controller,cinder cluster ct,
openstack.cinder.cluster.num_down_hosts,gauge,,,,Number of cinder cluster hosts down,0,openstack_controller,cinder cluster host down ct,
openstack.cinder.cluster.num_hosts,gauge,,,,Number of cinder cluster hosts,0,openstack_controller,cinder cluster host ct,
openstack.cinder.pool.capabilities.free_capacity_gb,gauge,,,,Free capacity for a backend volume,0,openstack_controller,cinder pool free capacity,
openstack.cinder.pool.capabilities.reserved_percentage,gauge,,percent,,Percentage of CPU use reserved for internal use,0,openstack_controller,cinder pool reserved percentage,
openstack.cinder.pool.capabilities.total_capacity_gb,gauge,,,,Total capacity for a backend volume,0,openstack_controller,cinder pool total capacity,
openstack.cinder.pool.count,gauge,,,,Number of cinder pools,0,openstack_controller,cinder pool ct,
openstack.cinder.response_time,gauge,,millisecond,,Duration that an HTTP request takes to complete when making a request to cinder endpoint,0,openstack_controller,cinder response time,
openstack.cinder.snapshot.count,gauge,,,,Number of cinder snapshots,0,openstack_controller,cinder snapshot ct,
openstack.cinder.snapshot.size,gauge,,,,Size of cinder snapshots,0,openstack_controller,cinder snapshot size,
openstack.cinder.volume.count,gauge,,,,Number of cinder volumes,0,openstack_controller,cinder volume ct,
openstack.cinder.volume.size,gauge,,,,Size of cinder volumes,0,openstack_controller,cinder volume size,
openstack.cinder.volume.transfer.count,gauge,,,,Number of cinder volume transfers,0,openstack_controller,cinder volume transfer ct,
openstack.glance.image.count,gauge,,,,Number of public virtual machine images,0,openstack_controller,glance image ct,
openstack.glance.image.member.count,gauge,,,,Number of members associated with an image,0,openstack_controller,glance image member ct,
openstack.glance.image.size,gauge,,,,Size of image file in bytes,0,openstack_controller,glance image size,
openstack.glance.image.task.count,gauge,,,,Number of tasks associated with an image,0,openstack_controller,glance image task ct,
openstack.glance.image.up,gauge,,,,Whether a glance image is up,0,openstack_controller,glance image up,
openstack.glance.response_time,gauge,,millisecond,,Duration that an HTTP request takes to complete when making a request to glance endpoint,0,openstack_controller,glance response time,
openstack.ironic.conductor.count,gauge,,,,Number of ironic conductors,0,openstack_controller,ironic conductor ct,
openstack.ironic.conductor.up,gauge,,,,Whether an ironic conductor is up,0,openstack_controller,ironic conductor up,
openstack.ironic.node.count,gauge,,,,Number of ironic nodes,0,openstack_controller,ironic node ct,
openstack.ironic.node.up,gauge,,,,Whether an ironic node is up,0,openstack_controller,ironic node up,
openstack.ironic.response_time,gauge,,millisecond,,Duration that an HTTP request takes to complete when making a request to ironic endpoint,0,openstack_controller,ironic response time,
openstack.keystone.domain.count,gauge,,,,Number of domains of the Openstack deployment,0,openstack_controller,keystone domains count,
openstack.keystone.domain.enabled,gauge,,,,If set to 1 domain is enabled. If set to 0 domain is disabled,0,openstack_controller,keystone domain enabled,
openstack.keystone.group.count,gauge,,,,Number of groups of the Openstack deployment,0,openstack_controller,keystone groups count,
openstack.keystone.group.users,gauge,,,,Number of users for a group of the Openstack deployment,0,openstack_controller,keystone group users count,
openstack.keystone.limit.limit,gauge,,,,Value of the unified limit for a keystone Openstack resource,0,openstack_controller,keystone limit,
openstack.keystone.project.count,gauge,,,,Number of projects of the Openstack deployment,0,openstack_controller,keystone projects count,
openstack.keystone.project.enabled,gauge,,,,If set to 1 project is enabled. If set to 0 project is disabled,0,openstack_controller,keystone project enabled,
openstack.keystone.region.count,gauge,,,,Number of regions of the Openstack deployment,0,openstack_controller,keystone regions count,
openstack.keystone.response_time,gauge,,millisecond,,Duration that an HTTP request takes to complete when making a request to keystone endpoint,0,openstack_controller,keystone response time,
openstack.keystone.service.count,gauge,,,,Number of keystone services of the Openstack deployment,0,openstack_controller,keystone services count,
openstack.keystone.service.enabled,gauge,,,,If set to 1 service is enabled. If set to 0 service is disabled,0,openstack_controller,keystone service enabled,
openstack.keystone.user.count,gauge,,,,Number of users of the Openstack deployment,0,openstack_controller,keystone users count,
openstack.keystone.user.enabled,gauge,,,,If set to 1 user is enabled. If set to 0 user is disabled,0,openstack_controller,keystone user enabled,
openstack.neutron.agent.admin_state_up,gauge,,,,The administrative state of the agent.,0,openstack_controller,neutron agent up,
openstack.neutron.agent.alive,gauge,,,,If the agent is alive and running.,0,openstack_controller,neutron agent alive,
openstack.neutron.agent.count,gauge,,,,Number of network agents,0,openstack_controller,neutron agent ct,
openstack.neutron.network.admin_state_up,gauge,,,,"The administrative state of the network, which is up or down",0,openstack_controller,neutron net admin up,
openstack.neutron.network.count,gauge,,,,The total number of networks,0,openstack_controller,neutron networks count,
openstack.neutron.network.is_default,gauge,,,,The network is default pool or not.,0,openstack_controller,neutron vlan default,
openstack.neutron.network.l2_adjacency,gauge,,,,Indicates whether L2 connectivity is available throughout the network.,0,openstack_controller,neutron net l2,
openstack.neutron.network.mtu,gauge,,,,"The maximum transmission unit (MTU) value to address fragmentation. Minimum value is 68 for IPv4, and 1280 for IPv6.",0,openstack_controller,neutron net mtu,
openstack.neutron.network.port_security_enabled,gauge,,,,The port security status of the network. Valid values are enabled and disabled.,0,openstack_controller,neutron net port security,
openstack.neutron.network.shared,gauge,,,,"Indicates whether this network is shared across all tenants. By default, only administrative users can change this value.",0,openstack_controller,neutron net shared,
openstack.neutron.network.vlan_transparent,gauge,,,,"Indicates the VLAN transparency mode of the network, which is VLAN transparent or not VLAN transparent.",0,openstack_controller,neutron vlan transparent,
openstack.neutron.quota.floatingip,gauge,,,,The number of floating IP addresses allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota fl ip,
openstack.neutron.quota.network,gauge,,,,The number of networks allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota fl ip,
openstack.neutron.quota.port,gauge,,,,The number of ports allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota port,
openstack.neutron.quota.rbac_policy,gauge,,,,The number of role-based access control (RBAC) policies allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota rbac,
openstack.neutron.quota.router,gauge,,,,The number of routers allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota router,
openstack.neutron.quota.security_group,gauge,,,,The number of security groups allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota sec group,
openstack.neutron.quota.security_group_rule,gauge,,,,The number of security group rules allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota sec group rule,
openstack.neutron.quota.subnet,gauge,,,,The number of subnets allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota subnet,
openstack.neutron.quota.subnetpool,gauge,,,,The number of subnet pools allowed for each project. A value of -1 means no limit.,0,openstack_controller,neutron quota subnet pools,
openstack.neutron.response_time,gauge,,millisecond,,Duration that an HTTP request takes to complete when making a request to neutron endpoint,0,openstack_controller,neutron response time,
openstack.nova.current_workload,gauge,,,,Current workload on the Nova hypervisor [Legacy],-1,openstack_controller,nova workload,
openstack.nova.disk_available_least,gauge,,gibibyte,,Disk available for the Nova hypervisor [Legacy],1,openstack_controller,nova disk available,
openstack.nova.flavor.disk,gauge,,gibibyte,,The size of the root disk that will be created in GiB.,0,openstack_controller,nova flavor disk,
openstack.nova.flavor.ram,gauge,,mebibyte,,"The amount of RAM a flavor has, in MiB.",0,openstack_controller,nova flavor ram,
openstack.nova.flavor.rxtx_factor,gauge,,,,The receive / transmit factor (as a float) that will be set on ports if the network backend supports the QOS extension.,0,openstack_controller,nova flavor rxtx,
openstack.nova.flavor.swap,gauge,,,,"The size of a dedicated swap disk that will be allocated, in MiB. If 0 (the default), no dedicated swap disk will be created.",0,openstack_controller,nova flavor swap,
openstack.nova.flavor.vcpus,gauge,,mebibyte,,The number of virtual CPUs that will be allocated to the server.,0,openstack_controller,nova flavor vcpus,
