metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
oracle.active_sessions,gauge,,,,Number of active sessions,0,oracle_database,active sessions,,
oracle.asm_diskgroup.free_mb,gauge,,,,"The unused capacity of a disk group in megabytes, tagged by `state` (DBM only)",0,oracle_database,disk group free megabytes,,
oracle.asm_diskgroup.offline_disks,gauge,,,,"The number of disks in an ASM disk group that are offline, tagged by `state` (DBM only)",0,oracle_database,offline disks in asm disk group,,
oracle.asm_diskgroup.total_mb,gauge,,,,"The total usable capacity of the disk group, tagged by `state` (DBM only)",0,oracle_database,disk group total megabytes,,
oracle.buffer_cachehit_ratio,gauge,,percent,,Ratio of buffer cache hits,1,oracle_database,buff cache hit ratio,,
oracle.cache_blocks_corrupt,gauge,,block,,Corrupt cache blocks,0,oracle_database,corrupt cache blocks,,
oracle.cache_blocks_lost,gauge,,block,,Lost cache blocks,0,oracle_database,lost cache blocks,,
oracle.cursor_cachehit_ratio,gauge,,percent,,Ratio of cursor cache hits,1,oracle_database,cursor cache hit ratio,,
oracle.database_wait_time_ratio,gauge,,percent,,Memory sorts per second,0,oracle_database,db wait-time ratio,,
oracle.disk_sorts,gauge,,operation,second,Disk sorts per second,0,oracle_database,disk sorts,,
oracle.enqueue_timeouts,gauge,,timeout,second,Enqueue timeouts per sec,0,oracle_database,enqueue timeouts,,
oracle.gc_cr_block_received,gauge,,block,second,GC CR block received,0,oracle_database,gc cr block rcv ,,
oracle.library_cachehit_ratio,gauge,,percent,,Ratio of library cache hits,1,oracle_database,lib cache hit ratio,,
oracle.logons,gauge,,,,Number of logon attempts,0,oracle_database,logons,,
oracle.long_table_scans,gauge,,scan,second,Number of long table scans per sec,0,oracle_database,long tbl scans,,
oracle.memory_sorts_ratio,gauge,,percent,,Memory sorts ratio,0,oracle_database,memory sort ratio,,
oracle.physical_reads,gauge,,read,second,Physical reads per sec,0,oracle_database,phys reads,,
oracle.physical_writes,gauge,,write,second,Physical writes per sec,0,oracle_database,phys reads,,
oracle.process.pga_allocated_memory,gauge,,byte,,PGA memory allocated by process,0,oracle_database,pga memory allocated,,
oracle.process.pga_freeable_memory,gauge,,byte,,PGA memory freeable by process,0,oracle_database,pga memory freeable,,
oracle.process.pga_maximum_memory,gauge,,byte,,PGA maximum memory ever allocated by process,0,oracle_database,pga max memory allocated,,
oracle.process.pga_used_memory,gauge,,byte,,PGA memory used by process,0,oracle_database,pga memory used,,
oracle.rows_per_sort,gauge,,row,operation,Rows per sort,0,oracle_database,rows per sort,,
oracle.service_response_time,gauge,,second,,Service response time,0,oracle_database,svc resp time,,
oracle.session_count,gauge,,,,Session count,0,oracle_database,session count,,
oracle.session_limit_usage,gauge,,percent,,Session limit usage,0,oracle_database,session lim usage %,,
oracle.shared_pool_free,gauge,,percent,,Shared pool free memory %,0,oracle_database,shared pool free,,
oracle.sorts_per_user_call,gauge,,,,Sorts per user call,0,oracle_database,sorts per user call,,
oracle.tablespace.in_use,gauge,,percent,,Tablespace in-use,0,oracle_database,tablespace in-use,,
oracle.tablespace.offline,gauge,,,,Tablespace offline,0,oracle_database,tablespace offline,,
oracle.tablespace.size,gauge,,byte,,Tablespace size,0,oracle_database,tablespace size,,
oracle.tablespace.used,gauge,,byte,,Tablespace used,0,oracle_database,tablespace used,,
oracle.temp_space_used,gauge,,byte,,Temp space used,0,oracle_database,temp space used,,
oracle.user_rollbacks,gauge,,operation,,number of user rollbacks,0,oracle_database,user rollbacks,,
