metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
palo_alto_networks_cortex_xsoar.api_execution.count,count,300,,,Total number of API executions.,0,palo_alto_networks_cortex_xsoar,api exec cnt,,
palo_alto_networks_cortex_xsoar.api_execution.rate_limited_api_call_count,count,300,,,Total number of rate-limited API calls.,0,palo_alto_networks_cortex_xsoar,api exec rl cnt,,
palo_alto_networks_cortex_xsoar.command_execution.count,count,300,,,Total number of command executions.,0,palo_alto_networks_cortex_xsoar,cmd exec cnt,,
palo_alto_networks_cortex_xsoar.command_execution.failed_count,count,300,,,Total number of failed command executions.,0,palo_alto_networks_cortex_xsoar,cmd exec fail cnt,,
palo_alto_networks_cortex_xsoar.playbook_execution.avg_duration,gauge,,second,,Average duration of playbook executions.,0,palo_alto_networks_cortex_xsoar,playbook exec avg dur,,
palo_alto_networks_cortex_xsoar.playbook_execution.count,count,300,,,Total number of playbook executions.,0,palo_alto_networks_cortex_xsoar,playbook exec cnt,,
palo_alto_networks_cortex_xsoar.playbook_execution.failed_count,count,300,,,Total number of failed playbook executions.,0,palo_alto_networks_cortex_xsoar,playbook exec fail cnt,,
palo_alto_networks_cortex_xsoar.sla.late_count,count,300,,,Total number of late SLA incidents.,0,palo_alto_networks_cortex_xsoar,sla late cnt,,
palo_alto_networks_cortex_xsoar.sla.mean_time_to_containment,gauge,,second,,Average time taken to control incidents as per SLA.,0,palo_alto_networks_cortex_xsoar,sla mttc,,
palo_alto_networks_cortex_xsoar.sla.mean_time_to_detection,gauge,,second,,Average time taken to detect incidents  as per SLA.,0,palo_alto_networks_cortex_xsoar,sla mttd,,
palo_alto_networks_cortex_xsoar.sla.mean_time_to_resolution,gauge,,second,,Average time taken to resolve incidents as per SLA.,0,palo_alto_networks_cortex_xsoar,sla mttr,,
palo_alto_networks_cortex_xsoar.sla.mean_time_to_triage,gauge,,second,,Average time taken to triage incidents as per SLA.,0,palo_alto_networks_cortex_xsoar,sla mttt,,
palo_alto_networks_cortex_xsoar.sla.within_count,count,300,,,Total number of incidents within SLA.,0,palo_alto_networks_cortex_xsoar,sla within cnt,,
palo_alto_networks_cortex_xsoar.task_execution.count,count,300,,,Total number of task executions.,0,palo_alto_networks_cortex_xsoar,task exec cnt,,
palo_alto_networks_cortex_xsoar.task_execution.failed_count,count,300,,,Total number of failed task executions.,0,palo_alto_networks_cortex_xsoar,task exec fail cnt,,
