metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
pinot.minion.jmx_config_reload_failure_created,gauge,,,,Number of times configuration have failed to be reloaded.,0,pinot.minion,,
pinot.minion.jmx_config_reload_failure_total,count,,,,Number of times configuration have failed to be reloaded.,0,pinot.minion,,
pinot.minion.jmx_config_reload_success_created,gauge,,,,Number of times configuration have successfully been reloaded.,0,pinot.minion,,
pinot.minion.jmx_config_reload_success_total,count,,,,Number of times configuration have successfully been reloaded.,0,pinot.minion,,
pinot.minion.jmx_exporter_build_info,gauge,,,,A metric with a constant '1' value labeled with the version of the JMX exporter.,0,pinot.minion,,
pinot.minion.jmx_scrape_cached_beans,gauge,,,,Number of beans with their matching rule cached,0,pinot.minion,,
pinot.minion.jmx_scrape_duration_seconds,gauge,,,,"Time this JMX scrape took, in seconds.",0,pinot.minion,,
pinot.minion.jmx_scrape_error,gauge,,,,Non-zero if this scrape failed.,0,pinot.minion,,
pinot.minion.jvm_buffer_pool_capacity_bytes,gauge,,,,Bytes capacity of a given JVM buffer pool.,0,pinot.minion,,
pinot.minion.jvm_buffer_pool_used_buffers,gauge,,,,Used buffers of a given JVM buffer pool.,0,pinot.minion,,
pinot.minion.jvm_buffer_pool_used_bytes,gauge,,,,Used bytes of a given JVM buffer pool.,0,pinot.minion,,
pinot.minion.jvm_classes_currently_loaded,gauge,,,,The number of classes that are currently loaded in the JVM,0,pinot.minion,,
pinot.minion.jvm_classes_loaded_total,count,,,,The total number of classes that have been loaded since the JVM has started execution,0,pinot.minion,,
pinot.minion.jvm_classes_unloaded_total,count,,,,The total number of classes that have been unloaded since the JVM has started execution,0,pinot.minion,,
pinot.minion.jvm_gc_collection_seconds,gauge,,,,Time spent in a given JVM garbage collector in seconds.,0,pinot.minion,,
pinot.minion.jvm_info,gauge,,,,VM version info,0,pinot.minion,,
pinot.minion.jvm_memory_bytes_committed,gauge,,,,Committed (bytes) of a given JVM memory area.,0,pinot.minion,,
pinot.minion.jvm_memory_bytes_init,gauge,,,,Initial bytes of a given JVM memory area.,0,pinot.minion,,
pinot.minion.jvm_memory_bytes_max,gauge,,,,Max (bytes) of a given JVM memory area.,0,pinot.minion,,
pinot.minion.jvm_memory_bytes_used,gauge,,,,Used bytes of a given JVM memory area.,0,pinot.minion,,
pinot.minion.jvm_memory_objects_pending_finalization,gauge,,,,The number of objects waiting in the finalizer queue.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_allocated_bytes_created,gauge,,,,"Total bytes allocated in a given JVM memory pool. Only updated after GC, not continuously.",0,pinot.minion,,
pinot.minion.jvm_memory_pool_allocated_bytes_total,count,,,,"Total bytes allocated in a given JVM memory pool. Only updated after GC, not continuously.",0,pinot.minion,,
pinot.minion.jvm_memory_pool_bytes_committed,gauge,,,,Committed bytes of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_bytes_init,gauge,,,,Initial bytes of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_bytes_max,gauge,,,,Max bytes of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_bytes_used,gauge,,,,Used bytes of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_collection_committed_bytes,gauge,,,,Committed after last collection bytes of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_collection_init_bytes,gauge,,,,Initial after last collection bytes of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_collection_max_bytes,gauge,,,,Max bytes after last collection of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_memory_pool_collection_used_bytes,gauge,,,,Used bytes after last collection of a given JVM memory pool.,0,pinot.minion,,
pinot.minion.jvm_threads_current,gauge,,,,Current thread count of a JVM,0,pinot.minion,,
pinot.minion.jvm_threads_daemon,gauge,,,,Daemon thread count of a JVM,0,pinot.minion,,
