metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
powerdns.recursor.cache_entries,gauge,,entry,,The number of entries in the cache,0,powerdns_recursor,cache entries
powerdns.recursor.negcache_entries,gauge,,entry,,The number of entries in the negative answer cache,0,powerdns_recursor,negcache entries
powerdns.recursor.packetcache_entries,gauge,,entry,,The number of entries in the packet cache,0,powerdns_recursor,pkt cache entries
powerdns.recursor.failed_host_entries,gauge,,host,,The number of servers that failed to resolve,0,powerdns_recursor,failed host entries
powerdns.recursor.concurrent_queries,gauge,,query,,The number of MThreads currently running,0,powerdns_recursor,concurrent queries
powerdns.recursor.throttle_entries,gauge,,entry,,The number of entries in the throttle map,0,powerdns_recursor,throttle entries
powerdns.recursor.all_outqueries,gauge,,query,second,The number of outgoing udp queries per second,0,powerdns_recursor,all outqueries
powerdns.recursor.answers_slow,gauge,,query,second,Number of queries per second NOT answered within 1 second,-1,powerdns_recursor,answers/sec > 1s
powerdns.recursor.answers0_1,gauge,,query,second,Number of queries per second answered within 1 millisecond,1,powerdns_recursor,answers/sec < 1ms
powerdns.recursor.answers1_10,gauge,,query,second,Number of queries per second answered within 10 milliseconds,0,powerdns_recursor,answers/sec < 10ms
powerdns.recursor.answers10_100,gauge,,query,second,Number of queries per second answered within 100 milliseconds,0,powerdns_recursor,answers/sec < 100ms
powerdns.recursor.answers100_1000,gauge,,query,second,Number of queries per second answered within 1 second,0,powerdns_recursor,answers/sec < 1s
powerdns.recursor.cache_hits,gauge,,hit,second,The number of cache hits per second,0,powerdns_recursor,cache hits
powerdns.recursor.cache_misses,gauge,,miss,second,The number of cache misses per second,0,powerdns_recursor,cache misses
powerdns.recursor.chain_resends,gauge,,query,second,The number of queries per second chained to existing outstanding query,0,powerdns_recursor,chain resends
powerdns.recursor.case_mismatches,gauge,,error,second,The number of mismatches in character case per second,0,powerdns_recursor,case mismatches
powerdns.recursor.client_parse_errors,gauge,,error,second,The number of unparseable packets per second,0,powerdns_recursor,unparseable pkts
powerdns.recursor.dont_outqueries,gauge,,query,second,The number of outgoing queries dropped per second because of 'dont query' setting,0,powerdns_recursor,dont outqueries
powerdns.recursor.ipv6_outqueries,gauge,,,second,The number of outgoing queries per second over IPv6,0,powerdns_recursor,ipv6 outqueries
powerdns.recursor.ipv6_questions,gauge,,query,second,The number of end-user-initiated IPv6 UDP queries with the RD bit set,0,powerdns_recursor,ipv6 questions
powerdns.recursor.nxdomain_answers,gauge,,response,second,The number of NXDOMAIN answers per second,0,powerdns_recursor,nxdomain answers
powerdns.recursor.max_mthread_stack,gauge,,,,The maximum amount of thread stack ever used,0,powerdns_recursor,max mthread stack
powerdns.recursor.outgoing_timeouts,gauge,,timeout,second,The number of outgoing UDP query timeouts per second,0,powerdns_recursor,outgoing timeouts
powerdns.recursor.over_capacity_drops,gauge,,query,second,The number of questions per second dropped due to having reached concurrent query limit,-1,powerdns_recursor,over capacity drops
powerdns.recursor.packetcache_hits,gauge,,hit,second,The number of packet cache hits per second,0,powerdns_recursor,packetcache hits
powerdns.recursor.packetcache_misses,gauge,,miss,second,The number of packet cache misses per second,0,powerdns_recursor,packetcache misses
powerdns.recursor.policy_drops,gauge,,packet,second,The number of packets dropped per second because of Lua policy decision,0,powerdns_recursor,policy drops
powerdns.recursor.qa_latency,gauge,,microsecond,,The average latency in microseconds exponentially weighted over past 'latency-statistic-size' packets,0,powerdns_recursor,qa latency
powerdns.recursor.server_parse_errors,gauge,,error,second,The number of server replied packets per second that could not be parsed,0,powerdns_recursor,server parse errors
powerdns.recursor.servfail_answers,gauge,,response,second,The number of SERVFAIL answers per second,0,powerdns_recursor,servfail answers
powerdns.recursor.spoof_prevents,gauge,,,,The number of times per second PowerDNS considers itself spoofed and drops data,0,powerdns_recursor,prevented spoofs
powerdns.recursor.sys_msec,gauge,,millisecond,,The number of CPU milliseconds spent in 'system' mode,0,powerdns_recursor,sys msec
powerdns.recursor.tcp_client_overflow,gauge,,query,second,The number of outgoing queries dropped per second because of 'dont query' setting,0,powerdns_recursor,tcp client overflow
powerdns.recursor.tcp_clients,gauge,,,,The number of active TCP/IP clients per second,0,powerdns_recursor,tcp clients
powerdns.recursor.tcp_outqueries,gauge,,operation,second,The number of outgoing TCP queries per second,0,powerdns_recursor,tcp outqueries
powerdns.recursor.throttled_out,gauge,,operation,second,The number of throttled outgoing UDP queries per second,0,powerdns_recursor,throttled out
powerdns.recursor.unauthorized_tcp,gauge,,operation,second,The number of TCP questions denied per second because of allow-from restrictions,0,powerdns_recursor,unauth tcp
powerdns.recursor.unauthorized_udp,gauge,,operation,second,The number of UDP questions denied per second because of allow-from restrictions,0,powerdns_recursor,unauth udp
