metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
rabbitmq.alarms.file_descriptor_limit,gauge,,,,[OpenMetrics] is 1 if file descriptor limit alarm is in effect,0,rabbitmq,file descriptor limit,
rabbitmq.alarms.free_disk_space.watermark,gauge,,,,[OpenMetrics] is 1 if free disk space watermark alarm is in effect,0,rabbitmq,free disk space watermark,
rabbitmq.alarms.memory_used_watermark,gauge,,,,[OpenMetrics] is 1 if VM memory watermark alarm is in effect,0,rabbitmq,memory used watermark,
rabbitmq.auth_attempts.count,count,,,,[OpenMetrics] Total number of authentication attempts,0,rabbitmq,auth attempts,
rabbitmq.auth_attempts.failed.count,count,,,,[OpenMetrics] Total number of failed authentication attempts,0,rabbitmq,auth attempts failed,
rabbitmq.auth_attempts.succeeded.count,count,,,,[OpenMetrics] Total number of successful authentication attempts,0,rabbitmq,auth attempts succeeded,
rabbitmq.build_info,gauge,,,,[OpenMetrics] RabbitMQ & Erlang/OTP version info,0,rabbitmq,build info,
rabbitmq.channel.acks_uncommitted,gauge,,,,[OpenMetrics] Message acknowledgements in a transaction not yet committed,0,rabbitmq,acks uncommitted,
rabbitmq.channel.consumers,gauge,,,,[OpenMetrics] Consumers on a channel,0,rabbitmq,channel consumers,
rabbitmq.channel.get.ack.count,count,,,,[OpenMetrics] Total number of messages fetched with basic.get in manual acknowledgement mode,0,rabbitmq,channel get ack,
rabbitmq.channel.get.count,count,,message,,[OpenMetrics] Total number of messages fetched with basic.get in automatic acknowledgement mode,0,rabbitmq,channel get,
rabbitmq.channel.get.empty.count,count,,,,[OpenMetrics] Total number of times basic.get operations fetched no message,0,rabbitmq,channel get empty,
rabbitmq.channel.messages.acked.count,count,,message,,[OpenMetrics] Total number of messages acknowledged by consumers,0,rabbitmq,channel messages acked,
rabbitmq.channel.messages.confirmed.count,count,,message,,[OpenMetrics] Total number of messages published into an exchange and confirmed on the channel,0,rabbitmq,channel messages confirmed,
rabbitmq.channel.messages.delivered.ack.count,count,,message,,[OpenMetrics] Total number of messages delivered to consumers in manual acknowledgement mode,0,rabbitmq,channel messages delivered ack,
rabbitmq.channel.messages.delivered.count,count,,message,,[OpenMetrics] Total number of messages delivered to consumers in automatic acknowledgement mode,0,rabbitmq,channel messages delivered total,
rabbitmq.channel.messages.published.count,count,,message,,[OpenMetrics] Total number of messages published into an exchange on a channel,0,rabbitmq,channel messages published,
rabbitmq.channel.messages.redelivered.count,count,,message,,[OpenMetrics] Total number of messages redelivered to consumers,0,rabbitmq,channel messages redelivered total,
rabbitmq.channel.messages.unacked,gauge,,message,,[OpenMetrics] Delivered but not yet acknowledged messages,0,rabbitmq,channel messages unacked,
rabbitmq.channel.messages.uncommitted,gauge,,message,,[OpenMetrics] Messages received in a transaction but not yet committed,0,rabbitmq,channel messages uncommitted,
rabbitmq.channel.messages.unconfirmed,gauge,,message,,[OpenMetrics] Published but not yet confirmed messages,0,rabbitmq,channel messages unconfirmed,
rabbitmq.channel.messages.unroutable.dropped.count,count,,message,,[OpenMetrics] Total number of messages published as non-mandatory into an exchange and dropped as unroutable,0,rabbitmq,channel messages unroutable dropped,
rabbitmq.channel.messages.unroutable.returned.count,count,,message,,[OpenMetrics] Total number of messages published as mandatory into an exchange and returned to the publisher as unroutable,0,rabbitmq,channel messages unroutable returned,
rabbitmq.channel.prefetch,gauge,,message,,[OpenMetrics] Total limit of unacknowledged messages for all consumers on a channel,0,rabbitmq,channel prefetch,
rabbitmq.channel.process_reductions.count,count,,,,[OpenMetrics] Total number of channel process reductions,0,rabbitmq,process reductions,
rabbitmq.channels,gauge,,,,[OpenMetrics] Channels currently open,0,rabbitmq,channels,
rabbitmq.channels.closed.count,count,,,,[OpenMetrics] Total number of channels closed,0,rabbitmq,channels closed,
rabbitmq.channels.opened.count,count,,,,[OpenMetrics] Total number of channels opened,0,rabbitmq,channels opened,
rabbitmq.cluster.exchange_bindings,gauge,,,,[OpenMetrics] Number of bindings for an exchange. This value is cluster-wide.,0,rabbitmq,cluster exchange bindings,
rabbitmq.cluster.exchange_name,gauge,,,,[OpenMetrics] Enumerates exchanges without any additional info. This value is cluster-wide. A cheaper alternative to `exchange_bindings`,0,rabbitmq,cluster exchange bindings,
rabbitmq.cluster.vhost_status,gauge,,,,[OpenMetrics] Whether a given vhost is running,0,rabbitmq,cluster vhost status,
rabbitmq.connection.channels,gauge,,,,[OpenMetrics] Channels on a connection,0,rabbitmq,connection channels,
rabbitmq.connection.incoming_bytes.count,count,,byte,,[OpenMetrics] Total number of bytes received on a connection,0,rabbitmq,incoming bytes,
rabbitmq.connection.incoming_packets.count,count,,packet,,[OpenMetrics] Total number of packets received on a connection,0,rabbitmq,incoming packets,
rabbitmq.connection.outgoing_bytes.count,count,,byte,,[OpenMetrics] Total number of bytes sent on a connection,0,rabbitmq,outgoing bytes,
rabbitmq.connection.outgoing_packets.count,count,,packet,,[OpenMetrics] Total number of packets sent on a connection,0,rabbitmq,outgoing packets,
rabbitmq.connection.pending_packets,gauge,,packet,,[OpenMetrics] Number of packets waiting to be sent on a connection,0,rabbitmq,pending packets,
rabbitmq.connection.process_reductions.count,count,,,,[OpenMetrics] Total number of connection process reductions,0,rabbitmq,process reductions,
rabbitmq.connections,gauge,,connection,,"[OpenMetrics, Management CLI] Number of current connections to a given rabbitmq vhost, tagged 'rabbitmq_vhost:<vhost_name>' Connections currently open",0,rabbitmq,connections,
rabbitmq.connections.closed.count,count,,,,[OpenMetrics] Total number of connections closed or terminated,0,rabbitmq,connections closed,
rabbitmq.connections.opened.count,count,,,,[OpenMetrics] Total number of connections opened,0,rabbitmq,connections opened,
rabbitmq.connections.state,gauge,,connection,,Number of connections in the specified connection state,0,rabbitmq,connection_state,
rabbitmq.consumer_prefetch,gauge,,,,[OpenMetrics] Limit of unacknowledged messages for each consumer,0,rabbitmq,consumer prefetch,
rabbitmq.consumers,gauge,,,,[OpenMetrics] Consumers currently connected,0,rabbitmq,consumers,
rabbitmq.disk_space.available_bytes,gauge,,byte,,[OpenMetrics] Disk space available in bytes,0,rabbitmq,available bytes,
rabbitmq.disk_space.available_limit_bytes,gauge,,byte,,[OpenMetrics] Free disk space low watermark in bytes,0,rabbitmq,available limit bytes,
rabbitmq.erlang.gc.reclaimed_bytes.count,count,,byte,,[OpenMetrics] Total number of bytes of memory reclaimed by Erlang garbage collector,0,rabbitmq,reclaimed bytes,
rabbitmq.erlang.gc.runs.count,count,,,,[OpenMetrics] Total number of Erlang garbage collector runs,0,rabbitmq,erlang gc runs,
rabbitmq.erlang.mnesia.committed_transactions.count,count,,transaction,,[OpenMetrics] Number of committed transactions.,0,rabbitmq,committed transactions,
rabbitmq.erlang.mnesia.failed_transactions.count,count,,transaction,,[OpenMetrics] Number of failed (i.e. aborted) transactions.,0,rabbitmq,failed transactions,
rabbitmq.erlang.mnesia.held_locks,gauge,,,,[OpenMetrics] Number of held locks.,0,rabbitmq,held locks,
rabbitmq.erlang.mnesia.lock_queue,gauge,,transaction,,[OpenMetrics] Number of transactions waiting for a lock.,0,rabbitmq,lock queue,
rabbitmq.erlang.mnesia.logged_transactions.count,count,,transaction,,[OpenMetrics] Number of transactions logged.,0,rabbitmq,logged transactions,
rabbitmq.erlang.mnesia.memory_usage_bytes,gauge,,byte,,[OpenMetrics] Total number of bytes allocated by all mnesia tables,0,rabbitmq,memory usage bytes,
