metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
redis.acl.denied.auth,gauge,,,,Number of authentication failures,-1,redis,acl denied auth,,
redis.acl.denied.channel,gauge,,,,Number of commands rejected because of access denied to a channel,-1,redis,acl denied channel,,
redis.acl.denied.cmd,gauge,,,,Number of commands rejected because of access denied to the command,-1,redis,acl denied cmd,,
redis.acl.denied.key,gauge,,,,Number of commands rejected because of access denied to a key,-1,redis,acl denied key,,
redis.active_defrag.hits,gauge,,operation,,Number of value reallocations performed by the active defragmentation process.,1,redis,active defrag hits,,
redis.active_defrag.key_hits,gauge,,key,,Number of keys that were actively defragmented.,1,redis,active defrag key hits,,
redis.active_defrag.key_misses,gauge,,key,,Number of keys that were skipped by.,1,redis,active defrag key misses,,
redis.active_defrag.misses,gauge,,operation,,Number of aborted value reallocations started by the active defragmentation process.,1,redis,active defrag misses,,
redis.active_defrag.running,gauge,,,,Whether active defragmentation is running or not.,0,redis,active defrag running,,
redis.allocator.active,gauge,,byte,,"Total bytes in the allocator active pages, this includes external-fragmentation",0,redis,allocator active,,
redis.allocator.allocated,gauge,,byte,,"Total bytes allocated form the allocator, including internal-fragmentation. Normally the same as `redis.mem.used`.",0,redis,allocator allocated,,
redis.allocator.debug.active_lua,gauge,,byte,,"Total bytes in the allocator active pages specifically for Lua, including external-fragmentation.",0,redis,allocator active lua,,
redis.allocator.debug.allocated_lua,gauge,,byte,,"Total bytes allocated from the allocator specifically for Lua, including internal-fragmentation.",0,redis,allocator allocated lua,,
redis.allocator.debug.frag_bytes_lua,gauge,,byte,,Delta between `redis.allocator.debug.active_lua` and `redis.allocator.debug.allocated_lua`.,0,redis,allocator frag bytes lua,,
redis.allocator.debug.resident_lua,gauge,,byte,,"Total bytes resident (RSS) in the allocator specifically for Lua. This includes pages that can be released to the OS (by `MEMORY PURGE`, or just waiting).",0,redis,allocator resident lua,,
redis.allocator.frag_ratio,gauge,,byte,,Ratio between `redis.allocator.active` and `redis.allocator.allocated`. This is the true (external) fragmentation metric (not `redis.mem.fragmentation_ratio`).,0,redis,allocator frag ratio,,
redis.allocator.muzzy,gauge,,byte,,"Total bytes of 'muzzy' memory (RSS) in the allocator. Muzzy memory is memory that has been freed, but not yet fully returned to the operating system. It can be reused immediately when needed or reclaimed by the OS when system pressure increases.",0,redis,,,
redis.allocator.resident,gauge,,,,"Total byte resident (RSS) in the allocator, this includes pages that can be released to the OS (by `MEMORY PURGE`, or just waiting).",0,redis,allocator resident,,
redis.allocator.rss_bytes,gauge,,byte,,Delta between `redis.allocator.resident` and `redis.allocator.active`,0,redis,allocator rss bytes,,
redis.allocator.rss_ratio,gauge,,,,Ratio between `redis.allocator.resident` and `redis.allocator.active`. This usually indicates pages that the allocator can and probably will soon release back to the OS.,0,redis,allocator rss ratio,,
redis.aof.base_size,gauge,,byte,,AOF file size on latest startup or rewrite,0,redis,,,
redis.aof.buffer_length,gauge,,byte,,Size of the AOF buffer.,0,redis,aof buf len,,
redis.aof.delayed_fsync,gauge,,,,Delayed fsync counter,0,redis,aof delayed fsync,,
redis.aof.enabled,gauge,,,,Flag indicating AOF logging is activated,0,redis,aof enabled,,
redis.aof.last_cow_size,gauge,,byte,,The size in bytes of copy-on-write memory during,0,redis,aof last cow size,,
redis.aof.last_rewrite_time,gauge,,second,,Duration of the last AOF rewrite.,0,redis,last aof rewrite time,,
redis.aof.loading_eta_seconds,gauge,,second,,The estimated amount of time left to load.,0,redis,aof loading time left,,
redis.aof.loading_loaded_bytes,gauge,,byte,,The amount of bytes to load.,0,redis,aof total bytes loaded,,
redis.aof.loading_loaded_perc,gauge,,percent,,The percent loaded.,0,redis,aof loaded percent,,
redis.aof.loading_total_bytes,gauge,,byte,,The total amount of bytes already loaded.,0,redis,aof total bytes to load,,
redis.aof.pending_bio_fsync,gauge,,,,Number of fsync pending jobs in background I/O,0,redis,aof pending bio fsync,,
redis.aof.pending_rewrite,gauge,,,,Flag indicating an AOF rewrite operation,0,redis,aof pending rewrite,,
redis.aof.rewrite,gauge,,,,Flag indicating a AOF rewrite operation is on-going.,0,redis,aof rewrite,,
redis.aof.rewrite.buffer_length,gauge,,byte,,Size of the AOF rewrite buffer. Note this field was removed in Redis 7.0,0,redis,aof rewrite buff len,,
redis.aof.rewrite.current_time_sec,gauge,,second,,Duration of the on-going AOF rewrite,-1,redis,aof current rewrite time,,
redis.aof.rewrite.scheduled,gauge,,,,Flag indicating an AOF rewrite operation,0,redis,,,
redis.aof.rewrites,gauge,,,,Number of AOF rewrites performed since startup,0,redis,,,
redis.aof.size,gauge,,byte,,AOF current file size (redis.aof.size).,0,redis,aof size,,
redis.clients.biggest_input_buf,gauge,,,,The biggest input buffer among current client connections [v3 & v4].,0,redis,biggest input buf,,
redis.clients.blocked,gauge,,connection,,The number of connections waiting on a blocking call.,0,redis,clients blocked,memory,
redis.clients.evicted,gauge,,,,Number of evicted clients due to `maxmemory-clients` limit,-1,redis,,,
redis.clients.longest_output_list,gauge,,,,The longest output list among current client connections [v3 & v4].,0,redis,long output list,,
redis.clients.output_buffer_limit_disconnections,gauge,,,,Total number of disconnections due to client reaching output buffer limit,-1,redis,,,
redis.clients.query_buffer_limit_disconnections,gauge,,,,Total number of disconnections due to client reaching query buffer limit,-1,redis,,,
redis.clients.recent_max_input_buffer,gauge,,,,The biggest input buffer among recent client connections [v5+].,0,redis,biggest input buf,,
redis.clients.recent_max_output_buffer,gauge,,,,The longest output buffer among recent client connections [v5+].,0,redis,long output list,,
redis.clients.timeout_table,gauge,,,,Number of clients in the clients timeout table,-1,redis,clients timeout table,,
redis.clients.watching,gauge,,,,Number of clients in watching mode (`WATCH`),0,redis,clients watching,,
redis.cluster.connections,gauge,,,,An approximation of the number of sockets used by the cluster's bus,0,redis,cluster connections,,
redis.cluster.enabled,gauge,,,,Indicate Redis cluster is enabled,0,redis,cluster enabled,,
redis.command.calls,gauge,,,,"The number of times a redis command has been called, tagged by 'command', e.g. 'command:append'. Enable in Agent's redisdb.yaml with the command_stats option.",0,redis,cmd calls,,
redis.command.usec_per_call,gauge,,microsecond,,"The CPU time consumed per redis command call, tagged by 'command', e.g. 'command:append'. Enable in Agent's redisdb.yaml with the command_stats option.",0,redis,usec per cmd,,
redis.commands.total_processed,gauge,,,,Total number of commands processed by the server,0,redis,cmds total,,
redis.cow.current_peak,gauge,,byte,,The peak size in bytes of copy-on-write memory,0,redis,cow peak,,
redis.cow.current_size,gauge,,byte,,The size in bytes of copy-on-write memory,0,redis,cow size,,
redis.cow.current_size_age,gauge,,second,,"The age, in seconds, of the `redis.cow.current_size` value.",0,redis,cow size age,,
redis.cpu.sys,gauge,,,,System CPU consumed by the Redis server.,-1,redis,cpu sys,cpu,
redis.cpu.sys_children,gauge,,,,System CPU consumed by the background processes.,-1,redis,cpu sys children,,
redis.cpu.sys_main_thread,gauge,,,,System CPU consumed by the Redis server main thread [v7+].,-1,redis,cpu sys main thread,,
redis.cpu.user,gauge,,,,User CPU consumed by the Redis server.,-1,redis,cpu user,,
redis.cpu.user_children,gauge,,,,User CPU consumed by the background processes.,-1,redis,cpu user children,,
redis.cpu.user_main_thread,gauge,,,,User CPU consumed by the Redis server main thread [v7+].,-1,redis,cpu user main thread,,
redis.defrag.current_active_time,gauge,,millisecond,,"The time passed since memory fragmentation last was over the limit, in milliseconds",1,redis,defrag active time,,
redis.defrag.total_active_time,gauge,,millisecond,,"Total time memory fragmentation was over the limit, in milliseconds",-1,redis,defrag total time,,
redis.errors.total_replies,gauge,,,,"Total number of issued error replies, that is the sum of rejected commands (errors prior command execution) and failed commands (errors within the command execution)",-1,redis,err replies,,
redis.errors.unexpected_replies,gauge,,,,"Number of unexpected error replies, that are types of errors from an AOF load or replication",-1,redis,err unexpected,,
redis.eventloop.cmd_per_cycle_max,gauge,,,,The maximal number of commands processed in a single eventloop cycle,1,redis,evloop max cmds,,
redis.eventloop.cycles,gauge,,,,Total number of eventloop cycles,0,redis,evloop cycles,,
redis.eventloop.duration_aof_sum,gauge,,microsecond,,Total time spent on flushing AOF in eventloop in microseconds.,-1,redis,evloop aof time,,
redis.eventloop.duration_cmd_sum,gauge,,microsecond,,Total time spent on executing commands in microseconds,-1,redis,evloop cmd time,,
redis.eventloop.duration_cron_sum,gauge,,microsecond,,"Total time consumption of cron in microseconds (including serverCron and beforeSleep, but excluding IO and AOF flushing).",-1,redis,evloop cron time,,
redis.eventloop.duration_max,gauge,,microsecond,,The maximal time spent in a single eventloop cycle in microseconds.,-1,redis,evloop max time,,
redis.eventloop.duration_sum,gauge,,microsecond,,Total time spent in the eventloop in microseconds (including I/O and command processing),-1,redis,evloop total time,,
redis.eventloop.instantaneous_cycles_per_sec,gauge,,,,Number of eventloop cycles per second,1,redis,evloop cycles/sec,,
redis.eventloop.instantaneous_duration_usec,gauge,,microsecond,,Average time spent in a single eventloop cycle in microseconds,-1,redis,evloop avg time,,
redis.eviction.current_exceeded_time,gauge,,millisecond,,"The time passed since `redis.mem.used` last rose above `redis.mem.maxmemory`, in milliseconds",1,redis,evict cur time,,
