metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
riakcs.block_get.latency_mean,gauge,,microsecond,,Mean latency of BLOCK GET operations performed,-1,riakcs,block get latency
riakcs.block_put.latency_mean,gauge,,microsecond,,Mean latency of BLOCK PUT operations performed,-1,riakcs,block put latency
riakcs.block_delete.latency_mean,gauge,,microsecond,,Mean latency of BLOCK DELETE operations performed,-1,riakcs,block delete latency
riakcs.object_get.latency_mean,gauge,,microsecond,,Mean latency of GET operations performed,-1,riakcs,get latency
riakcs.object_put.latency_mean,gauge,,microsecond,,Mean latency of PUT operations performed,-1,riakcs,put latency
riakcs.object_delete.latency_mean,gauge,,microsecond,,Mean latency of DELETE operations performed,-1,riakcs,delete latency
riakcs.service_get_buckets.latency_mean,gauge,,microsecond,,Mean latency of GET BUCKETS operations performed,-1,riakcs,get buckets latency
riakcs.bucket_delete.latency_mean,gauge,,microsecond,,Mean latency of BUCKET DELETE operations performed,-1,riakcs,bucket delete latency
riakcs.bucket_create.latency_mean,gauge,,microsecond,,Mean latency of BUCKET CREATE operations performed,-1,riakcs,bucket create latency
riakcs.block_get.meter_rate,gauge,,operation,second,Rate of BLOCK GET operations performed,0,riakcs,block gets
riakcs.block_put.meter_rate,gauge,,operation,second,Rate of BLOCK PUT operations performed,0,riakcs,block puts
riakcs.block_delete.meter_rate,gauge,,operation,second,Rate of BLOCK DELETE operations performed,0,riakcs,block deletes
riakcs.object_get.meter_rate,gauge,,operation,second,Rate of GET operations performed,0,riakcs,gets
riakcs.object_put.meter_rate,gauge,,operation,second,Rate of PUT operations performed,0,riakcs,puts
riakcs.object_delete.meter_rate,gauge,,operation,second,Rate of DELETE operations performed,0,riakcs,deletes
riakcs.service_get_buckets.meter_rate,gauge,,operation,second,Rate of GET BUCKETS operations performed,0,riakcs,get buckets
riakcs.bucket_delete.meter_rate,gauge,,operation,second,Rate of BUCKET DELETE operations performed,0,riakcs,bucket deletes
riakcs.bucket_create.meter_rate,gauge,,operation,second,Rate of BUCKET CREATE operations performed,0,riakcs,bucket creates
