metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
sglang.cache_config_info,gauge,,,,Cache configuration information.,0,sglang,,,
sglang.cached_tokens.count,count,,token,,Total number of cached prompt tokens.,0,sglang,,,
sglang.cuda_graph.active,gauge,,,,Whether CUDA graph execution is active.,0,sglang,,,
sglang.cuda_graph.passes.count,count,,,,Total number of CUDA graph execution passes.,0,sglang,,,
sglang.decode.sequence_length_sum,gauge,,token,,Sum of sequence lengths currently being decoded.,0,sglang,,,
sglang.disaggregation.bootstrap_failures.count,count,,,,Total number of failed bootstrap requests.,0,sglang,,,
sglang.disaggregation.decode_preallocation_queue,gauge,,,,Requests waiting for decode preallocation.,0,sglang,,,
sglang.disaggregation.decode_transfer_queue,gauge,,,,Requests waiting for decode transfer.,0,sglang,,,
sglang.disaggregation.kv_transfer.allocation_milliseconds,gauge,,millisecond,,Time spent allocating memory for KV transfers.,0,sglang,,,
sglang.disaggregation.kv_transfer.bootstrap_milliseconds,gauge,,millisecond,,Time spent bootstrapping KV transfers.,0,sglang,,,
sglang.disaggregation.kv_transfer.gigabytes_per_second,gauge,,byte,second,KV cache transfer throughput.,0,sglang,,,
sglang.disaggregation.kv_transfer.latency_milliseconds,gauge,,millisecond,,KV cache transfer latency.,0,sglang,,,
sglang.disaggregation.kv_transfer.megabytes,gauge,,byte,,KV cache data transferred.,0,sglang,,,
sglang.disaggregation.prefill_bootstrap_queue,gauge,,,,Requests in the prefill bootstrap queue.,0,sglang,,,
sglang.disaggregation.prefill_inflight_queue,gauge,,,,Requests currently being prefetched.,0,sglang,,,
sglang.disaggregation.prefill_preallocation_queue,gauge,,,,Requests waiting for prefill preallocation.,0,sglang,,,
sglang.disaggregation.prefill_retries.count,count,,,,Total number of retried prefill requests.,0,sglang,,,
sglang.disaggregation.transfer_failures.count,count,,,,Total number of failed KV transfer requests.,0,sglang,,,
sglang.e2e_request_latency.seconds,gauge,,second,,End-to-end request latency (distribution).,0,sglang,,,
sglang.e2e_request_latency.seconds.count,count,,,,End-to-end request latency observation count.,0,sglang,,,
sglang.e2e_request_latency.seconds.sum,count,,second,,Sum of end-to-end request latency.,0,sglang,,,
sglang.estimated_flops_per_gpu.count,count,,operation,,Estimated floating-point operations per GPU.,0,sglang,,,
sglang.estimated_read_bytes_per_gpu.count,count,,byte,,Estimated bytes read per GPU.,0,sglang,,,
sglang.estimated_write_bytes_per_gpu.count,count,,byte,,Estimated bytes written per GPU.,0,sglang,,,
sglang.forward_execution.seconds.count,count,,second,,Total model forward execution time.,0,sglang,,,
sglang.generation_throughput.tokens_per_second,gauge,,token,second,Generation throughput.,0,sglang,,,
sglang.generation_tokens.count,count,,token,,Total number of generation tokens processed.,0,sglang,,,
sglang.http.requests.active,gauge,,,,Currently active HTTP requests.,0,sglang,,,
sglang.http.requests.count,count,,request,,Total number of HTTP requests.,0,sglang,,,
sglang.http.responses.count,count,,response,,Total number of HTTP responses.,0,sglang,,,
sglang.inter_token_latency.seconds,gauge,,second,,Inter-token latency (distribution).,0,sglang,,,
sglang.inter_token_latency.seconds.count,count,,,,Inter-token latency observation count.,0,sglang,,,
sglang.inter_token_latency.seconds.sum,count,,second,,Sum of inter-token latency.,0,sglang,,,
sglang.kv_cache.full_attention_usage,gauge,,fraction,,Full-attention KV cache usage as a fraction.,0,sglang,,,
sglang.kv_cache.hit_rate,gauge,,fraction,,Prefix KV cache hit rate.,0,sglang,,,
sglang.kv_cache.max_tokens,gauge,,token,,Maximum number of tokens in the KV cache pool.,0,sglang,,,
sglang.kv_cache.pending_preallocation_usage,gauge,,fraction,,KV cache usage reserved by pending preallocations.,0,sglang,,,
sglang.kv_cache.swa_usage,gauge,,fraction,,Sliding-window-attention KV cache usage as a fraction.,0,sglang,,,
sglang.kv_cache.usage,gauge,,fraction,,Overall KV cache usage as a fraction.,0,sglang,,,
sglang.kv_cache.used_tokens,gauge,,token,,Number of tokens currently stored in the KV cache.,0,sglang,,,
sglang.mamba_pool.usage,gauge,,fraction,,Mamba state pool usage as a fraction.,0,sglang,,,
sglang.num_requests.grammar_waiting,gauge,,request,,Requests waiting for grammar compilation.,0,sglang,,,
sglang.num_requests.offline_batch_running,gauge,,request,,Running low-priority offline batch requests.,0,sglang,,,
sglang.num_requests.running,gauge,,request,,Number of running inference requests.,0,sglang,,,
sglang.num_requests.waiting,gauge,,request,,Number of inference requests in the waiting queue.,0,sglang,,,
sglang.process.cpu_seconds.count,count,,second,,Total CPU time consumed by the SGLang process.,0,sglang,,,
sglang.process.max_fds,gauge,,,,Maximum number of file descriptors.,0,sglang,,,
sglang.process.open_fds,gauge,,,,Number of open file descriptors.,0,sglang,,,
sglang.process.resident_memory_bytes,gauge,,byte,,Resident memory used by the SGLang process.,0,sglang,,,
sglang.process.start_time_seconds,gauge,,second,,Unix timestamp when the SGLang process started.,0,sglang,,,
sglang.process.virtual_memory_bytes,gauge,,byte,,Virtual memory used by the SGLang process.,0,sglang,,,
sglang.prompt_tokens.count,count,,token,,Total number of prompt tokens processed.,0,sglang,,,
sglang.python.gc.collections.count,count,,,,Python garbage collection runs.,0,sglang,,,
sglang.python.gc.objects.collected.count,count,,object,,Python objects collected by garbage collection.,0,sglang,,,
sglang.python.gc.objects.uncollectable.count,count,,object,,Python objects that garbage collection could not collect.,0,sglang,,,
sglang.python.info,gauge,,,,Python runtime information.,0,sglang,,,
sglang.queue_time.seconds,gauge,,second,,Time requests spend waiting in a queue (distribution).,0,sglang,,,
sglang.queue_time.seconds.count,count,,,,Request queue-time observation count.,0,sglang,,,
sglang.queue_time.seconds.sum,count,,second,,Sum of request queue time.,0,sglang,,,
sglang.realtime_tokens.count,count,,token,,Tokens processed in real time.,0,sglang,,,
sglang.request.generation_tokens,gauge,,token,,Generation tokens per request (distribution).,0,sglang,,,
sglang.request.generation_tokens.count,count,,,,Generation-token histogram observation count.,0,sglang,,,
sglang.request.generation_tokens.sum,count,,token,,Sum of generation tokens observed per request.,0,sglang,,,
sglang.request.prompt_tokens,gauge,,token,,Prompt tokens per request (distribution).,0,sglang,,,
sglang.request.prompt_tokens.count,count,,,,Prompt-token histogram observation count.,0,sglang,,,
sglang.request.prompt_tokens.sum,count,,token,,Sum of prompt tokens observed per request.,0,sglang,,,
sglang.request.stage_latency.seconds,gauge,,second,,Per-stage request latency (distribution).,0,sglang,,,
sglang.request.stage_latency.seconds.count,count,,,,Per-stage request latency observation count.,0,sglang,,,
sglang.request.stage_latency.seconds.sum,count,,second,,Sum of per-stage request latency.,0,sglang,,,
sglang.request.uncached_prompt_tokens,gauge,,token,,Uncached prompt tokens per request (distribution).,0,sglang,,,
sglang.request.uncached_prompt_tokens.count,count,,,,Uncached prompt-token histogram observation count.,0,sglang,,,
sglang.request.uncached_prompt_tokens.sum,count,,token,,Sum of uncached prompt tokens observed per request.,0,sglang,,,
sglang.requests.aborted.count,count,,request,,Total number of aborted requests.,0,sglang,,,
sglang.requests.count,count,,request,,Total number of inference requests processed.,0,sglang,,,
sglang.requests.paused,gauge,,request,,Number of paused requests.,0,sglang,,,
sglang.requests.retracted,gauge,,request,,Number of currently retracted requests.,0,sglang,,,
sglang.requests.retracted_total.count,count,,request,,Total number of retracted requests.,0,sglang,,,
sglang.retracted_input_tokens.count,count,,token,,Input tokens belonging to retracted requests.,0,sglang,,,
sglang.retracted_output_tokens.count,count,,token,,Output tokens belonging to retracted requests.,0,sglang,,,
sglang.routing_keys.active,gauge,,,,Number of routing keys with active requests.,0,sglang,,,
sglang.scheduler.idle.seconds.count,count,,second,,Total time the scheduler spent idle.,0,sglang,,,
sglang.scheduler.new_token_ratio,gauge,,fraction,,Ratio used by the scheduler when allocating new tokens.,0,sglang,,,
sglang.scheduler.process_cpu.seconds.count,count,,second,,Total scheduler CPU processing time.,0,sglang,,,
sglang.scheduler.utilization,gauge,,fraction,,Scheduler utilization as a fraction.,0,sglang,,,
sglang.spec_decode.accept_length,gauge,,token,,Average speculative decoding acceptance length.,0,sglang,,,
sglang.spec_decode.accept_rate,gauge,,fraction,,Average speculative decoding acceptance rate.,0,sglang,,,
sglang.spec_decode.block_accept_length,gauge,,token,,Average accepted speculative tokens per block.,0,sglang,,,
sglang.spec_decode.capture_length,gauge,,token,,Speculative decoding capture length.,0,sglang,,,
sglang.spec_decode.draft_tokens,gauge,,token,,Number of draft tokens per speculative decoding step.,0,sglang,,,
sglang.spec_decode.steps,gauge,,,,Number of speculative decoding steps.,0,sglang,,,
sglang.spec_decode.verify_calls.count,count,,,,Total speculative decoding verification calls.,0,sglang,,,
sglang.startup.cuda_graph.seconds,gauge,,second,,Time spent capturing CUDA graphs during startup.,0,sglang,,,
sglang.startup.seconds,gauge,,second,,Time taken for the SGLang engine to start.,0,sglang,,,
sglang.time_to_first_token.seconds,gauge,,second,,Time from request receipt to first generated token (distribution).,0,sglang,,,
sglang.time_to_first_token.seconds.count,count,,,,Time-to-first-token observation count.,0,sglang,,,
sglang.time_to_first_token.seconds.sum,count,,second,,Sum of time to first token.,0,sglang,,,
sglang.weight_load.seconds,gauge,,second,,Time taken to load model weights.,0,sglang,,,
