metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
silverstripe_cms.failed_login_count,gauge,,,,Number of Failed logins,0,silverstripe_cms,Failed Login Count,,
silverstripe_cms.files.count,gauge,,,,Number of Files/images available in CMS,0,silverstripe_cms,Files Count,,
silverstripe_cms.files.public_count,gauge,,,,Number of files/images that can be accessed by anyone,0,silverstripe_cms,Files Public Count,,
silverstripe_cms.files_live.count,gauge,,,,Number of files currently published,0,silverstripe_cms,Files Live Count,,
silverstripe_cms.files_live.public_count,gauge,,,,Number of files published and accessible by anyone,0,silverstripe_cms,Files Live Public Count,,
silverstripe_cms.pages.broken_content,gauge,,,,Number of pages that have broken content(link/file),0,silverstripe_cms,Pages Broken Content,,
silverstripe_cms.pages.broken_file_count,gauge,,,,Number of pages that have broken files,0,silverstripe_cms,Pages Broken File Content,,
silverstripe_cms.pages.broken_link_count,gauge,,,,Number of pages that have broken links,0,silverstripe_cms,Pages Broken Link Count,,
silverstripe_cms.pages.count,gauge,,,,Number of pages available in CMS,0,silverstripe_cms,Pages Count,,
silverstripe_cms.pages_live.broken_content,gauge,,,,Number of published pages that have broken content(link/file),0,silverstripe_cms,Pages Live Broken Content,,
silverstripe_cms.pages_live.broken_file_count,gauge,,,,Number of published pages with broken files,0,silverstripe_cms,Pages Live Broken File Count,,
silverstripe_cms.pages_live.broken_link_count,gauge,,,,Number of published pages with broken links,0,silverstripe_cms,Pages LIve Broken Link Count,,
silverstripe_cms.pages_live.count,gauge,,,,Number of published pages,0,silverstripe_cms,Pages Live Count,,
silverstripe_cms.pages_live.deleted_count,gauge,,,,Number of pages/versions deleted,0,silverstripe_cms,Pages Live Deleted Count,,
