metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
singlestore.aborted_clients,gauge,15,connection,second,The number of aborted connections caused by the client dying without closing the connection properly.,0,singlestore,aborted clients,
singlestore.aborted_connects,gauge,15,connection,second,The number of failed attempts to connect to the server.,0,singlestore,aborted connects,
singlestore.active_dedicated_admin_connections,gauge,15,connection,,Active admin connections.,0,singlestore,active dedicated admin connections,
singlestore.aggregators.average_roundtrip_latency,gauge,15,millisecond,,The average ping roundtrip latency for a given aggregator.,0,singlestore,aggregators average roundtrip latency,
singlestore.aggregators.opened_connections,gauge,15,connection,,The number of connections opened on a given aggregator.,0,singlestore,aggregators opened connections,
singlestore.auto_attach_remaining_seconds,gauge,15,second,,The time remaining until the automatic rebalance triggered by an auto-attach operation will occur. Only applies to aggregators.,0,singlestore,auto attach remaining seconds,
singlestore.average_garbage_collection_duration,gauge,15,second,,Average duration of garbage collection.,0,singlestore,average garbage collection duration,
singlestore.buffer_manager_cached_memory,gauge,15,byte,,Tracks memory that was allocated by the Buffer Manager but is now cached and not in use. Limited to 25% of maximum_memory.,0,singlestore,buffer manager cached memory,
singlestore.buffer_manager_memory,gauge,15,byte,,Tracks memory that is allocated by the Buffer Manager for SingleStore DB's built-in memory allocators.,0,singlestore,buffer manager memory,
singlestore.buffer_manager_unrecycled_memory,gauge,15,byte,,Number of buffers ready to be recycled which have not yet been reclaimed.,0,singlestore,buffer manager unrecycled memory,
singlestore.bytes_received,gauge,15,byte,second,The number of bytes received per second from all clients.,0,singlestore,bytes received,
singlestore.bytes_sent,gauge,15,byte,second,The number of bytes sent per second sent to clients.,0,singlestore,bytes sent,
singlestore.connections,gauge,15,connection,second,The number of successful or non-successful connection attempts to the server.,0,singlestore,connections,
singlestore.context_switch_misses,gauge,15,connection,second,The number of times the scheduler tried to switch connections but failed.,0,singlestore,context switch misses,
singlestore.context_switches,gauge,15,connection,second,The number of times any thread has switched connections because it deemed a connection idle.,0,singlestore,context switches,
singlestore.cpu.cores_count,gauge,15,core,,The number of cores on host.,0,singlestore,cpu cores count,
singlestore.cpu.guest,gauge,15,percent,,Time spent running a virtual CPU for guest operating systems under the control of the Linux kernel.,0,singlestore,cpu guest,
singlestore.cpu.guest_nice,gauge,15,percent,,Time spent running a nice guest (virtual CPU for guest operating systems under the control of the Linux kernel).,0,singlestore,cpu guest nice,
singlestore.cpu.idle,gauge,15,percent,,Time spent in idle.,0,singlestore,cpu idle,
singlestore.cpu.iowait,gauge,15,percent,,Time spent waiting for I/O.,0,singlestore,cpu iowait,
singlestore.cpu.irq,gauge,15,percent,,Time spent on servicing interrupts.,0,singlestore,cpu irq,
singlestore.cpu.memsql_system,gauge,15,percent,,"CPU usage by the SingleStore DB process, in kernel mode.",0,singlestore,cpu memsql system,
singlestore.cpu.memsql_total,gauge,15,percent,,CPU usage by the SingleStore DB process.,0,singlestore,cpu memsql total,
singlestore.cpu.memsql_user,gauge,15,percent,,"CPU usage by the SingleStore DB process, in user mode.",0,singlestore,cpu memsql user,
singlestore.cpu.nice,gauge,15,percent,,CPU usage in nice mode.,0,singlestore,cpu nice,
singlestore.cpu.soft_irq,gauge,15,percent,,Time spent on servicing soft interrupts.,0,singlestore,cpu soft irq,
singlestore.cpu.steal,gauge,15,percent,,"Stolen time, which is the time spent in other operating systems when running in a virtualized environment.",0,singlestore,cpu steal,
singlestore.cpu.system,gauge,15,percent,,CPU usage in kernel mode,0,singlestore,cpu system,
singlestore.cpu.total_used,gauge,15,percent,,"CPU usage in percent. It refers to the whole machine, and not to SingleStore DB cgroup.",0,singlestore,cpu total used,
singlestore.cpu.user,gauge,15,percent,,CPU usage in user mode.,0,singlestore,cpu user,
singlestore.disk.free,gauge,15,byte,,The remaining disk space available.,0,singlestore,disk free,
singlestore.disk.read_bytes,gauge,15,byte,second,Number of bytes read per second from the disk across all mount points.,0,singlestore,disk read bytes,
singlestore.disk.total,gauge,15,byte,,The total size of the disk.,0,singlestore,disk total,
singlestore.disk.used,gauge,15,byte,,The amount of bytes used by the disk.,0,singlestore,disk used,
singlestore.disk.write_bytes,gauge,15,byte,second,Number of bytes written per second to the disk across all mount points.,0,singlestore,disk write bytes,
singlestore.disk_space_reserved_for_secondary_index,gauge,15,byte,,Disk space reserver for secondary index usage.,0,singlestore,disk space reserved for secondary index,
singlestore.execution_time_of_reads_pct,gauge,15,percent,,Wall-time percentage of all read queries.,0,singlestore,execution time of reads pct,
singlestore.execution_time_of_write_pct,gauge,15,percent,,Wall-time percentage of all write queries.,0,singlestore,execution time of write pct,
singlestore.failed_read_queries,gauge,15,query,second,Number of read queries per second which have failed.,0,singlestore,failed read queries,
singlestore.failed_write_queries,gauge,15,query,second,Number of write queries per second which have failed.,0,singlestore,failed write queries,
singlestore.free_io_pool_memory,gauge,15,byte,,"Size of cached free buffers, which tracks how much memory in the IO pool is currently not in use. The maximum limit applies to each pool per partition on a node and can shrink if memory is reused. This variable can only be used to view the unused IO pool memory.",0,singlestore,free io pool memory,
