metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
sonarqube.server.async_execution.largest_worker_count,gauge,,,,,0,sonarqube,
sonarqube.server.async_execution.queue_size,gauge,,,,,0,sonarqube,
sonarqube.server.async_execution.worker_count,gauge,,,,,0,sonarqube,
sonarqube.server.compute_engine_tasks.error_count,count,,error,,Number of Background Tasks which failed since the last restart of SonarQube,0,sonarqube,
sonarqube.server.compute_engine_tasks.in_progress_count,gauge,,,,"Number of Background Tasks currently under processing. Its value is either 1 or 0, since SonarQube can process only one task at a time.",0,sonarqube,
sonarqube.server.compute_engine_tasks.pending_count,count,,,,Number of Background Tasks waiting to be processed since the last restart of SonarQube,0,sonarqube,
sonarqube.server.compute_engine_tasks.pending_time,gauge,,millisecond,,"Pending time (in ms) of the oldest Background Task waiting to be processed. This measure, together with PendingCount, helps you know if analyses are stacking and taking too long to start processing. This helps you evaluate if it might be worth configuring additional Compute Engine workers (Enterprise Edition) or additional nodes (Data Center Edition) to improve SonarQube performance.",0,sonarqube,
sonarqube.server.compute_engine_tasks.processing_time,gauge,,,,"Measure the time spent to process Background Tasks since the last restart. The value will always increase. This measure is powerful when combined with SuccessCount and ErrorCount measures to get the average time to handle a Background Task, or when used to understand how much time the server is spending during a day to handle Background Tasks. It gives you an indication of the load on your server.",0,sonarqube,
sonarqube.server.compute_engine_tasks.success_count,count,,,,Number of Background Tasks successfully processed since the last restart of SonarQube,0,sonarqube,
sonarqube.server.compute_engine_tasks.worker_count,gauge,,,,Number of Background Tasks that can be processed at the same time,0,sonarqube,
sonarqube.server.database.pool_active_connections,gauge,,connection,,Number of active database connections,0,sonarqube,
sonarqube.server.database.pool_idle_connections,gauge,,connection,,Number of database connections waiting to be used,0,sonarqube,
sonarqube.server.database.pool_initial_size,gauge,,connection,,Initial size of the database connections pool,0,sonarqube,
sonarqube.server.database.pool_min_idle_connections,gauge,,connection,,,0,sonarqube,
sonarqube.server.database.pool_max_active_connections,gauge,,connection,,Maximum number of active database connections,0,sonarqube,
sonarqube.server.database.pool_max_idle_connections,gauge,,connection,,Maximum number of database connections waiting to be used,0,sonarqube,
sonarqube.server.database.pool_max_wait_millis,gauge,,millisecond,,,0,sonarqube,
