metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
sonatype_nexus.analytics.available_cpus,gauge,,,,Available CPUs for the sonatype nexus instance,0,sonatype_nexus, Available CPUs,,
sonatype_nexus.analytics.blob_store.blobcount_by_type,gauge,,,,Blobstore blobs count by type,0,sonatype_nexus,Blobstore blob count by Type,,
sonatype_nexus.analytics.blob_store.count_by_type,gauge,,,,Blobstore count by type,0,sonatype_nexus,Blobstore Count by Type,,
sonatype_nexus.analytics.blob_store.size_by_type,gauge,,,,Blobstore size by type,0,sonatype_nexus,Blobstore size by type,,
sonatype_nexus.analytics.cleanup_dry_run_avg_execution_time,gauge,,,,Cleanup dry runs average execution time,0,sonatype_nexus,Cleanup Dry Runs Average Execution Time,,
sonatype_nexus.analytics.cleanup_dry_run_count,gauge,,,,Count of cleanup dry runs,0,sonatype_nexus,Cleanup Dry Runs,,
sonatype_nexus.analytics.component_total_count,gauge,,,,Count of components,0,sonatype_nexus,Count of Components,,
sonatype_nexus.analytics.downloaded_bytes_by_format,gauge,,,,Downloaded bytes by format,0,sonatype_nexus,Downloaded Bytes by Format,,
sonatype_nexus.analytics.failed_unique_user_authentication_count,gauge,,,,Count of failed unique user authentications,0,sonatype_nexus,Failed Unique User Authentication,,
sonatype_nexus.analytics.gc.g1_old_generation_count,gauge,,,,Count of jvm garbage collection (G1 old generation),0,sonatype_nexus, G1 Old Generation Count,,
sonatype_nexus.analytics.gc.g1_old_generation_time,gauge,,,,Time of jvm garbage collection (G1 old generation),0,sonatype_nexus,G1 Old Generation Time,,
sonatype_nexus.analytics.gc.g1_young_generation_count,gauge,,,,Count of jvm garbage collection (G1 young generation),0,sonatype_nexus, G1 Young Generation Count,,
sonatype_nexus.analytics.gc.g1_young_generation_time,gauge,,,,Time of jvm garbage collection (G1 young generation),0,sonatype_nexus,G1 Young Generation Time,,
sonatype_nexus.analytics.jvm.heap_memory_max,gauge,,,,Maximum jvm heap memory,0,sonatype_nexus,Maximum JVM Heap Memory,,
sonatype_nexus.analytics.jvm.heap_memory_used,gauge,,,,Used jvm heap memory,0,sonatype_nexus,Used JVM Heap Memory,,
sonatype_nexus.analytics.log4j_visualizer_non_vulnerable_daily_download_count,gauge,,,,Count of non-vulnerable daily downloads,0,sonatype_nexus,Log4j Visualizer Non Vulnerable Daily Downloads Count,,
sonatype_nexus.analytics.log4j_visualizer_vulnerable_daily_download_count,gauge,,,,Count of vulnerable daily downloads,0,sonatype_nexus,Log4j Visualizer Vulnerable Daily Download Count,,
sonatype_nexus.analytics.repository_asset_count_by_format_type,gauge,,,,Count of repository assets by format and type,0,sonatype_nexus,Asset Count by Format Type,,
sonatype_nexus.analytics.repository_count_by_format_type,gauge,,,,Count of repositories by type,0,sonatype_nexus,Repository Count by Format Type,,
sonatype_nexus.analytics.repository_total_count,gauge,,,,Total count of repositories,0,sonatype_nexus,Total Count of Repositories,,
sonatype_nexus.analytics.successful_unique_user_authentication_count,gauge,,,,Count of successful unique user authentications,0,sonatype_nexus, Successful Unique User Authentications,,
sonatype_nexus.analytics.total_memory,gauge,,,,Total memory for the sonatype nexus instance,0,sonatype_nexus, Total Memory,,
sonatype_nexus.analytics.unique_users_count,gauge,,,,Count of Unique Users,0,sonatype_nexus,Unique Users Count,,
sonatype_nexus.analytics.uploaded_bytes_by_format,gauge,,,,Uploaded bytes by the format,0,sonatype_nexus,Uploaded Bytes by Format,,
sonatype_nexus.analytics.uptime,gauge,,,,Uptime of the sonatype nexus instance,0,sonatype_nexus, Instance Uptime,,
sonatype_nexus.status.NuGet_V2_repositories_health,gauge,,,,Status of the health of the NuGet V2 repositories,0,sonatype_nexus,NuGet V2 repositories Health Status,,
sonatype_nexus.status.available_cpus_health,gauge,,,,Status of the health of the available CPUs,0,sonatype_nexus,Available CPUs Health Status,,
sonatype_nexus.status.blob_store.file_path_health,gauge,,,,Status of the health of the File Blob Stores Path,0,sonatype_nexus,File Blob Stores Path Health Status,,
sonatype_nexus.status.blob_store.quota_health,gauge,,,,Status of the health of the Blob Stores Quota,0,sonatype_nexus,Blob Store Quota Health Status,,
sonatype_nexus.status.blob_store.ready_health,gauge,,,,Status of the health of the Blob Stores Ready,0,sonatype_nexus,Blob Store Ready Health Status,,
sonatype_nexus.status.coordinate_content_selectors_health,gauge,,,,Status of the health of the Coordinate Content Selectors,0,sonatype_nexus,Coordinate Content Selecotrs Health Status,,
sonatype_nexus.status.default_admin_credentials_health,gauge,,,,Status of the health of the Default Admin Credentials,0,sonatype_nexus,Default Admin Credentials Health Status,,
sonatype_nexus.status.default_role_realm_health,gauge,,,,Status of the health of the DefaultRoleRealm,0,sonatype_nexus,Default Role Realm Health Status,,
sonatype_nexus.status.default_secret_encryption_key_health,gauge,,,,Status of the health of the Default Secret Encryption Key,0,sonatype_nexus,Default Secret Encryption Key Health Status,,
sonatype_nexus.status.file_descriptors_health,gauge,,,,Status of the health of the File Descriptors,0,sonatype_nexus,File Descriptors Health Status,,
sonatype_nexus.status.lifecycle_phase_health,gauge,,,,Status of the health of the Lifecycle Phase,0,sonatype_nexus,Lifecycle Phase Health Status,,
sonatype_nexus.status.re_encryption_required_health,gauge,,,,Status of the health of the Re-encryption required,0,sonatype_nexus,Re-encryption required Health Status,,
sonatype_nexus.status.read_only_detector_health,gauge,,,,Status of the health of the Read-Only Detector,0,sonatype_nexus,Read-only Detector Health Status,,
sonatype_nexus.status.scheduler_health,gauge,,,,Status of the health of the Scheduler,0,sonatype_nexus,Scheduler Health Status,,
sonatype_nexus.status.scripting_health,gauge,,,,Status of the health of the Scripting,0,sonatype_nexus,Scripting Health Status,,
sonatype_nexus.status.thread_deadlock_detector,gauge,,,,Status of the health of the Thread Deadlock Detector,0,sonatype_nexus,Thread Deadlock Detector Health Status,,
