metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
spark.job.count,count,,task,,Number of jobs,0,spark,jb count,
spark.job.num_tasks,count,,task,,Number of tasks in the application,0,spark,jb nm tsk,
spark.job.num_active_tasks,count,,task,,Number of active tasks in the application,0,spark,jb nm act tsk,
spark.job.num_skipped_tasks,count,,task,,Number of skipped tasks in the application,0,spark,jb nm skp tsk,
spark.job.num_failed_tasks,count,,task,,Number of failed tasks in the application,0,spark,jb nm fld tsk,
spark.job.num_completed_tasks,count,,task,,Number of completed tasks in the application,0,spark,jb nm completed tsk,
spark.job.num_active_stages,count,,stage,,Number of active stages in the application,0,spark,jb act stg,
spark.job.num_completed_stages,count,,stage,,Number of completed stages in the application,0,spark,jb nm cmp stg,
spark.job.num_skipped_stages,count,,stage,,Number of skipped stages in the application,0,spark,jb nm skp stg,
spark.job.num_failed_stages,count,,stage,,Number of failed stages in the application,0,spark,jb nm fld stg,
spark.stage.count,count,,task,,Number of stages,0,spark,stg count,
spark.stage.num_active_tasks,count,,task,,Number of active tasks in the application's stages,0,spark,stg nm act tsk,
spark.stage.num_complete_tasks,count,,task,,Number of complete tasks in the application's stages,0,spark,stg nm cmp tsk,
spark.stage.num_failed_tasks,count,,task,,Number of failed tasks in the application's stages,0,spark,stg nm fld tsk,
spark.stage.executor_run_time,count,,millisecond,,Time spent by the executor in the application's stages,0,spark,stg exe rn tm,
spark.stage.input_bytes,count,,byte,,Input bytes in the application's stages,0,spark,stg in byt,
spark.stage.input_records,count,,record,,Input records in the application's stages,0,spark,stg in rec,
spark.stage.output_bytes,count,,byte,,Output bytes in the application's stages,0,spark,stg out byt,
spark.stage.output_records,count,,record,,Output records in the application's stages,0,spark,stg out rec,
spark.stage.shuffle_read_bytes,count,,byte,,Number of bytes read during a shuffle in the application's stages,0,spark,stg shfl rd byt,
spark.stage.shuffle_read_records,count,,record,,Number of records read during a shuffle in the application's stages,0,spark,stg shfl rd rec,
spark.stage.shuffle_write_bytes,count,,byte,,Number of shuffled bytes in the application's stages,0,spark,stg shfl wrt byt,
spark.stage.shuffle_write_records,count,,record,,Number of shuffled records in the application's stages,0,spark,stg shfl wrt rec,
spark.stage.memory_bytes_spilled,count,,byte,,Number of bytes spilled to disk in the application's stages,0,spark,stg mem byt spld,
spark.stage.disk_bytes_spilled,count,,byte,,Max size on disk of the spilled bytes in the application's stages,0,spark,stg dsk byt spld,
spark.driver.rdd_blocks,count,,block,,Number of RDD blocks in the driver,0,spark,dvr rdd blk,
spark.driver.memory_used,count,,byte,,Amount of memory used in the driver,0,spark,dvr mem usd,
spark.driver.disk_used,count,,byte,,Amount of disk used in the driver,0,spark,dvr dsk usd,
spark.driver.active_tasks,count,,task,,Number of active tasks in the driver,0,spark,dvr act tsk,
spark.driver.failed_tasks,count,,task,,Number of failed tasks in the driver,0,spark,dvr fld tsk,
spark.driver.completed_tasks,count,,task,,Number of completed tasks in the driver,0,spark,dvr comp tsk,
spark.driver.total_tasks,count,,task,,Number of total tasks in the driver,0,spark,dvr tot task,
spark.driver.total_duration,count,,millisecond,,Time spent in the driver,0,spark,dvr tot dur,
spark.driver.total_input_bytes,count,,byte,,Number of input bytes in the driver,0,spark,dvr tot in byt,
spark.driver.total_shuffle_read,count,,byte,,Number of bytes read during a shuffle in the driver,0,spark,dvr tot shfl rd,
spark.driver.total_shuffle_write,count,,byte,,Number of shuffled bytes in the driver,0,spark,dvr tot shfl wrt,
spark.driver.max_memory,count,,byte,,Maximum memory used in the driver,0,spark,dvr max mem,
spark.executor.count,count,,task,,Number of executors,0,spark,exe count,
spark.executor.rdd_blocks,count,,block,,Number of persisted RDD blocks in the application's executors,0,spark,exe rdd blk,
spark.executor.memory_used,count,,byte,,Amount of memory used for cached RDDs in the application's executors,0,spark,exe mem usd,
spark.executor.max_memory,count,,byte,,Max memory across all executors working for a particular application,0,spark,exe mem max,
spark.executor.disk_used,count,,byte,,Amount of disk space used by persisted RDDs in the application's executors,0,spark,exe dsk usd,
spark.executor.active_tasks,count,,task,,Number of active tasks in the application's executors,0,spark,exe act tsk,
spark.executor.failed_tasks,count,,task,,Number of failed tasks in the application's executors,0,spark,exe fld tsk,
spark.executor.completed_tasks,count,,task,,Number of completed tasks in the application's executors,0,spark,exe comp tsk,
spark.executor.total_tasks,count,,task,,Total number of tasks in the application's executors,0,spark,exe tot tsk,
spark.executor.total_duration,count,,millisecond,,Time spent by the application's executors executing tasks,0,spark,exe tot dur,
spark.executor.total_input_bytes,count,,byte,,Total number of input bytes in the application's executors,0,spark,exe in byt,
