metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
squid.cachemgr.client_http.requests,gauge,,request,second,The number of HTTP requests received from clients,0,squid,client http reqs
squid.cachemgr.client_http.hits,gauge,,hit,second,The number of cache hits in response to client requests.,0,squid,client http hits
squid.cachemgr.client_http.errors,gauge,,error,second,The number of client transactions that resulted in an error.,-1,squid,client http errs
squid.cachemgr.client_http.kbytes_in,gauge,,kibibyte,second,The amount of traffic received from clients in their requests.,0,squid,client http kb in
squid.cachemgr.client_http.kbytes_out,gauge,,kibibyte,second,The amount of traffic sent to clients in responses.,0,squid,client http kb out
squid.cachemgr.client_http.hit_kbytes_out,gauge,,kibibyte,second,The amount of traffic sent to clients in responses that are cache hits,0,squid,client http hits kb out
squid.cachemgr.server.all.requests,gauge,,request,second,The number of requests forwarded to origin servers (or neighbor caches) for all server-side protocols.,0,squid,serv all reqs
squid.cachemgr.server.all.errors,gauge,,error,second,The number of server-side requests (all protocols) that resulted in some kind of error.,-1,squid,serv all errs
squid.cachemgr.server.all.kbytes_in,gauge,,kibibyte,second,The amount of traffic read from the server-side for all protocols.,0,squid,serv all kb in
squid.cachemgr.server.all.kbytes_out,gauge,,kibibyte,second,The amount of traffic written to origin servers and/or neighbor caches for server-side requests.,0,squid,serv all kb out
squid.cachemgr.server.http.requests,gauge,,request,second,"The number of server-side requests to HTTP servers, including neighbor caches.",0,squid,serv http reqs
squid.cachemgr.server.http.errors,gauge,,error,second,The number of server-side HTTP requests that resulted in an error.,-1,squid,serv http errs
squid.cachemgr.server.http.kbytes_in,gauge,,kibibyte,second,The amount of traffic read from HTTP origin servers and neighbor caches.,0,squid,serv http kb in
squid.cachemgr.server.http.kbytes_out,gauge,,kibibyte,second,The amount of traffic written to HTTP origin servers and neighbor caches.,0,squid,serv http kb out
squid.cachemgr.server.ftp.requests,gauge,,request,second,The number of requests sent to FTP servers.,0,squid,serv ftp reqs
squid.cachemgr.server.ftp.errors,gauge,,error,second,The number of requests sent to FTP servers that resulted in an error.,-1,squid,serv ftp errs
squid.cachemgr.server.ftp.kbytes_in,gauge,,kibibyte,second,"The amount of traffic read from FTP servers, including control channel traffic.",0,squid,serv ftp kb in
squid.cachemgr.server.ftp.kbytes_out,gauge,,kibibyte,second,"The amount of traffic written to FTP servers, including control channel traffic.",0,squid,serv ftp kb out
squid.cachemgr.server.other.requests,gauge,,request,second,"The number of ""other"" server-side requests. Currently, the other protocols are Gopher, WAIS, and SSL.",0,squid,serv other reqs
squid.cachemgr.server.other.errors,gauge,,error,second,"The number of Gopher, WAIS, and SSL requests that resulted in an error.",-1,squid,serv other errs
squid.cachemgr.server.other.kbytes_in,gauge,,kibibyte,second,"The amount of traffic read from Gopher, WAIS, and SSL servers.",0,squid,serv other kb in
squid.cachemgr.server.other.kbytes_out,gauge,,kibibyte,second,"The amount of traffic written to Gopher, WAIS, and SSL servers.",0,squid,serv other kb out
squid.cachemgr.icp.pkts_sent,gauge,,message,second,The number of ICP messages sent to neighbors. This includes both queries and replies but doesn't include HTCP messages.,0,squid,icp pkts sent
squid.cachemgr.icp.pkts_recv,gauge,,message,second,"The number of ICP messages received from neighbors, including both queries and replies",0,squid,icp pkts recv
squid.cachemgr.icp.queries_sent,gauge,,query,second,The number of ICP queries sent to neighbors.,0,squid,icp queries sent
squid.cachemgr.icp.replies_sent,gauge,,response,second,The number of ICP replies sent to neighbors.,0,squid,icp replies sent
squid.cachemgr.icp.queries_recv,gauge,,query,second,The number of ICP queries received from neighbors.,0,squid,icp queries recv
squid.cachemgr.icp.replies_recv,gauge,,response,second,The number of ICP replies received from neighbors.,0,squid,icp replies recv
squid.cachemgr.icp.query_timeouts,gauge,,error,second,The number of times that Squid timed out waiting for ICP replies to arrive.,-1,squid,icp query timeouts
squid.cachemgr.icp.replies_queued,gauge,,message,second,The number of times Squid queued an ICP message after the initial attempt to send failed.,-1,squid,icp replies queued
squid.cachemgr.icp.kbytes_sent,gauge,,kibibyte,second,"The amount of traffic sent in all ICP messages, including both queries and replies.",0,squid,icp kb sent
squid.cachemgr.icp.kbytes_recv,gauge,,kibibyte,second,"The amount of traffic received in all ICP messages, including both queries and replies.",0,squid,icp kb recv
squid.cachemgr.icp.q_kbytes_sent,gauge,,kibibyte,second,The amount of traffic sent to neighbors in ICP queries.,0,squid,icp queries kb sent
