metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
teleport.auth.audit_log.emit_events,count,,,,Number of audit events emitted,0,teleport,,
teleport.auth.audit_log.failed_disk_monitoring,count,,,,Number of times disk monitoring failed.,0,teleport,,
teleport.auth.audit_log.failed_emit_events,count,,,,Number of times emitting audit event failed.,0,teleport,,
teleport.auth.audit_log.parquetlog_age_oldest_processed_message,gauge,,,,,0,teleport,,
teleport.auth.audit_log.parquetlog_batch_count,count,,,,,0,teleport,,
teleport.auth.audit_log.parquetlog_batch_processing_seconds.bucket,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_batch_processing_seconds.count,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_batch_processing_seconds.sum,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_batch_size.bucket,count,,,,,0,teleport,,
teleport.auth.audit_log.parquetlog_batch_size.count,count,,,,,0,teleport,,
teleport.auth.audit_log.parquetlog_batch_size.sum,count,,,,,0,teleport,,
teleport.auth.audit_log.parquetlog_delete_events_seconds.bucket,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_delete_events_seconds.count,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_delete_events_seconds.sum,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_errors_from_collect_count,count,,,,,0,teleport,,
teleport.auth.audit_log.parquetlog_last_processed_timestamp,gauge,,,,,0,teleport,,
teleport.auth.audit_log.parquetlog_s3_flush_seconds.bucket,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_s3_flush_seconds.count,count,,second,,,0,teleport,,
teleport.auth.audit_log.parquetlog_s3_flush_seconds.sum,count,,second,,,0,teleport,,
teleport.auth.audit_log.percentage_disk_space_used,gauge,,,,Percentage disk space used.,0,teleport,,
teleport.auth.audit_log.server_open_files,gauge,,,,Number of open audit files,0,teleport,,
teleport.auth.backend.dynamo_requests,count,,,,Total number of requests to the DYNAMO API.,0,teleport,,
teleport.auth.backend.dynamo_requests_seconds.bucket,count,,second,,,0,teleport,,
teleport.auth.backend.dynamo_requests_seconds.count,count,,second,,,0,teleport,,
teleport.auth.backend.dynamo_requests_seconds.sum,count,,second,,,0,teleport,,
teleport.auth.backend.etcd_backend_batch_read_requests,count,,,,Number of read requests to the etcd database.,0,teleport,,
teleport.auth.backend.etcd_backend_batch_read_seconds.bucket,count,,second,,Latency for etcd read operations.,0,teleport,,
teleport.auth.backend.etcd_backend_batch_read_seconds.count,count,,second,,Latency for etcd read operations.,0,teleport,,
teleport.auth.backend.etcd_backend_batch_read_seconds.sum,count,,second,,Latency for etcd read operations.,0,teleport,,
teleport.auth.backend.etcd_backend_read_requests,count,,,,Number of read requests to the etcd database.,0,teleport,,
