metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
velero.backup,gauge,,,,Current number of existent backups,0,velero,,,
velero.backup.attempt.count,count,,,,Total number of attempted backups,0,velero,,,
velero.backup.deletion.attempt.count,count,,,,Total number of attempted backup deletions,0,velero,,,
velero.backup.deletion.failure.count,count,,,,Total number of failed backup deletions,0,velero,,,
velero.backup.deletion.success.count,count,,,,Total number of successful backup deletions,0,velero,,,
velero.backup.duration.seconds.bucket,count,,,,"Bucket for time taken to complete backup, in seconds",0,velero,,,
velero.backup.duration.seconds.count,count,,,,Count aggregation for time taken to complete backup,0,velero,,,
velero.backup.duration.seconds.sum,count,,,,"Cumulative sum of time taken to complete backup, in seconds",0,velero,,,
velero.backup.failure.count,count,,,,Total number of failed backups,0,velero,,,
velero.backup.items,gauge,,,,Total number of items backed up,0,velero,,,
velero.backup.items.errors,gauge,,,,Total number of errors encountered during backup,0,velero,,,
velero.backup.last_status,gauge,,,,"Last status of the backup. A value of 1 is success, 0 is failure",0,velero,,,
velero.backup.last_successful_timestamp,gauge,,,,"Last time a backup ran successfully, Unix timestamp in seconds",0,velero,,,
velero.backup.partial_failure.count,count,,,,Total number of partially failed backups,0,velero,,,
velero.backup.success.count,count,,,,Total number of successful backups,0,velero,,,
velero.backup.tarball_size_bytes,gauge,,,,"Size, in bytes, of a backup",0,velero,,,
velero.backup.validation_failure.count,count,,,,Total number of validation failed backups,0,velero,,,
velero.backup.warning.count,count,,,,Total number of warned backups,0,velero,,,
velero.csi_snapshot.attempt.count,count,,,,Total number of CSI attempted volume snapshots,0,velero,,,
velero.csi_snapshot.failure.count,count,,,,Total number of CSI failed volume snapshots,0,velero,,,
velero.csi_snapshot.success.count,count,,,,Total number of CSI successful volume snapshots,0,velero,,,
velero.go.gc.duration.seconds.count,count,,,,Count aggregation of garbage collection cycles.,0,velero,,,
velero.go.gc.duration.seconds.quantile,gauge,,,,Quantile of the pause duration of garbage collection cycles.,0,velero,,,
velero.go.gc.duration.seconds.sum,count,,,,Cumulative sum of the pause duration of garbage collection cycles.,0,velero,,,
velero.go.goroutines,gauge,,,,Number of goroutines that currently exist.,0,velero,,,
velero.go.memstats.alloc_bytes,gauge,,,,Number of bytes allocated and still in use.,0,velero,,,
velero.go.memstats.alloc_bytes.count,count,,,,"Total number of bytes allocated, even if freed.",0,velero,,,
velero.go.memstats.buck_hash.sys_bytes,gauge,,,,Number of bytes used by the profiling bucket hash table.,0,velero,,,
velero.go.memstats.frees.count,count,,,,Total number of frees.,0,velero,,,
velero.go.memstats.gc.sys_bytes,gauge,,,,Number of bytes used for garbage collection system metadata.,0,velero,,,
velero.go.memstats.heap.alloc_bytes,gauge,,,,Number of heap bytes allocated and still in use.,0,velero,,,
velero.go.memstats.heap.idle_bytes,gauge,,,,Number of heap bytes waiting to be used.,0,velero,,,
velero.go.memstats.heap.inuse_bytes,gauge,,,,Number of heap bytes that are in use.,0,velero,,,
velero.go.memstats.heap.objects,gauge,,,,Number of allocated objects.,0,velero,,,
velero.go.memstats.heap.released_bytes,gauge,,,,Number of heap bytes released to OS.,0,velero,,,
velero.go.memstats.heap.sys_bytes,gauge,,,,Number of heap bytes obtained from system.,0,velero,,,
velero.go.memstats.last_gc_time_seconds,gauge,,,,Number of seconds since 1970 of last garbage collection.,0,velero,,,
velero.go.memstats.lookups.count,count,,,,Total number of pointer lookups.,0,velero,,,
velero.go.memstats.mallocs.count,count,,,,Total number of mallocs.,0,velero,,,
velero.go.memstats.mcache.inuse_bytes,gauge,,,,Number of bytes in use by mcache structures.,0,velero,,,
velero.go.memstats.mcache.sys_bytes,gauge,,,,Number of bytes used for mcache structures obtained from system.,0,velero,,,
velero.go.memstats.mspan.inuse_bytes,gauge,,,,Number of bytes in use by mspan structures.,0,velero,,,
velero.go.memstats.mspan.sys_bytes,gauge,,,,Number of bytes used for mspan structures obtained from system.,0,velero,,,
velero.go.memstats.next.gc_bytes,gauge,,,,Number of heap bytes when next garbage collection will take place.,0,velero,,,
velero.go.memstats.other.sys_bytes,gauge,,,,Number of bytes used for other system allocations.,0,velero,,,
velero.go.memstats.stack.inuse_bytes,gauge,,,,Number of bytes in use by the stack allocator.,0,velero,,,
velero.go.memstats.stack.sys_bytes,gauge,,,,Number of bytes obtained from system for stack allocator.,0,velero,,,
velero.go.memstats.sys_bytes,gauge,,,,Number of bytes obtained from system.,0,velero,,,
velero.go.threads,gauge,,,,Number of OS threads created.,0,velero,,,
velero.pod_volume.data.download.cancel.count,count,,,,Total number of canceled downloaded snapshots,0,velero,,,
velero.pod_volume.data.download.failure.count,count,,,,Total number of failed downloaded snapshots,0,velero,,,
velero.pod_volume.data.download.success.count,count,,,,Total number of successful downloaded snapshots,0,velero,,,
velero.pod_volume.data.upload.cancel.count,count,,,,Total number of canceled uploaded snapshots,0,velero,,,
velero.pod_volume.data.upload.failure.count,count,,,,Total number of failed uploaded snapshots,0,velero,,,
velero.pod_volume.data.upload.success.count,count,,,,Total number of successful uploaded snapshots,0,velero,,,
velero.pod_volume.backup.dequeue.count,count,,,,Total number of pod_volume_backup objects dequeued,0,velero,,,
velero.pod_volume.backup.enqueue.count,count,,,,Total number of pod_volume_backup objects enqueued,0,velero,,,
velero.pod_volume.operation_latency_seconds.bucket,count,,,,"Histogram bucket for time taken to complete pod volume operations, in seconds",0,velero,,,
velero.pod_volume.operation_latency_seconds.count,count,,,,Count aggregation for time taken to complete pod volume operations,0,velero,,,
velero.pod_volume.operation_latency_seconds.gauge,count,,,,"Gauge metric indicating time taken, in seconds, to perform pod volume operations",0,velero,,,
velero.pod_volume.operation_latency_seconds.sum,count,,,,"Sum aggregation for time taken to complete pod volume operations, in seconds",0,velero,,,
velero.process.cpu.seconds.count,count,,,,Total user and system CPU time spent in seconds.,0,velero,,,
velero.process.max_fds,gauge,,,,Maximum number of open file descriptors.,0,velero,,,
velero.process.open_fds,gauge,,,,Number of open file descriptors.,0,velero,,,
velero.process.resident_memory.bytes,gauge,,,,Resident memory size in bytes.,0,velero,,,
velero.process.start_time.seconds,gauge,,,,Start time of the process since unix epoch in seconds.,0,velero,,,
velero.process.virtual_memory.bytes,gauge,,,,Virtual memory size in bytes.,0,velero,,,
velero.process.virtual_memory.max_bytes,gauge,,,,Maximum amount of virtual memory available in bytes.,0,velero,,,
