metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
vllm.avg.generation_throughput.toks_per_s,gauge,,,,Average generation throughput in tokens/s,0,vllm,,,
vllm.avg.prompt.throughput.toks_per_s,gauge,,,,Average prefill throughput in tokens/s,0,vllm,,,
vllm.cache_config_info,gauge,,,,Information on cache config,0,vllm,,,
vllm.cpu_cache_usage_perc,gauge,,percent,,CPU KV-cache usage. 1 means 100 percent usage,0,vllm,,,
vllm.e2e_request_latency.seconds.bucket,count,,,,The observations of end to end request latency bucketed by seconds.,0,vllm,,,
vllm.e2e_request_latency.seconds.count,count,,,,The total number of observations of end to end request latency.,0,vllm,,,
vllm.e2e_request_latency.seconds.sum,count,,second,,The sum of end to end request latency in seconds.,0,vllm,,,
vllm.engine_sleep_state,gauge,,,,"Engine sleep state; the value is 1 for the label matching the current state (awake, weights_offloaded, or discard_all) and 0 otherwise.",0,vllm,,,
vllm.external_prefix_cache.hits.count,count,,,,"External prefix cache hits from KV connector cross-instance cache sharing, in terms of number of cached tokens.",0,vllm,,,
vllm.external_prefix_cache.queries.count,count,,,,"External prefix cache queries from KV connector cross-instance cache sharing, in terms of number of queried tokens.",0,vllm,,,
vllm.generation_tokens.count,count,,,,Number of generation tokens processed.,0,vllm,,,
vllm.gpu_cache_usage_perc,gauge,,percent,,GPU KV-cache usage. 1 means 100 percent usage,0,vllm,,,
vllm.inter_token_latency.seconds.bucket,count,,,,The observations of inter-token latency bucketed by seconds.,0,vllm,,,
vllm.inter_token_latency.seconds.count,count,,,,The total number of observations of inter-token latency.,0,vllm,,,
vllm.inter_token_latency.seconds.sum,count,,second,,The sum of inter-token latency in seconds.,0,vllm,,,
vllm.iteration_tokens_total.bucket,count,,,,"The observations of the number of tokens processed per engine step, bucketed by token count.",0,vllm,,,
vllm.iteration_tokens_total.count,count,,,,The total number of observations of the number of tokens processed per engine step.,0,vllm,,,
vllm.iteration_tokens_total.sum,count,,,,The sum of tokens processed per engine step.,0,vllm,,,
vllm.kv_cache_usage_perc,gauge,,percent,,KV-cache usage. 1 means 100 percent usage.,0,vllm,,,
vllm.mm_cache.hits.count,count,,,,"Multi-modal cache hits, in terms of number of cached items.",0,vllm,,,
vllm.mm_cache.queries.count,count,,,,"Multi-modal cache queries, in terms of number of queried items.",0,vllm,,,
vllm.num_preemptions.count,count,,,,Cumulative number of preemption from the engine.,0,vllm,,,
vllm.num_requests.running,gauge,,,,Number of requests currently running on GPU.,0,vllm,,,
vllm.num_requests.swapped,gauge,,,,Number of requests swapped to CPU.,0,vllm,,,
vllm.num_requests.waiting,gauge,,,,Number of requests waiting.,0,vllm,,,
vllm.prefix_cache.hits.count,count,,,,"Prefix cache hits, in terms of number of cached tokens.",0,vllm,,,
vllm.prefix_cache.queries.count,count,,,,"Prefix cache queries, in terms of number of queried tokens.",0,vllm,,,
vllm.process.cpu_seconds.count,count,,second,,Total user and system CPU time spent in seconds.,0,vllm,,,
vllm.process.max_fds,gauge,,file,,Maximum number of open file descriptors.,0,vllm,,,
vllm.process.open_fds,gauge,,file,,Number of open file descriptors.,0,vllm,,,
vllm.process.resident_memory_bytes,gauge,,byte,,Resident memory size in bytes.,0,vllm,,,
vllm.process.start_time_seconds,gauge,,second,,Start time of the process since unix epoch in seconds.,0,vllm,,,
vllm.process.virtual_memory_bytes,gauge,,byte,,Virtual memory size in bytes.,0,vllm,,,
vllm.prompt_tokens.count,count,,,,Number of prefill tokens processed.,0,vllm,,,
vllm.prompt_tokens_by_source.count,count,,,,"Number of prompt tokens by source (local_compute, local_cache_hit, or external_kv_transfer).",0,vllm,,,
vllm.prompt_tokens_cached.count,count,,,,Number of cached prompt tokens (local and external).,0,vllm,,,
vllm.prompt_tokens_recomputed.count,count,,,,Number of cached tokens recomputed for the forward pass.,0,vllm,,,
vllm.python.gc.collections.count,count,,,,Number of times this generation was collected,0,vllm,,,
vllm.python.gc.objects.collected.count,count,,,,Objects collected during gc,0,vllm,,,
vllm.python.gc.objects.uncollectable.count,count,,,,Uncollectable objects found during GC,0,vllm,,,
vllm.python.info,gauge,,,,Python platform information,0,vllm,,,
vllm.request.decode_time.seconds.bucket,count,,,,"The observations of time spent in the DECODE phase for a request, bucketed by seconds.",0,vllm,,,
vllm.request.decode_time.seconds.count,count,,,,The total number of observations of time spent in the DECODE phase for a request.,0,vllm,,,
vllm.request.decode_time.seconds.sum,count,,second,,"The sum of time spent in the DECODE phase for a request, in seconds.",0,vllm,,,
vllm.request.generation_tokens.bucket,count,,,,Number of generation tokens processed.,0,vllm,,,
vllm.request.generation_tokens.count,count,,,,Number of generation tokens processed.,0,vllm,,,
vllm.request.generation_tokens.sum,count,,,,Number of generation tokens processed.,0,vllm,,,
vllm.request.inference_time.seconds.bucket,count,,,,"The observations of time spent in the RUNNING phase for a request, bucketed by seconds.",0,vllm,,,
vllm.request.inference_time.seconds.count,count,,,,The total number of observations of time spent in the RUNNING phase for a request.,0,vllm,,,
vllm.request.inference_time.seconds.sum,count,,second,,"The sum of time spent in the RUNNING phase for a request, in seconds.",0,vllm,,,
vllm.request.max_num_generation_tokens.bucket,count,,,,"The observations of the maximum number of requested generation tokens, bucketed by token count.",0,vllm,,,
vllm.request.max_num_generation_tokens.count,count,,,,The total number of observations of the maximum number of requested generation tokens.,0,vllm,,,
vllm.request.max_num_generation_tokens.sum,count,,,,The sum of the maximum number of requested generation tokens.,0,vllm,,,
vllm.request.params.best_of.bucket,count,,,,Histogram of the best_of request parameter.,0,vllm,,,
vllm.request.params.best_of.count,count,,,,Histogram of the best_of request parameter.,0,vllm,,,
vllm.request.params.best_of.sum,count,,,,Histogram of the best_of request parameter.,0,vllm,,,
vllm.request.params.max_tokens.bucket,count,,,,"The observations of the max_tokens request parameter, bucketed by value.",0,vllm,,,
vllm.request.params.max_tokens.count,count,,,,The total number of observations of the max_tokens request parameter.,0,vllm,,,
vllm.request.params.max_tokens.sum,count,,,,The sum of the max_tokens request parameter.,0,vllm,,,
vllm.request.params.n.bucket,count,,,,Histogram of the n request parameter.,0,vllm,,,
vllm.request.params.n.count,count,,,,Histogram of the n request parameter.,0,vllm,,,
vllm.request.params.n.sum,count,,,,Histogram of the n request parameter.,0,vllm,,,
vllm.request.prefill_kv_computed_tokens.bucket,count,,,,"The observations of new KV tokens computed during prefill (excluding cached tokens), bucketed by token count.",0,vllm,,,
vllm.request.prefill_kv_computed_tokens.count,count,,,,The total number of observations of new KV tokens computed during prefill.,0,vllm,,,
vllm.request.prefill_kv_computed_tokens.sum,count,,,,The sum of new KV tokens computed during prefill (excluding cached tokens).,0,vllm,,,
vllm.request.prefill_time.seconds.bucket,count,,,,"The observations of time spent in the PREFILL phase for a request, bucketed by seconds.",0,vllm,,,
vllm.request.prefill_time.seconds.count,count,,,,The total number of observations of time spent in the PREFILL phase for a request.,0,vllm,,,
vllm.request.prefill_time.seconds.sum,count,,second,,"The sum of time spent in the PREFILL phase for a request, in seconds.",0,vllm,,,
vllm.request.prompt_tokens.bucket,count,,,,Number of prefill tokens processed.,0,vllm,,,
vllm.request.prompt_tokens.count,count,,,,Number of prefill tokens processed.,0,vllm,,,
vllm.request.prompt_tokens.sum,count,,,,Number of prefill tokens processed.,0,vllm,,,
vllm.request.queue_time.seconds.bucket,count,,,,"The observations of time spent in the WAITING phase for a request, bucketed by seconds.",0,vllm,,,
vllm.request.queue_time.seconds.count,count,,,,The total number of observations of time spent in the WAITING phase for a request.,0,vllm,,,
vllm.request.queue_time.seconds.sum,count,,second,,"The sum of time spent in the WAITING phase for a request, in seconds.",0,vllm,,,
vllm.request.success.count,count,,,,Count of successfully processed requests.,0,vllm,,,
vllm.request.time_per_output_token.seconds.bucket,count,,,,"The observations of time per output token per request, bucketed by seconds.",0,vllm,,,
vllm.request.time_per_output_token.seconds.count,count,,,,The total number of observations of time per output token per request.,0,vllm,,,
vllm.request.time_per_output_token.seconds.sum,count,,second,,"The sum of time per output token per request, in seconds.",0,vllm,,,
vllm.time_per_output_token.seconds.bucket,count,,,,The observations of time per output token bucketed by seconds.,0,vllm,,,
vllm.time_per_output_token.seconds.count,count,,,,The total number of observations of time per output token.,0,vllm,,,
vllm.time_per_output_token.seconds.sum,count,,second,,The sum of time per output token in seconds.,0,vllm,,,
vllm.time_to_first_token.seconds.bucket,count,,,,The observations of time to first token bucketed by seconds.,0,vllm,,,
vllm.time_to_first_token.seconds.count,count,,,,The total number of observations of time to first token.,0,vllm,,,
vllm.time_to_first_token.seconds.sum,count,,second,,The sum of time to first token in seconds.,0,vllm,,,
