metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
weaviate.go.gc.duration.seconds.quantile,gauge,,second,,A summary of the pause duration of garbage collection cycles in the Weaviate instance,0,weaviate,weaviate go gc duration seconds,
weaviate.go.gc.duration.seconds.count,count,,second,,The summary count of garbage collection cycles in the Weaviate instance,0,weaviate,weaviate go gc duration seconds count,
weaviate.go.gc.duration.seconds.sum,count,,second,,The sum of the pause duration of garbage collection cycles in the Weaviate instance,0,weaviate,weaviate go gc duration seconds sum,
weaviate.go.goroutines,gauge,,,,The number of goroutines that currently exist in the Weaviate instance,0,weaviate,weaviate go goroutines,
weaviate.go.memstats.alloc_bytes,gauge,,byte,,The number of bytes allocated and still in use in the Weaviate instance,0,weaviate,weaviate go memstats alloc_bytes,
weaviate.go.memstats.alloc_bytes.count,gauge,,byte,,The number of bytes allocated and still in use in the Weaviate instance,0,weaviate,weaviate go memstats alloc_bytes,
weaviate.go.memstats.buck_hash.sys_bytes,gauge,,byte,,The number of bytes used by the profiling bucket hash table in the Weaviate instance,0,weaviate,weaviate go memstats buck_hash sys_bytes,
weaviate.go.memstats.frees.count,count,,,,The notal number of frees in the Weaviate instance,0,weaviate,weaviate go memstats frees,
weaviate.go.memstats.gc.cpu_fraction,gauge,,fraction,,The fraction of this program's available CPU time used by the GC since the program started in the Weaviate instance,0,weaviate,weaviate go memstats gc cpu_fraction,
weaviate.go.memstats.gc.sys_bytes,gauge,,byte,,The number of bytes used for garbage collection system metadata in the Weaviate instance,0,weaviate,weaviate go memstats gc sys_bytes,
weaviate.go.memstats.heap.alloc_bytes,gauge,,byte,,The number of heap bytes allocated and still in use in the Weaviate instance,0,weaviate,weaviate go memstats heap alloc_bytes,
weaviate.go.memstats.heap.idle_bytes,gauge,,byte,,The number of heap bytes waiting to be used in the Weaviate instance,0,weaviate,weaviate go memstats heap idle_bytes,
weaviate.go.memstats.heap.inuse_bytes,gauge,,byte,,The number of heap bytes that are in use in the Weaviate instance,0,weaviate,weaviate go memstats heap inuse_bytes,
weaviate.go.memstats.heap.objects,gauge,,object,,The number of allocated objects in the Weaviate instance,0,weaviate,weaviate go memstats heap objects,
weaviate.go.memstats.heap.released_bytes,gauge,,byte,,The number of heap bytes released to OS in the Weaviate instance,0,weaviate,weaviate go memstats heap released_bytes,
weaviate.go.memstats.heap.sys_bytes,gauge,,byte,,The number of heap bytes obtained from system in the Weaviate instance,0,weaviate,weaviate go memstats heap sys_bytes,
weaviate.go.memstats.mcache.inuse_bytes,gauge,,byte,,The number of bytes in use by mcache structures in the Weaviate instance,0,weaviate,weaviate go memstats mcache inuse_bytes,
weaviate.go.memstats.mcache.sys_bytes,gauge,,byte,,The number of bytes used for mcache structures obtained from system in the Weaviate instance,0,weaviate,weaviate go memstats mcache sys_bytes,
weaviate.go.memstats.mspan.inuse_use,gauge,,byte,,The number of bytes in use by mspan structures in the Weaviate instance,0,weaviate,weaviate go memstats mspan inuse_use,
weaviate.go.memstats.mspan.sys_bytes,gauge,,byte,,The number of bytes used for mspan structures obtained from system in the Weaviate instance,0,weaviate,weaviate go memstats mspan sys_bytes,
weaviate.go.memstats.next.gc_bytes,gauge,,byte,,The number of heap bytes when next garbage collection takes place in the Weaviate instance,0,weaviate,weaviate go memstats next gc_bytes,
weaviate.go.memstats.other.sys_bytes,gauge,,byte,,The number of bytes used for other system allocations in the Weaviate instance,0,weaviate,weaviate go memstats other sys_bytes,
weaviate.go.memstats.stack.inuse_bytes,gauge,,byte,,The number of bytes in use by the stack allocator in the Weaviate instance,0,weaviate,weaviate go memstats stack inuse_bytes,
weaviate.go.memstats.stack.sys_bytes,gauge,,byte,,The number of bytes obtained from system for stack allocator in the Weaviate instance,0,weaviate,weaviate go memstats stack sys_bytes,
weaviate.go.memstats.sys_bytes,gauge,,byte,,The number of bytes obtained from system in the Weaviate instance,0,weaviate,weaviate go memstats sys_bytes,
weaviate.go.threads,gauge,,thread,,The number of OS threads created in the Weaviate instance,0,weaviate,weaviate go threads,
weaviate.process.cpu.seconds.count,count,,second,,The total user and system CPU time spent in seconds in the Weaviate instance,0,weaviate,weaviate process cpu seconds,
weaviate.process.max_fds,gauge,,,,The maximum number of open file descriptors in the Weaviate instance,0,weaviate,weaviate process max_fds,
weaviate.process.open_fds,gauge,,,,The number of open file descriptors in the Weaviate instance,0,weaviate,weaviate process open_fds,
weaviate.process.resident_memory.bytes,gauge,,byte,,The resident memory size in bytes in the Weaviate instance,0,weaviate,weaviate process resident_memory bytes,
weaviate.process.start_time.seconds,gauge,,second,,The start time of the process since unix epoch in seconds in the Weaviate instance,0,weaviate,weaviate process start_time seconds,
weaviate.process.virtual_memory.bytes,gauge,,byte,,The virtual memory size in bytes in the Weaviate instance,0,weaviate,weaviate process virtual_memory bytes,
weaviate.process.virtual_memory.max_bytes,gauge,,byte,,The maximum amount of virtual memory available in bytes in the Weaviate instance,0,weaviate,weaviate process virtual_memory max_byte,
weaviate.promhttp.metric_handler.requests.count,count,,request,,Total number of scrapes by HTTP status code,0,weaviate,weaviate process virtual_memory max_byte,
weaviate.promhttp.metric_handler.requests_in_flight,gauge,,request,,Current number of scrapes being served,0,weaviate,weaviate process virtual_memory max_byte,
weaviate.batch.durations_ms.bucket,count,,,,"Duration of a single batch operation in ms. The operation label further defines what operation as part of the batch (e.g. object, inverted, vector) is being used. Granularity is a shard of a class",0,weaviate,weaviate batch duration bucket,
