metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,curated_metric
zookeeper.add_dead_watcher_stall_time,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.approximate_data_size,gauge,,,,,0,zookeeper,
zookeeper.avg_latency,gauge,,millisecond,,The amount of time it takes for the server to respond to a client request.,0,zookeeper,
zookeeper.bytes_received,gauge,,,,Number of bytes received,0,zookeeper,
zookeeper.bytes_received_count,gauge,,byte,,[zookeeper version 3.6+ only] The number of bytes received,0,zookeeper,
zookeeper.bytes_sent,gauge,,,,Number of bytes sent,0,zookeeper,
zookeeper.close_session_prep_time,gauge,,,,[zookeeper version 3.6+ only] Histogram of close_session_prep_time,0,zookeeper,
zookeeper.close_session_prep_time_count,gauge,,,,[zookeeper version 3.6+ only] Total count of close_session_prep_time,0,zookeeper,
zookeeper.close_session_prep_time_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of close_session_prep_time,0,zookeeper,
zookeeper.commit_commit_proc_req_queued,gauge,,,,[zookeeper version 3.6+ only] Histogram of commit_commit_proc_req_queued,0,zookeeper,
zookeeper.commit_commit_proc_req_queued_count,gauge,,,,[zookeeper version 3.6+ only] Total count of commit_commit_proc_req_queued,0,zookeeper,
zookeeper.commit_commit_proc_req_queued_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of commit_commit_proc_req_queued,0,zookeeper,
zookeeper.commit_count,gauge,,,,[zookeeper version 3.6+ only] The number of commits performed on leader,0,zookeeper,
zookeeper.commit_process_time,gauge,,,,[zookeeper version 3.6+ only] Histogram of commit_process_time,0,zookeeper,
zookeeper.commit_process_time_count,gauge,,,,[zookeeper version 3.6+ only] Total count of commit_process_time,0,zookeeper,
zookeeper.commit_process_time_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of commit_process_time,0,zookeeper,
zookeeper.commit_propagation_latency,gauge,,,,[zookeeper version 3.6+ only] Histogram of commit_propagation_latency,0,zookeeper,
zookeeper.commit_propagation_latency_count,gauge,,,,[zookeeper version 3.6+ only] Total count of commit_propagation_latency,0,zookeeper,
zookeeper.commit_propagation_latency_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of commit_propagation_latency,0,zookeeper,
zookeeper.concurrent_request_processing_in_commit_processor,gauge,,,,[zookeeper version 3.6+ only] Histogram of concurrent_request_processing_in_commit_processor,0,zookeeper,
zookeeper.concurrent_request_processing_in_commit_processor_count,gauge,,,,[zookeeper version 3.6+ only] Total count of concurrent_request_processing_in_commit_processor,0,zookeeper,
zookeeper.concurrent_request_processing_in_commit_processor_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of concurrent_request_processing_in_commit_processor,0,zookeeper,
zookeeper.connection_drop_count,gauge,,,,[zookeeper version 3.6+ only] Count of connection drops,-1,zookeeper,
zookeeper.connection_drop_probability,gauge,,,,[zookeeper version 3.6+ only] Connection drop probability,-1,zookeeper,
zookeeper.connection_rejected,gauge,,,,[zookeeper version 3.6+ only] Connection rejected counts,-1,zookeeper,
zookeeper.connection_request_count,gauge,,,,[zookeeper version 3.6+ only] Number of incoming client connection requests,0,zookeeper,
zookeeper.connection_revalidate_count,gauge,,,,[zookeeper version 3.6+ only] Count of connection revalidations,0,zookeeper,
zookeeper.connection_token_deficit,gauge,,,,[zookeeper version 3.6+ only] Histogram of connection_token_deficit,0,zookeeper,
zookeeper.connection_token_deficit_count,gauge,,,,[zookeeper version 3.6+ only] Total count of connection_token_deficit,0,zookeeper,
zookeeper.connection_token_deficit_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of connection_token_deficit,0,zookeeper,
zookeeper.connections,gauge,,connection,,The total count of client connections.,0,zookeeper,
zookeeper.datadog_client_exception,rate,,error,,The exception rate seen by the Datadog Agent when trying to collect stats.,-1,zookeeper,
zookeeper.dbinittime,gauge,,,,[zookeeper version 3.6+ only] Histogram of dbinittime Time to reload database,0,zookeeper,
zookeeper.dbinittime_count,gauge,,,,[zookeeper version 3.6+ only] Total count of dbinittime Time to reload database,0,zookeeper,
zookeeper.dbinittime_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of dbinittime Time to reload database,0,zookeeper,
zookeeper.dead_watchers_cleaner_latency,gauge,,,,[zookeeper version 3.6+ only] Histogram of dead_watchers_cleaner_latency,0,zookeeper,
zookeeper.dead_watchers_cleaner_latency_count,gauge,,,,[zookeeper version 3.6+ only] Total count of dead_watchers_cleaner_latency,0,zookeeper,
zookeeper.dead_watchers_cleaner_latency_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of dead_watchers_cleaner_latency,0,zookeeper,
zookeeper.dead_watchers_cleared,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.dead_watchers_queued,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.diff_count,gauge,,,,[zookeeper version 3.6+ only] Number of diff syncs performed,0,zookeeper,
zookeeper.digest_mismatches_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
